generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,4820.69,438.2508,3.9,1299.21,-3.65,12919,15.0,3,138,129.19,7250.0,-2834.5,276.0,0.0
2,4659.32,813.764,218.2,2489.285,-2.42,12682,650.5,6,117,126.82,7093.0,-2794.5,234.0,0.0
3,5735.05,1055.944,575.195,2879.745,2.57,15755,1594.5,5,147,157.55,8774.0,-3490.5,294.0,0.0
4,6784.16,1077.3368,633.095,2896.685,5.55,19016,1648.5,5,176,190.16,10500.0,-4258.0,352.0,0.0
5,6128.73,1186.3694,703.755,3244.135,3.1,16873,1875.5,3,167,168.73,9375.0,-3749.0,334.0,0.0
6,9334.27,1122.2122,462.115,2955.205,-0.43,25677,1311.5,4,236,256.77,14296.0,-5690.5,472.0,0.0
7,3907.96,828.818,311.28,2890.185,-1.47,10996,874.5,3,115,109.96,6044.0,-2476.0,230.0,0.0
8,4443.14,1199.5904,783.675,3656.365,4.22,12114,2163.0,11,136,121.14,6738.0,-2688.0,272.0,0.0
9,14727.27,1258.9166,574.81,2891.22,4.59,40377,1763.0,9,420,403.77,22448.0,-8964.5,840.0,0.0
10,4873.22,1020.978,643.845,2758.62,2.57,13222,1784.5,7,126,132.22,7400.0,-2911.0,252.0,0.0
11,6868.75,1095.0554,791.135,2672.755,1.65,18975,2221.5,10,188,189.75,10527.0,-4224.0,376.0,0.0
12,4384.68,1072.0246,550.86,2784.445,5.9,11718,1568.0,10,114,117.18,6599.0,-2559.5,228.0,0.0
13,5808.82,1142.6652,607.515,3106.24,2.2,16082,1626.5,6,147,160.82,8930.0,-3576.0,294.0,0.0
14,5127.28,1077.9474,624.235,3312.215,-0.43,13928,1704.5,3,132,139.28,7792.0,-3068.0,264.0,0.0
15,6267.51,875.4256,457.0,2419.32,5.55,17401,1283.5,5,167,174.01,9640.0,-3880.5,334.0,0.0
16,5323.49,1104.032,316.51,3073.605,3.09,14649,908.0,9,142,146.49,8145.0,-3252.0,284.0,0.0
17,7466.27,1056.2522,306.965,3063.175,-2.42,20277,871.5,8,193,202.77,11344.0,-4466.5,386.0,0.0
18,7013.65,1042.9424,429.96,3459.545,-3.25,18915,1168.5,15,191,189.15,10600.0,-4157.5,382.0,0.0
19,10129.75,1172.5074,376.275,3087.115,0.15,27525,1155.5,6,263,275.25,15394.0,-6065.5,526.0,0.0
20,7366.1,817.694,397.435,1849.505,-0.43,20310,1143.5,7,184,203.1,11300.0,-4505.0,368.0,0.0
21,5665.27,1116.7816,529.55,3153.975,2.72,15877,1430.0,8,148,158.77,8766.0,-3555.5,296.0,0.0
22,7807.77,1201.868,568.55,3343.06,1.65,21277,1555.0,6,212,212.77,11873.0,-4702.0,424.0,0.0
23,5116.32,1175.7576,590.845,3423.555,2.78,14032,1709.5,15,140,140.32,7808.0,-3112.0,280.0,0.0
24,8009.94,1327.8046,474.055,3693.215,5.55,21794,1305.5,5,214,217.94,12174.0,-4810.0,428.0,0.0
25,4289.48,754.9336,372.32,1828.895,4.54,11748,1001.0,4,118,117.48,6540.0,-2604.0,236.0,0.0
26,7227.36,1017.4872,469.925,2593.35,2.57,20036,1267.5,7,175,200.36,11130.0,-4453.0,350.0,0.0
27,7777.11,1040.52,414.96,2556.56,1.65,21361,1166.5,5,191,213.61,11908.0,-4726.5,382.0,0.0
28,6385.78,1294.7632,846.23,2911.47,2.75,17378,2216.5,25,162,173.78,9718.0,-3830.0,324.0,0.0
29,3398.45,1035.1844,791.895,2281.765,6.39,9297,2264.5,13,67,91.95,5180.0,-2007.5,134.0,0.0
30,5652.59,1145.824,483.415,3409.88,0.58,15209,1366.5,7,146,152.09,8542.0,-3333.5,292.0,0.0
31,5177.79,1142.653,588.6,3146.405,-0.43,14229,1618.0,7,138,142.29,7916.0,-3156.5,276.0,0.0
32,5821.33,1004.8268,423.74,3301.875,4.66,16033,1190.0,10,157,160.33,8909.0,-3562.0,314.0,0.0
33,5346.68,825.3306,297.925,2552.43,1.07,14718,767.5,7,142,147.18,8183.0,-3267.5,284.0,0.0
34,6037.26,888.439,353.34,2469.26,-1.47,16776,1045.5,3,156,167.76,9297.0,-3739.5,312.0,0.0
35,5460.02,795.5778,231.36,2317.3,4.28,15102,673.0,10,151,151.02,8372.0,-3365.0,302.0,0.0
36,7805.96,873.4686,421.73,2200.735,1.59,20846,1198.0,8,188,208.46,11763.0,-4541.5,376.0,0.0
37,6407.88,907.799,303.32,2717.855,4.77,17838,857.0,8,189,178.38,9847.0,-3995.5,378.0,0.0
38,3697.65,613.5036,308.7,2043.165,-0.43,9965,852.5,7,97,99.65,5591.0,-2187.0,194.0,0.0
39,5418.98,916.3656,528.87,2707.18,-0.43,14648,1412.0,7,155,146.48,8191.0,-3228.5,310.0,0.0
40,4390.77,910.5036,441.945,2591.195,0.58,12477,1151.5,8,105,124.77,6863.0,-2807.0,210.0,0.0
41,4209.52,883.42,523.96,2709.87,-0.43,11652,1373.5,7,116,116.52,6458.0,-2597.0,232.0,0.0
42,6727.54,989.7866,313.155,2906.795,-3.92,18604,1015.5,3,202,186.04,10293.0,-4155.5,404.0,0.0
43,5845.51,750.1448,181.035,2024.12,-0.43,16401,503.5,7,143,164.01,9064.0,-3668.5,286.0,0.0
44,4451.34,594.725,193.515,1664.89,-0.92,11684,535.0,8,121,116.84,6623.0,-2530.5,242.0,0.0
45,14270.44,965.4978,403.11,2396.865,-0.43,38994,1136.0,7,383,389.94,21741.0,-8626.5,766.0,0.0
46,9526.16,871.6392,214.265,1837.37,0.09,26216,551.5,5,239,262.16,14596.0,-5810.0,478.0,0.0
47,5743.24,801.3408,196.63,2549.345,-2.42,16074,563.0,7,158,160.74,8869.0,-3602.5,316.0,0.0
48,5804.26,777.0626,277.32,2037.225,-2.42,16376,732.5,8,141,163.76,9031.0,-3672.5,282.0,0.0
49,5141.51,662.3262,203.5,1705.24,1.07,13901,680.0,3,137,139.01,7786.0,-3057.5,274.0,0.0
50,8568.03,933.4878,303.805,2304.165,-1.47,23203,830.5,3,239,232.03,12973.0,-5115.0,478.0,0.0
51,6132.27,1285.4428,715.93,3734.045,4.1,16827,1893.0,10,159,168.27,9373.0,-3727.0,318.0,0.0
52,5141.24,714.7608,310.62,1600.82,2.2,13974,1012.5,20,148,139.74,7795.0,-3089.5,296.0,0.0
53,3536.5,760.8636,401.805,2260.46,-0.92,9550,1067.5,8,91,95.5,5356.0,-2097.0,182.0,0.0
54,5316.6,669.0894,190.86,2033.715,-0.4,14460,594.5,7,144,144.6,8076.0,-3192.0,288.0,0.0
55,7212.97,983.4408,260.64,2405.625,-0.43,19847,664.0,5,213,198.47,11008.0,-4419.5,426.0,0.0
56,5375.44,721.443,238.44,2257.275,1.07,14944,694.0,7,133,149.44,8288.0,-3328.0,266.0,0.0
57,3202.61,783.614,354.195,2569.8,-1.47,8878,944.5,3,104,85.61,4793.0,-1884.0,208.0,0.0
58,3071.22,591.9624,191.585,2152.02,5.2,8572,654.0,13,83,85.72,4737.0,-1917.5,166.0,0.0
59,4431.36,648.0732,206.065,2382.4,0.58,12236,633.5,8,121,122.36,6790.0,-2723.0,242.0,0.0
60,5288.91,794.6074,380.42,1900.8,3.09,14191,1067.0,9,128,141.91,7991.0,-3100.0,256.0,0.0
61,6310.91,595.8976,175.46,1486.075,1.6,17291,484.5,10,194,172.91,9597.0,-3847.0,388.0,0.0
62,8592.45,1004.0566,396.05,2518.91,-0.43,23395,1194.0,3,254,233.95,13032.0,-5181.5,508.0,0.0
63,6209.42,935.0738,403.825,2251.835,4.59,16592,1148.5,3,173,165.92,9329.0,-3631.5,346.0,0.0
64,4062.18,977.9332,486.815,2505.295,1.16,11618,1354.5,3,106,116.18,6362.0,-2628.0,212.0,0.0
65,5723.99,1090.3272,812.73,2485.99,1.65,15749,2198.0,15,140,157.49,8774.0,-3487.5,280.0,0.0
66,3138.51,584.9834,316.8,1506.36,1.65,8301,930.0,7,84,83.01,4692.0,-1804.5,168.0,0.0
67,6153.89,898.7104,317.23,2337.265,2.64,17039,873.0,8,173,170.39,9438.0,-3800.5,346.0,0.0
68,6439.8,784.5426,171.25,2327.41,0.58,17380,458.5,3,176,173.8,9736.0,-3822.0,352.0,0.0
69,5574.13,1064.3196,435.6,2578.58,17.25,15163,1280.0,64,133,151.63,8492.0,-3335.5,266.0,0.0
70,3976.02,1017.739,622.595,2844.095,0.09,10852,1759.5,3,95,108.52,6069.0,-2391.5,190.0,0.0
71,4958.94,978.6918,643.815,2272.3,-0.43,13378,1710.5,7,148,129.44,7337.0,-2803.5,296.0,0.0
72,5781.22,875.7984,338.065,2406.945,3.56,15422,906.5,5,168,154.22,8668.0,-3377.0,336.0,0.0
73,3865.4,841.3426,407.64,2523.5,10.35,10140,1094.0,35,100,101.4,5756.0,-2192.0,200.0,0.0
74,10529.4,1062.0032,455.48,2572.45,3.16,28690,1198.0,6,263,286.9,16041.0,-6324.5,526.0,0.0
75,8499.27,994.1708,290.485,3175.23,-1.47,22477,823.5,3,233,224.77,12698.0,-4889.5,466.0,0.0
76,5432.42,703.3882,185.175,2169.225,-3.92,15092,542.5,7,146,150.92,8357.0,-3367.5,292.0,0.0
77,4266.32,810.0834,380.46,2387.71,5.66,11682,1101.5,15,121,116.82,6499.0,-2591.5,242.0,0.0
78,6852.81,1059.6148,408.59,2993.185,2.07,18681,1117.5,6,174,186.81,10439.0,-4121.0,348.0,0.0
79,4287.03,774.4804,490.09,2048.265,-1.47,11603,1409.0,3,136,116.03,6467.0,-2568.0,272.0,0.0
80,6513.39,1287.8792,871.515,3441.03,-0.43,17639,2528.0,7,178,176.39,9867.0,-3886.0,356.0,0.0
81,9500.31,1182.6262,248.87,3246.575,-0.43,25931,703.0,7,238,259.31,14487.0,-5722.0,476.0,0.0
82,6117.14,882.671,444.205,2090.065,-0.8,16764,1238.5,5,169,167.64,9329.0,-3717.5,338.0,0.0
83,5789.48,1119.9298,662.18,2795.965,1.71,16248,1768.0,21,181,162.48,8926.0,-3661.0,362.0,0.0
