generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,2039.0,151.2768,5.335,522.725,-2.94,4350,19.0,3,70,43.5,2687.0,-831.5,140.0,0.0
2,4601.02,626.9264,166.23,2072.92,-1.47,10002,303.0,3,185,100.02,6088.0,-1957.0,370.0,0.0
3,5724.17,668.9116,230.98,1956.1,-1.47,12617,527.5,3,233,126.17,7627.0,-2495.0,466.0,0.0
4,4325.42,665.5238,263.88,1930.85,-1.47,12242,580.5,3,149,122.42,6684.0,-2779.0,298.0,0.0
5,6269.2,848.3608,451.04,2283.55,-1.47,13670,1054.0,3,261,136.7,8297.0,-2686.5,522.0,0.0
6,4678.61,722.589,301.16,1886.835,-1.47,10311,761.0,3,175,103.11,6254.0,-2028.5,350.0,0.0
7,5926.87,908.5904,422.725,2589.96,-1.47,16487,964.0,3,201,164.87,9069.0,-3709.0,402.0,0.0
8,4555.37,841.6434,643.41,2089.14,-1.47,9887,1692.5,3,188,98.87,6016.0,-1935.5,376.0,0.0
9,4662.85,668.4922,315.96,1518.19,0.03,10201,790.0,3,195,100.85,6143.0,-1971.0,390.0,0.0
10,2535.19,610.0494,273.295,2012.205,-1.47,7119,701.5,3,92,71.19,3893.0,-1613.0,184.0,0.0
11,3937.93,731.3224,423.79,1891.55,-0.4,11243,1176.5,9,129,112.43,6126.0,-2558.5,258.0,0.0
12,4429.21,837.9662,563.29,2273.13,-1.47,9721,1469.0,3,169,97.21,5903.0,-1909.0,338.0,0.0
13,3833.54,750.2188,458.305,2088.555,-1.47,8354,1119.5,3,161,83.54,5070.0,-1642.0,322.0,0.0
14,3653.98,696.3346,267.295,2267.59,-1.47,7898,591.5,3,144,78.98,4824.0,-1537.0,288.0,0.0
15,3865.94,584.9884,304.0,1611.49,-1.47,8194,749.0,3,156,81.94,5046.0,-1574.0,312.0,0.0
16,5592.72,945.6246,493.075,2576.985,1.53,12072,1206.0,3,222,120.72,7376.0,-2348.0,444.0,0.0
17,4456.39,973.3518,507.265,2855.935,0.03,9710,1101.5,3,187,95.89,5854.0,-1867.5,374.0,0.0
18,3270.85,597.1696,187.86,2141.485,-1.47,7235,404.0,3,150,72.35,4344.0,-1445.5,300.0,0.0
19,3156.2,580.9082,343.485,1325.965,-1.47,7020,748.5,3,133,70.2,4220.0,-1400.0,266.0,0.0
20,5088.9,883.0962,468.53,2313.835,-1.47,10840,1039.5,3,206,108.4,6659.0,-2090.5,412.0,0.0
21,2359.93,666.7896,550.275,1632.905,-1.47,5093,1249.5,3,93,50.93,3113.0,-990.0,186.0,0.0
22,5057.74,979.455,528.62,2792.62,-1.47,11074,1160.5,3,193,110.74,6732.0,-2171.0,386.0,0.0
23,3035.13,1033.5268,875.5,2430.99,6.21,6513,1892.5,21,138,65.13,3967.0,-1273.0,276.0,0.0
24,2696.72,622.4008,348.075,1717.61,5.6,5972,782.5,10,113,59.72,3598.0,-1187.0,226.0,0.0
25,2976.07,645.5228,427.5,1600.255,-1.47,6407,900.0,3,129,64.07,3905.0,-1251.0,258.0,0.0
26,4484.84,712.166,648.615,1517.38,-1.47,9584,1384.0,3,194,95.84,5862.0,-1861.0,388.0,0.0
27,2976.39,666.0982,501.71,1713.81,-2.88,6389,1094.0,3,130,63.89,3898.0,-1245.5,260.0,0.0
28,6268.11,733.8006,289.66,2043.745,4.65,13261,691.5,15,272,132.61,8148.0,-2556.5,544.0,0.0
29,4240.8,762.1012,238.585,2277.265,-1.47,9230,562.5,3,178,92.3,5605.0,-1812.5,356.0,0.0
30,4458.2,528.514,222.095,1514.725,3.12,9670,459.5,10,204,96.7,5859.0,-1905.5,408.0,0.0
31,4745.71,641.8018,236.36,2004.195,-1.38,10621,520.0,3,196,106.21,6372.0,-2124.5,392.0,0.0
32,5283.35,1057.8008,623.47,2875.71,1.59,11335,1405.0,9,237,113.35,6909.0,-2213.0,474.0,0.0
33,4692.91,667.13,263.01,2047.815,4.1,10091,490.0,10,189,100.91,6173.0,-1959.0,378.0,0.0
34,2464.94,598.1674,419.195,1336.13,15.69,5494,925.0,31,90,54.94,3318.0,-1088.0,180.0,0.0
35,7965.4,821.0248,476.43,1875.625,4.1,17590,1107.0,10,346,175.9,10595.0,-3497.5,692.0,0.0
36,2183.8,451.7994,188.02,1306.7,4.1,4880,409.0,3,87,48.8,2934.0,-973.0,174.0,0.0
37,6179.02,643.29,123.005,1854.82,-1.47,13352,309.0,3,252,133.52,8145.0,-2603.5,504.0,0.0
38,4124.99,876.3004,566.165,2328.535,-1.47,8949,1191.5,3,187,89.49,5424.0,-1762.5,374.0,0.0
39,7009.18,1099.0312,494.115,3093.44,3.09,14968,1086.5,9,295,149.68,9169.0,-2899.5,590.0,0.0
