generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,938.93,193.5908,101.02,535.875,-3.37,3193,278.0,9,36,31.93,1621.0,-786.0,72.0,0.0
2,1997.48,206.3024,96.305,161.14,-4.35,5948,304.5,10,98,59.48,3144.0,-1402.0,196.0,0.0
3,1151.63,226.249,113.365,172.65,-0.77,3613,351.0,3,48,36.13,1884.0,-864.5,96.0,0.0
4,1842.55,320.7818,128.86,335.775,-2.45,5205,405.5,5,83,52.05,2818.0,-1193.5,166.0,0.0
5,1465.5,261.8568,172.28,213.465,-3.89,4200,548.0,9,66,42.0,2261.0,-969.5,132.0,0.0
6,1618.19,213.9544,116.625,157.22,0.21,5169,317.0,19,67,51.69,2678.0,-1245.5,134.0,0.0
7,1937.59,209.6212,63.83,174.03,-0.4,5959,184.5,3,88,59.59,3121.0,-1419.0,176.0,0.0
8,1144.64,197.219,115.425,294.94,-0.28,3614,331.5,21,50,36.14,1877.0,-868.5,100.0,0.0
9,1827.18,199.0632,62.815,174.5,-2.88,5268,217.0,3,78,52.68,2835.0,-1216.5,156.0,0.0
10,628.22,174.5252,96.01,269.62,1.62,2022,318.0,12,25,20.22,1046.0,-488.0,50.0,0.0
11,1445.32,231.7056,123.75,153.72,1.28,4332,375.0,9,65,43.32,2292.0,-1020.0,130.0,0.0
12,1516.87,244.3392,144.58,238.895,1.4,4587,379.0,8,59,45.87,2431.0,-1078.0,118.0,0.0
13,1780.47,262.6526,162.295,336.55,-0.28,5447,483.0,15,76,54.47,2865.0,-1291.0,152.0,0.0
14,1320.95,301.6976,197.11,395.8,7.61,4044,578.0,11,72,37.45,2008.0,-868.5,144.0,0.0
15,1028.24,224.7614,122.09,276.075,-1.47,2974,384.0,3,48,29.74,1593.0,-690.5,96.0,0.0
16,1332.78,271.7594,125.22,494.44,-0.95,3878,385.5,4,58,38.78,2078.0,-900.0,116.0,0.0
17,936.97,197.318,145.95,206.98,-0.89,2897,426.5,9,45,28.97,1511.0,-693.0,90.0,0.0
18,1914.49,267.2012,149.71,159.405,2.66,5399,446.0,9,96,53.99,2912.0,-1243.5,192.0,0.0
19,2056.35,290.219,184.045,247.045,6.88,6385,562.5,22,101,63.85,3322.0,-1531.5,202.0,0.0
20,1444.88,250.6206,145.105,247.46,0.15,4438,385.5,15,57,44.38,2337.0,-1050.5,114.0,0.0
21,1162.0,258.474,181.595,208.97,4.59,3500,511.5,9,51,35.0,1850.0,-825.0,102.0,0.0
22,1074.12,251.0664,160.29,308.95,4.22,3185,508.5,15,45,30.12,1640.0,-686.0,90.0,0.0
23,1337.77,246.5996,127.02,162.615,0.24,4127,382.0,9,66,41.27,2152.0,-987.5,132.0,0.0
24,1344.49,239.7492,165.215,204.84,-1.35,4099,471.5,8,64,40.99,2150.0,-974.5,128.0,0.0
25,944.4,231.803,203.155,182.22,2.66,2740,630.5,9,41,27.4,1470.0,-635.0,82.0,0.0
26,1472.69,233.1362,104.95,318.935,-0.95,4469,295.0,5,59,44.69,2363.0,-1053.0,118.0,0.0
27,1146.78,156.9684,82.025,207.71,1.59,3628,256.5,9,41,36.28,1895.0,-866.5,82.0,0.0
28,2521.85,259.9906,164.145,188.105,1.59,7685,489.5,9,107,76.85,4049.0,-1818.0,214.0,0.0
29,1069.24,200.3458,92.825,169.48,-0.4,3424,282.5,7,43,34.24,1774.0,-825.0,86.0,0.0
30,1412.01,241.5354,173.885,233.305,2.78,4301,514.5,21,55,43.01,2273.0,-1014.0,110.0,0.0
31,1124.02,199.5122,147.19,190.33,4.65,3652,434.0,9,46,36.52,1881.0,-885.5,92.0,0.0
32,1276.61,207.7614,79.36,171.87,0.12,3861,261.0,9,61,38.61,2031.0,-915.0,122.0,0.0
33,1651.99,296.5758,179.76,383.76,1.59,5099,512.5,9,57,50.99,2691.0,-1204.0,114.0,0.0
34,873.43,257.7532,177.885,211.15,10.84,2843,537.0,34,30,28.43,1471.0,-686.0,60.0,0.0
35,2008.57,250.5238,97.935,117.505,-1.96,5957,336.5,4,87,59.57,3169.0,-1394.0,174.0,0.0
36,782.3,203.113,113.385,276.07,-1.38,2230,400.0,12,42,22.3,1194.0,-518.0,84.0,0.0
37,930.9,242.8768,134.065,115.885,1.1,2990,466.5,10,37,29.9,1548.0,-721.0,74.0,0.0
38,593.71,190.2036,155.745,269.185,6.21,1871,475.0,21,30,18.71,967.0,-452.0,60.0,0.0
39,1615.87,254.0754,159.33,419.05,-1.84,5037,413.5,10,77,50.37,2620.0,-1208.5,154.0,0.0
40,1060.74,182.3766,91.915,215.67,3.15,3474,273.0,15,42,34.74,1786.0,-844.0,84.0,0.0
41,1772.22,275.1148,151.495,384.09,4.16,5422,477.5,8,77,54.22,2850.0,-1286.0,154.0,0.0
42,1216.35,307.964,216.775,410.87,1.13,3567,690.0,13,53,33.85,1846.0,-769.5,106.0,0.0
43,1222.84,227.0206,144.195,284.915,0.67,3534,394.5,9,56,35.34,1895.0,-819.5,112.0,0.0
44,1216.29,227.9116,72.47,183.81,1.16,3729,182.0,9,45,37.29,1969.0,-880.0,90.0,0.0
45,1475.37,194.9432,80.235,192.335,-3.22,4737,254.5,9,57,47.37,2455.0,-1141.0,114.0,0.0
46,944.88,223.4606,111.58,420.395,3.09,2588,330.0,9,49,25.88,1410.0,-589.0,98.0,0.0
47,1587.01,252.454,129.545,167.04,1.65,5101,379.5,15,82,51.01,2615.0,-1243.0,164.0,0.0
48,1085.43,248.0274,134.36,399.555,1.65,3093,461.0,3,48,30.93,1670.0,-711.5,96.0,0.0
49,1002.15,176.256,109.065,247.31,-1.87,2865,281.5,10,48,28.65,1540.0,-662.5,96.0,0.0
50,1146.66,227.4592,148.795,145.5,1.19,3716,459.0,9,49,37.16,1913.0,-901.5,98.0,0.0
51,955.01,214.1132,161.745,198.25,-1.81,2801,470.5,15,44,28.01,1493.0,-654.0,88.0,0.0
52,1095.66,259.2092,142.54,419.03,0.12,3366,454.0,9,57,33.66,1754.0,-806.0,114.0,0.0
53,1201.9,248.842,103.685,137.305,0.09,4190,308.5,3,48,41.9,2106.0,-1042.0,96.0,0.0
54,1086.42,241.1464,119.125,160.55,0.09,3342,379.0,9,51,33.42,1748.0,-797.0,102.0,0.0
55,1508.51,235.1992,93.735,93.735,-1.41,5001,261.5,9,58,50.01,2562.0,-1219.5,116.0,0.0
56,1160.86,259.5552,162.87,289.71,1.65,3486,504.5,15,53,34.86,1842.0,-822.0,106.0,0.0
57,1662.99,239.867,82.125,196.46,0.09,4949,234.0,3,82,49.49,2616.0,-1166.5,164.0,0.0
58,1213.33,209.2448,111.77,152.53,4.65,3483,318.5,15,56,34.83,1872.0,-805.5,112.0,0.0
59,1514.72,333.357,210.47,190.715,1.1,4422,679.5,10,79,44.22,2349.0,-1036.5,158.0,0.0
60,1160.63,284.7214,166.855,267.63,0.18,3713,535.5,9,47,37.13,1924.0,-894.5,94.0,0.0
