generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
56,976.32,182.2062,109.34,139.555,-3.76,944,101.0,8,75,28.32,766.0,-89.0,375.0,-104.0
57,671.12,187.6248,111.84,334.72,-3.76,704,94.0,7,51,21.12,550.0,-77.0,255.0,-78.0
58,850.98,209.0646,156.175,243.195,-1.41,766,158.0,3,67,22.98,638.0,-64.0,335.0,-81.0
59,686.75,141.878,57.605,353.17,-3.76,675,62.5,3,53,20.25,542.0,-66.5,265.0,-74.0
60,653.61,129.1574,81.415,70.15,1.07,667,62.5,10,48,19.11,522.0,-57.5,240.0,-70.0
61,848.72,179.5588,80.795,434.295,-2.82,874,84.0,3,59,26.22,707.0,-83.5,295.0,-96.0
62,1157.42,184.001,89.79,160.15,-3.76,1164,98.5,3,83,34.92,947.0,-108.5,415.0,-131.0
63,1430.34,182.373,72.28,155.59,-3.76,1328,72.5,3,110,39.84,1099.0,-114.5,550.0,-144.0
64,659.95,173.8036,101.435,208.915,-1.41,665,113.5,3,49,19.95,535.0,-65.0,245.0,-75.0
65,1548.25,204.6536,105.59,129.915,7.31,1525,98.0,16,122,45.75,1212.0,-156.5,610.0,-163.0
66,854.04,178.28,114.7,126.035,-1.41,818,115.0,3,61,24.54,683.0,-67.5,305.0,-91.0
67,684.62,143.2076,92.61,194.7,-2.26,654,85.5,3,55,19.62,526.0,-64.0,275.0,-72.0
68,955.79,223.9956,145.34,209.29,-1.41,843,136.5,3,76,25.29,706.0,-68.5,380.0,-87.0
69,721.19,139.7072,67.65,101.3,-1.41,673,69.5,3,59,20.19,541.0,-66.0,295.0,-69.0
70,810.88,172.4524,82.115,72.435,-3.76,846,121.0,3,58,25.38,679.0,-83.5,290.0,-100.0
71,542.68,112.2318,64.98,109.395,-3.76,506,75.5,3,41,15.18,421.0,-42.5,205.0,-56.0
72,678.86,146.534,75.55,158.115,-3.76,712,70.0,3,51,21.36,559.0,-76.5,255.0,-80.0
73,534.41,104.8736,82.69,127.96,-3.76,520,75.0,3,46,13.41,371.0,-38.0,230.0,-42.0
74,921.61,196.7964,131.765,151.285,-1.41,837,142.5,3,71,25.11,698.0,-69.5,355.0,-87.0
75,1324.42,186.2146,99.935,155.275,2.27,1114,80.5,9,109,33.42,940.0,-87.0,545.0,-107.0
76,858.67,154.8548,96.38,230.185,-2.26,889,101.0,8,62,26.67,713.0,-88.0,310.0,-103.0
77,859.81,193.5958,148.745,197.91,7.33,727,155.0,11,73,21.81,603.0,-62.0,365.0,-68.0
78,1117.99,212.053,148.22,329.755,-3.76,1033,143.5,8,89,30.99,845.0,-94.0,445.0,-109.0
79,817.14,155.195,47.625,300.835,-3.76,838,55.0,3,64,25.14,656.0,-91.0,320.0,-93.0
80,1167.48,192.7066,110.425,183.73,-1.41,1066,124.0,3,96,31.98,863.0,-101.5,480.0,-106.0
81,1065.91,187.6232,118.79,165.465,-3.76,947,125.0,8,84,28.41,794.0,-76.5,420.0,-100.0
82,1653.13,182.3634,106.665,118.69,-0.76,1421,116.5,8,138,42.63,1180.0,-120.5,690.0,-139.0
83,1186.03,184.6866,99.97,349.39,-3.76,1151,77.5,3,93,34.53,926.0,-112.5,465.0,-127.0
84,713.48,127.3024,83.635,76.28,-1.41,616,78.0,3,59,18.48,510.0,-53.0,295.0,-57.0
85,741.51,154.0286,91.035,84.855,-3.76,767,84.5,3,49,23.01,632.0,-67.5,245.0,-91.0
86,780.4,134.7426,66.91,90.755,-3.76,730,79.5,3,67,21.9,575.0,-77.5,335.0,-74.0
87,827.34,136.995,91.01,97.95,-3.76,728,84.5,3,65,21.84,611.0,-58.5,325.0,-72.0
88,626.77,152.6646,89.51,99.51,-1.41,709,106.0,3,49,21.27,534.0,-87.5,245.0,-86.0
89,1025.69,166.2842,124.295,184.935,-1.41,1023,125.5,3,74,30.69,837.0,-93.0,370.0,-119.0
90,959.11,203.0126,135.935,158.43,-2.26,787,139.5,8,81,23.61,666.0,-60.5,405.0,-75.0
91,919.28,181.7178,102.03,114.85,0.09,862,109.5,3,77,24.78,671.0,-77.5,385.0,-84.0
92,1076.27,168.5348,98.46,116.95,0.09,1059,100.5,3,78,31.77,870.0,-94.5,390.0,-121.0
93,568.48,169.4768,107.97,298.39,-3.76,566,89.5,3,40,16.98,467.0,-49.5,200.0,-66.0
94,1088.29,161.479,64.99,135.82,-1.41,993,63.0,3,90,29.79,804.0,-94.5,450.0,-101.0
95,792.27,188.1746,89.605,121.485,-3.76,721,105.0,3,65,21.27,583.0,-63.0,325.0,-74.0
96,1459.8,196.1084,130.275,190.485,4.31,1310,107.0,11,115,39.3,1091.0,-109.5,575.0,-136.0
97,707.48,184.3528,107.855,103.47,-3.76,686,124.0,7,55,19.98,543.0,-61.5,275.0,-69.0
98,826.56,207.5566,120.43,277.65,-3.76,755,106.0,8,66,22.56,618.0,-67.0,330.0,-77.0
99,915.73,168.8872,112.685,177.65,-1.41,941,113.5,3,64,28.23,768.0,-86.5,320.0,-114.0
100,758.68,194.0504,149.415,193.005,-1.41,656,134.5,3,61,19.68,552.0,-52.0,305.0,-66.0
101,703.23,149.8734,90.755,129.13,-2.26,600,96.0,3,58,17.73,498.0,-46.5,290.0,-56.0
102,1506.35,201.1088,112.62,132.22,-3.76,1295,114.5,3,118,38.85,1104.0,-95.5,590.0,-131.0
103,1851.73,198.4732,98.47,152.11,-1.41,1741,93.5,3,147,52.23,1412.0,-164.5,735.0,-183.0
104,1185.81,214.7106,127.11,259.46,-1.41,1227,112.0,3,84,36.81,989.0,-119.0,420.0,-141.0
105,575.58,160.6362,99.99,112.77,-1.41,634,113.5,3,48,16.08,429.0,-53.5,240.0,-56.0
106,848.86,189.0286,111.85,405.98,-1.41,762,121.0,3,74,22.86,610.0,-76.0,370.0,-78.0
