generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1694,1860.1067,744.4417,639.8367,508.4833,-0.41,4581,1357.0,3,124.33333333333333,137.44,2720.667,-930.333,621.667,-689.333
1695,2308.1267,785.2403,651.345,983.15,28.7733,5615,1519.8,48,150.0,168.46,3362.667,-1126.333,750.0,-846.667
1696,2121.68,630.8113,581.0367,581.0367,12.0233,5273,1397.3,37,139.0,158.18,3136.333,-1068.167,695.0,-799.667
1697,1689.18,584.1648,468.4533,717.6083,7.45,4010,1260.3,32,111.33333333333333,119.18,2398.0,-787.333,556.667,-597.333
1698,1418.0967,565.1769,568.78,785.6167,-1.41,3514,1421.8,3,96.66666666666667,105.43,2075.667,-719.333,483.333,-527.0
1699,2224.0733,705.9433,618.5617,596.525,-1.6933,5825,1413.2,5,150.33333333333334,174.74,3396.0,-1214.333,751.667,-884.0
1700,2344.3767,550.4363,471.0533,644.9767,1.09,5607,1106.2,3,163.0,168.21,3336.667,-1135.167,815.0,-840.333
1701,1825.4267,390.4505,200.685,772.8967,-1.41,4509,447.8,3,119.0,135.26,2687.667,-910.5,595.0,-682.0
1702,2486.9133,523.9525,399.56,635.3933,3.0067,6186,977.3,40,175.0,185.58,3629.333,-1278.333,875.0,-924.667
1703,1521.3767,444.4322,351.58,519.2067,-1.41,3524,844.3,3,110.66666666666667,105.71,2096.333,-713.667,553.333,-520.333
1704,2161.9433,688.3909,615.855,1093.9083,6.5633,5320,1533.7,8,146.66666666666666,159.61,3152.333,-1084.0,733.333,-799.333
1705,1426.7767,518.8265,476.9067,547.7767,-0.91,3555,1208.3,3,104.33333333333333,100.11,1981.0,-678.0,521.667,-498.0
1706,2363.0233,542.9167,434.885,681.1233,9.18,5173,968.5,23,170.66666666666666,155.19,3134.667,-1019.167,853.333,-761.0
1707,2054.42,541.2391,403.415,853.1783,-0.41,4897,947.2,3,142.33333333333334,146.92,2918.333,-989.5,711.667,-733.0
1708,2581.3067,561.7996,452.25,687.5783,-1.41,5955,1039.0,3,177.0,178.64,3585.333,-1184.667,885.0,-883.0
1709,1698.9267,519.1413,467.2167,740.2683,-1.41,3809,1112.3,3,119.33333333333333,114.26,2306.667,-751.0,596.667,-567.667
1710,1784.5733,528.6606,452.0317,591.0567,-1.41,4191,971.3,3,127.66666666666667,125.74,2494.333,-848.5,638.333,-625.333
1711,2119.0333,670.7578,604.725,788.8783,-1.41,4773,1396.0,3,151.66666666666666,143.2,2871.0,-951.167,758.333,-702.333
1712,1662.7767,621.5025,518.87,650.605,-1.41,4054,1181.3,3,109.66666666666667,121.61,2420.0,-816.833,548.333,-610.333
1713,2745.4367,662.2997,552.3217,782.4883,-0.5033,6626,1246.0,3,185.33333333333334,198.77,3953.0,-1336.333,926.667,-996.667
1714,2016.49,622.4708,518.14,838.9733,-0.91,4700,1213.0,3,140.0,140.99,2815.333,-942.167,700.0,-697.667
1715,2596.01,761.6076,744.9017,1004.965,-0.41,6534,1593.3,3,175.0,196.01,3851.667,-1341.0,875.0,-985.667
1716,2347.5167,643.1243,582.4117,738.2317,-1.41,5712,1492.2,3,163.0,171.35,3382.667,-1164.5,815.0,-857.0
1717,3357.92,691.705,676.85,722.2567,-1.41,8347,1597.5,3,223.33333333333334,250.42,4952.333,-1697.5,1116.667,-1264.0
1718,1704.2133,601.1363,549.2,857.7183,-0.38,4193,1257.7,4,126.66666666666667,117.38,2327.0,-792.833,633.333,-580.667
1719,2463.5967,584.4919,412.4233,707.445,-1.41,6414,1003.0,3,160.66666666666666,192.43,3767.333,-1323.5,803.333,-976.0
1720,2079.6633,601.2734,591.9133,768.6383,-1.41,5228,1442.5,3,139.66666666666666,156.83,3086.667,-1070.5,698.333,-791.667
1721,2131.78,600.2097,452.0433,920.2983,-1.41,5226,1030.5,3,148.0,156.78,3087.333,-1069.333,740.0,-783.0
1722,3518.3,644.5692,557.315,702.805,-1.41,8627,1366.8,3,236.66666666666666,258.8,5125.667,-1750.5,1183.333,-1299.0
1723,2270.8033,714.0314,694.8967,804.0667,-0.41,5466,1657.7,3,155.66666666666666,163.97,3255.333,-1105.167,778.333,-821.667
1724,2293.1667,635.0303,617.8667,808.9183,2.4267,5567,1490.2,25,161.66666666666666,167.0,3289.667,-1138.5,808.333,-833.333
1725,1908.93,608.6392,489.375,664.0817,-1.41,4698,1196.5,3,130.33333333333334,140.93,2784.333,-956.667,651.667,-711.333
1726,1552.33,519.3117,414.7533,617.165,-0.41,3928,1017.2,3,104.33333333333333,117.83,2314.667,-806.5,521.667,-595.333
1727,2476.9233,665.3531,541.7583,647.1617,1.8767,6120,1285.0,7,166.66666666666666,183.59,3627.0,-1246.333,833.333,-920.667
1728,2615.7233,631.265,505.5517,689.26,-1.41,6346,1218.2,3,177.66666666666666,190.39,3776.333,-1285.0,888.333,-954.333
1729,1630.0067,606.7981,558.63,773.0533,-0.41,4028,1369.8,3,105.33333333333333,120.84,2404.333,-811.833,526.667,-610.0
1730,2330.0167,641.6725,496.4217,881.6317,-1.41,5845,1185.3,3,153.33333333333334,175.35,3463.667,-1190.667,766.667,-885.0
1731,1909.99,663.0229,603.2117,1032.8217,5.5667,4550,1511.8,13,133.0,136.49,2708.0,-920.833,665.0,-678.667
1732,2135.9067,659.5769,541.03,682.2917,3.5433,5258,1265.5,24,146.0,157.74,3111.667,-1073.167,730.0,-790.333
1733,3087.6767,772.1866,581.8267,761.1583,21.7933,7750,1478.3,99,207.0,232.51,4580.0,-1585.167,1035.0,-1174.667
