generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,647.14,169.4252,140.045,381.78,0.08,1814,358.0,13,24,18.14,992.0,-411.0,48.0,0.0
2,609.73,132.5028,70.535,63.235,0.61,1523,197.5,10,30,15.23,864.0,-329.5,60.0,0.0
3,843.97,166.6964,79.645,39.91,1.53,2247,171.5,3,53,22.47,1226.0,-510.5,106.0,0.0
4,873.12,178.6336,74.55,57.245,1.65,2412,198.5,13,39,24.12,1318.0,-547.0,78.0,0.0
5,752.83,116.4018,41.365,59.37,1.59,2183,93.5,7,39,21.83,1163.0,-510.0,78.0,0.0
6,1240.82,124.6674,46.205,112.075,1.65,3382,136.0,3,60,33.82,1852.0,-765.0,120.0,0.0
7,473.45,97.9494,52.69,165.6,4.65,1245,159.5,5,22,12.45,693.0,-276.0,44.0,0.0
8,776.16,167.4884,96.16,220.575,0.15,2516,291.5,10,31,25.16,1298.0,-609.0,62.0,0.0
9,650.75,115.4852,82.835,115.245,1.65,1725,276.0,10,34,17.25,952.0,-386.5,68.0,0.0
10,501.64,119.3094,67.355,70.74,1.59,1674,175.5,6,32,14.64,770.0,-347.0,64.0,0.0
11,442.15,130.2076,84.34,177.195,0.09,1165,268.5,3,22,11.65,646.0,-259.5,44.0,0.0
12,922.04,132.946,58.315,84.43,3.09,2554,161.5,9,42,25.54,1393.0,-580.5,84.0,0.0
13,964.37,175.951,51.125,274.525,-0.4,2887,137.5,6,48,28.87,1522.0,-682.5,96.0,0.0
14,885.39,129.7344,60.86,206.46,5.66,2289,160.5,10,48,22.89,1274.0,-507.5,96.0,0.0
15,633.25,108.1036,32.415,181.97,0.09,2083,88.0,9,41,15.75,882.0,-346.5,82.0,0.0
16,1045.1,186.5826,113.76,163.545,0.09,2860,314.0,9,54,28.6,1559.0,-650.5,108.0,0.0
17,667.54,118.683,47.74,48.715,-1.47,1804,118.5,3,31,18.04,993.0,-405.5,62.0,0.0
18,929.02,133.7352,35.725,74.41,1.65,2552,128.0,9,54,25.52,1381.0,-585.5,108.0,0.0
19,759.97,116.6264,69.255,95.915,-1.35,2047,177.5,12,34,20.47,1130.0,-458.5,68.0,0.0
20,659.64,103.1506,49.445,109.96,0.09,1814,123.5,9,31,18.14,991.0,-411.5,62.0,0.0
21,1056.62,133.7772,52.635,76.265,1.59,2712,168.0,9,58,27.12,1513.0,-599.5,116.0,0.0
22,783.39,111.5912,45.135,82.255,3.21,1989,151.5,9,39,19.89,1120.0,-434.5,78.0,0.0
23,597.36,107.1638,48.515,126.27,1.65,1679,151.0,9,28,14.36,830.0,-303.0,56.0,0.0
24,467.87,91.7132,39.16,127.475,-1.47,1337,126.0,3,23,13.37,718.0,-309.5,46.0,0.0
