generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,2730.0,437.4656,159.705,1324.53,-1.47,6950,499.0,3,121,69.5,3929.0,-1510.5,242.0,0.0
2,3131.07,506.7918,187.765,449.305,-3.31,7457,455.0,3,187,74.57,4274.0,-1591.5,374.0,0.0
3,4380.45,759.9368,475.26,872.255,-1.81,10145,1101.0,9,232,101.45,5925.0,-2110.0,464.0,0.0
4,2879.37,719.247,474.03,272.285,13.26,6937,1128.0,20,122,69.37,4023.0,-1457.0,244.0,0.0
5,2196.6,457.692,292.56,422.0,-1.47,5560,744.5,3,101,55.6,3146.0,-1207.0,202.0,0.0
6,2713.66,509.9118,235.675,268.975,-1.47,6466,523.5,3,139,64.66,3736.0,-1365.0,278.0,0.0
7,3620.02,723.8774,394.965,825.175,-1.47,8802,921.5,3,185,88.02,5042.0,-1880.0,370.0,0.0
8,3975.14,723.432,368.395,806.29,-1.47,9564,923.5,3,220,95.64,5481.0,-2041.5,440.0,0.0
9,4605.06,681.8386,134.895,1437.13,-1.47,11006,306.5,3,229,110.06,6360.0,-2323.0,458.0,0.0
10,4835.22,631.4976,363.42,530.91,-1.47,11672,817.0,3,256,116.72,6695.0,-2488.5,512.0,0.0
11,2538.72,433.9374,174.71,387.115,-1.47,6122,439.5,3,109,61.22,3547.0,-1287.5,218.0,0.0
12,2610.84,487.0068,132.085,460.395,4.4,6384,283.5,9,138,63.84,3642.0,-1371.0,276.0,0.0
13,2277.7,484.0166,271.825,841.765,-1.47,5170,607.5,3,136,51.7,3026.0,-1072.0,272.0,0.0
14,4329.16,548.6462,303.25,898.795,-5.21,10416,681.5,3,218,104.16,5998.0,-2209.0,436.0,0.0
15,4921.14,561.1352,226.9,201.95,-1.47,11764,551.5,3,257,117.64,6781.0,-2491.5,514.0,0.0
16,4649.07,627.035,256.545,489.52,-1.47,11307,654.5,3,225,113.07,6493.0,-2407.0,450.0,0.0
17,2178.08,465.0372,220.2,289.135,-1.47,5108,553.5,3,116,51.08,2966.0,-1071.0,232.0,0.0
18,3637.38,535.0734,432.49,431.46,-1.47,8288,983.0,3,220,82.88,4839.0,-1724.5,440.0,0.0
19,3818.18,661.4644,422.615,652.705,1.59,9068,1090.0,9,221,90.68,5213.0,-1927.5,442.0,0.0
20,4684.96,734.3674,241.345,367.8,-1.47,10496,535.0,3,264,104.96,6200.0,-2148.0,528.0,0.0
21,3316.47,505.9414,267.155,772.685,-1.47,7997,585.5,3,169,79.97,4598.0,-1699.5,338.0,0.0
22,3994.51,572.8338,259.995,231.36,-1.47,9301,599.5,3,223,93.01,5404.0,-1948.5,446.0,0.0
23,1812.0,424.3842,312.22,559.49,-1.47,4200,672.0,3,96,42.0,2452.0,-874.0,192.0,0.0
24,5471.26,621.5398,298.625,282.45,-1.47,12976,662.5,3,319,129.76,7461.0,-2757.5,638.0,0.0
25,3635.43,610.9468,399.655,825.555,-1.47,8493,915.5,3,201,84.93,4930.0,-1781.5,402.0,0.0
26,4828.55,690.5096,371.37,651.18,-1.47,11355,925.5,3,265,113.55,6575.0,-2390.0,530.0,0.0
27,1433.14,378.6314,306.85,460.195,-1.47,3564,768.0,3,71,35.64,2025.0,-769.5,142.0,0.0
28,3222.19,688.4904,364.335,767.09,-1.47,7769,954.5,3,165,77.69,4466.0,-1651.5,330.0,0.0
29,3500.36,647.934,471.925,759.565,-1.47,8586,1099.0,3,190,85.86,4885.0,-1850.5,380.0,0.0
30,2226.07,363.1426,120.675,479.55,-1.47,5207,305.0,3,126,52.07,3017.0,-1095.0,252.0,0.0
31,2063.58,461.9506,195.375,323.075,-1.47,4908,489.0,3,117,49.08,2823.0,-1042.5,234.0,0.0
32,3640.48,453.1884,205.72,312.245,-1.47,8948,547.0,3,207,89.48,5074.0,-1937.0,414.0,0.0
33,2698.2,521.898,284.335,543.655,-1.47,6370,683.5,3,140,63.7,3693.0,-1338.5,280.0,0.0
34,2734.28,608.3198,309.94,653.04,-1.47,6300,769.0,3,179,62.78,3635.0,-1321.5,358.0,0.0
35,2450.18,515.2146,115.09,1122.09,-1.47,5568,309.0,3,145,55.68,3259.0,-1154.5,290.0,0.0
36,2892.71,602.941,332.895,771.145,0.03,6671,832.5,3,137,66.71,3925.0,-1373.0,274.0,0.0
37,3873.37,671.6996,219.12,902.06,-3.92,9337,537.0,3,220,93.37,5339.0,-1999.0,440.0,0.0
38,2027.5,488.9374,301.74,526.325,-1.47,4900,694.5,3,103,49.0,2815.0,-1042.5,206.0,0.0
39,4083.64,634.8794,197.785,161.745,-1.47,9614,455.0,3,228,96.14,5559.0,-2027.5,456.0,0.0
40,2666.6,500.6984,181.24,557.83,-1.47,6710,424.0,3,137,67.1,3787.0,-1461.5,274.0,0.0
41,2726.23,672.6846,417.58,649.98,4.65,6573,1015.5,15,152,65.73,3762.0,-1405.5,304.0,0.0
42,3853.04,562.5978,314.37,531.04,-1.47,9404,737.0,3,206,94.04,5366.0,-2019.0,412.0,0.0
43,3465.22,593.3488,358.535,358.535,0.03,8222,843.5,3,180,82.22,4756.0,-1733.0,360.0,0.0
44,2110.34,477.7454,205.105,353.15,-1.47,5084,520.5,3,116,50.84,2913.0,-1085.5,232.0,0.0
45,5007.57,689.9782,213.985,989.18,0.03,11857,504.5,3,290,118.57,6825.0,-2516.0,580.0,0.0
46,3333.2,420.729,128.83,415.595,1.53,7920,371.5,3,187,79.2,4560.0,-1680.0,374.0,0.0
47,2990.73,469.9364,200.65,890.165,-1.47,6973,489.5,3,182,69.73,4029.0,-1472.0,364.0,0.0
48,3948.58,586.9576,282.62,675.36,-1.47,9108,657.5,3,233,91.08,5297.0,-1905.5,466.0,0.0
49,3226.5,678.1254,301.805,638.395,-1.47,7500,680.5,3,183,75.0,4357.0,-1571.5,366.0,0.0
50,1922.0,475.827,314.725,438.435,-1.47,4550,722.5,3,104,45.5,2629.0,-960.5,208.0,0.0
51,2905.74,590.871,370.235,690.66,-1.47,6974,904.5,3,160,69.74,4002.0,-1486.0,320.0,0.0
52,2937.7,565.9252,193.65,267.44,-1.47,7120,490.0,3,133,71.2,4107.0,-1506.5,266.0,0.0
53,2690.82,670.6926,391.545,429.25,-1.47,6382,954.5,3,140,63.82,3692.0,-1345.0,280.0,0.0
54,1886.49,482.9276,370.915,664.255,-1.47,4599,916.5,3,102,45.99,2624.0,-987.5,204.0,0.0
55,3227.15,614.6816,329.715,414.695,3.09,7515,792.5,9,169,75.15,4381.0,-1567.0,338.0,0.0
