generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,54.15,5.3224,2.27,-3.73,190,10.0,3,4,3.15,65.0,-20.0,20.0,-14.0
2,31.46,5.4056,3.42,-1.67,286,16.0,3,3,0.96,23.0,-4.5,15.0,-3.0
3,39.76,7.0682,4.47,-1.41,124,14.5,3,3,2.76,54.0,-19.0,15.0,-13.0
4,58.19,8.5936,4.38,-1.93,173,21.0,3,4,5.19,97.0,-38.0,20.0,-26.0
5,75.64,8.9,4.38,-1.93,330,20.0,3,7,7.14,125.0,-56.5,35.0,-35.0
6,44.28,9.0854,6.985,-2.7,226,15.0,3,2,6.78,117.0,-54.5,10.0,-35.0
7,54.96,8.3354,5.185,-1.41,182,17.5,3,4,5.46,99.0,-41.5,20.0,-28.0
8,65.51,10.0378,5.95,-3.29,145,18.5,3,6,2.01,50.0,-8.5,30.0,-8.0
9,61.56,8.7204,4.86,-2.61,76,15.0,3,5,1.56,44.0,-4.0,25.0,-5.0
10,75.51,12.6916,9.55,-3.29,129,15.5,3,5,3.51,81.0,-18.0,25.0,-16.0
11,142.89,17.088,8.415,-3.52,113,15.0,3,12,3.39,98.0,-7.5,60.0,-11.0
12,138.96,19.5488,11.475,-1.88,232,18.0,3,6,6.96,168.0,-32.0,30.0,-34.0
13,70.63,17.088,13.605,-1.46,121,18.5,3,5,3.63,79.0,-21.0,25.0,-16.0
14,187.58,26.8732,12.46,-1.41,207,19.5,3,15,5.58,146.0,-20.0,75.0,-19.0
15,185.7,22.7266,11.47,-1.41,190,21.0,3,12,5.7,158.0,-16.0,60.0,-22.0
16,113.65,22.9378,17.085,-1.41,171,19.5,3,10,3.15,82.0,-11.5,50.0,-10.0
17,125.32,25.2612,19.895,-1.41,244,23.5,3,11,7.32,146.0,-49.0,55.0,-34.0
18,103.55,22.1658,16.56,-1.41,203,34.0,3,11,5.55,107.0,-39.0,55.0,-25.0
19,236.05,34.8068,17.365,-3.29,535,31.5,3,18,16.05,317.0,-109.0,90.0,-78.0
20,167.52,30.6228,17.795,-3.29,384,44.5,7,14,11.52,222.0,-81.0,70.0,-55.0
21,135.7,25.9232,13.62,-1.41,340,33.5,3,10,10.2,197.0,-71.5,50.0,-50.0
22,248.15,44.5964,26.055,-1.2,555,45.5,6,21,16.65,324.0,-115.5,105.0,-82.0
23,237.55,34.4998,18.32,-0.73,485,46.0,8,19,14.55,293.0,-96.0,95.0,-69.0
24,192.27,39.0866,27.365,0.77,509,60.5,7,17,15.27,281.0,-114.0,85.0,-75.0
25,228.63,36.0778,15.54,-2.84,621,39.0,3,15,18.63,359.0,-131.0,75.0,-93.0
26,175.56,40.6642,27.705,-3.17,402,70.0,7,13,12.06,239.0,-81.5,65.0,-59.0
27,130.32,33.2168,24.225,-1.41,344,61.0,3,10,10.32,196.0,-74.0,50.0,-52.0
28,231.71,34.7628,19.855,-0.73,557,50.0,4,15,16.71,335.0,-111.0,75.0,-84.0
29,210.52,45.2878,24.165,-1.41,434,59.0,3,16,13.02,263.0,-85.5,80.0,-60.0
30,321.9,59.2052,31.23,-1.41,677,66.0,3,23,14.4,331.0,-74.5,115.0,-64.0
31,157.6,40.2132,16.58,-1.41,370,49.0,3,13,11.1,213.0,-78.5,65.0,-53.0
32,334.17,51.239,27.215,-1.43,689,63.5,3,24,20.67,424.0,-132.5,120.0,-98.0
33,451.11,71.031,33.125,-1.41,787,84.5,3,33,23.61,508.0,-139.5,165.0,-106.0
34,229.64,56.5728,24.415,-1.67,488,69.0,7,19,14.64,290.0,-99.0,95.0,-71.0
35,208.5,51.3924,16.3,-1.41,409,47.0,3,14,12.0,255.0,-72.5,70.0,-56.0
36,315.98,71.3512,60.29,-1.41,769,89.5,3,20,18.48,397.0,-109.5,100.0,-90.0
37,235.59,51.8488,25.805,-1.41,736,60.5,3,16,16.59,331.0,-111.0,80.0,-81.0
38,312.84,62.8354,36.515,-1.41,528,66.0,3,24,15.84,342.0,-93.0,120.0,-72.0
39,352.89,46.9646,18.815,-1.41,714,56.5,3,23,21.39,452.0,-130.5,115.0,-105.0
40,434.09,50.0822,27.225,-1.41,1103,57.5,3,22,33.09,675.0,-214.0,110.0,-170.0
41,301.93,56.3188,28.315,-3.29,631,65.5,3,23,18.93,383.0,-124.0,115.0,-91.0
42,302.82,45.1244,19.395,-1.41,644,58.5,3,18,19.32,407.0,-118.5,90.0,-95.0
43,380.29,54.5318,15.745,-1.79,843,56.5,3,27,25.29,509.0,-167.0,135.0,-122.0
44,387.15,65.865,32.34,-1.41,855,65.5,3,23,25.65,534.0,-160.5,115.0,-127.0
45,365.35,48.812,15.435,-1.41,808,45.0,3,20,23.85,506.0,-144.5,100.0,-120.0
46,221.53,44.1084,24.89,-1.41,501,73.0,3,13,15.03,310.0,-95.5,65.0,-73.0
47,377.85,49.8938,24.465,-1.41,845,56.5,3,26,25.35,512.0,-166.5,130.0,-123.0
48,449.26,59.4844,27.82,-1.41,1042,41.0,3,26,31.26,642.0,-200.0,130.0,-154.0
49,321.98,45.0592,25.875,-1.41,966,71.0,3,15,28.98,568.0,-199.0,75.0,-151.0
50,282.94,49.6702,13.535,-2.02,748,45.5,3,15,22.44,449.0,-149.5,75.0,-114.0
51,463.66,68.156,23.945,-1.41,1144,78.5,3,33,32.16,639.0,-216.5,165.0,-156.0
52,300.59,46.5598,24.21,-1.88,953,69.5,3,18,28.59,537.0,-208.0,90.0,-147.0
53,165.48,44.4346,27.025,-1.41,411,62.5,3,11,9.48,202.0,-57.0,55.0,-44.0
54,228.69,39.616,19.55,-1.41,473,55.5,3,16,14.19,292.0,-90.5,80.0,-67.0
55,246.19,43.0106,24.38,-1.55,539,62.5,3,15,15.69,328.0,-97.5,75.0,-75.0
56,359.57,57.0366,22.26,-1.41,727,54.0,3,27,15.57,357.0,-81.0,135.0,-67.0
57,322.62,80.163,39.19,-3.29,626,98.5,7,25,16.62,356.0,-99.0,125.0,-76.0
58,261.71,76.401,50.155,0.09,1153,114.0,3,18,12.21,278.0,-64.5,90.0,-54.0
59,597.19,64.9216,32.905,-1.41,1273,75.0,3,43,38.19,775.0,-249.0,215.0,-182.0
60,332.62,48.4162,28.5,-1.41,704,54.5,3,23,21.12,433.0,-135.5,115.0,-101.0
61,305.91,41.911,12.665,-1.41,597,39.0,3,23,17.91,369.0,-114.0,115.0,-82.0
62,537.86,48.358,28.475,-5.19,1112,57.5,3,39,33.36,683.0,-214.5,195.0,-159.0
63,450.08,44.053,22.08,-1.41,786,49.0,3,32,23.58,513.0,-136.5,160.0,-110.0
64,498.42,58.0168,18.41,-1.41,1164,57.0,3,36,34.92,689.0,-237.5,180.0,-168.0
65,236.7,50.9194,18.155,-1.41,695,50.0,3,20,13.2,267.0,-86.5,100.0,-57.0
66,325.77,50.5614,34.09,-1.41,659,67.0,3,22,19.77,415.0,-122.0,110.0,-97.0
67,402.11,80.0188,42.88,-1.41,937,101.0,3,24,28.11,573.0,-182.0,120.0,-137.0
68,450.18,46.4738,11.85,-1.41,1106,42.5,3,30,33.18,658.0,-224.0,150.0,-167.0
69,242.11,51.6448,30.835,-1.41,443,71.0,3,15,13.11,289.0,-74.0,75.0,-61.0
70,430.63,73.3124,40.79,-1.86,1072,116.5,9,25,26.13,562.0,-154.5,125.0,-128.0
71,377.37,48.4992,16.205,-3.43,629,39.0,3,25,18.87,422.0,-103.5,125.0,-85.0
72,459.73,72.8642,44.105,-1.41,991,101.0,3,27,29.73,625.0,-183.0,135.0,-147.0
73,427.7,79.9382,45.64,0.09,1290,108.0,3,21,38.7,754.0,-268.0,105.0,-202.0
74,627.75,96.7324,46.88,-5.61,1475,113.0,3,37,44.25,904.0,-285.5,185.0,-220.0
75,375.63,73.6154,44.015,-1.41,713,113.0,3,23,18.63,425.0,-98.0,115.0,-85.0
76,576.25,60.1924,27.635,-1.41,1375,81.5,3,33,41.25,841.0,-267.0,165.0,-204.0
77,417.84,73.1452,43.53,-1.79,878,97.0,3,22,26.34,569.0,-154.5,110.0,-133.0
78,530.16,85.8926,45.665,0.16,1122,100.5,7,29,33.66,717.0,-202.5,145.0,-163.0
79,693.46,86.2386,46.665,-1.41,1432,111.5,3,42,42.96,911.0,-260.5,210.0,-210.0
80,886.29,105.178,41.22,-3.08,2043,85.0,3,49,61.29,1271.0,-386.0,245.0,-305.0
81,646.58,68.3578,35.37,-1.41,1536,91.5,3,38,46.08,939.0,-298.5,190.0,-230.0
82,357.12,72.1038,41.76,-0.73,854,124.5,3,22,25.62,517.0,-168.5,110.0,-127.0
83,311.65,58.0954,24.4,-1.55,755,67.0,3,17,22.65,463.0,-146.0,85.0,-113.0
84,732.35,103.4728,64.125,-1.41,1395,130.0,3,45,41.85,908.0,-243.5,225.0,-199.0
85,415.57,84.5236,41.27,-1.41,1019,84.0,3,26,30.57,611.0,-204.0,130.0,-152.0
86,468.62,82.0322,60.14,-1.41,904,133.5,3,31,27.12,577.0,-163.5,155.0,-127.0
87,493.72,77.2032,20.25,-1.41,1174,61.0,3,28,35.22,721.0,-226.5,140.0,-176.0
88,364.78,66.6714,24.725,-1.41,826,52.0,3,18,24.78,526.0,-150.0,90.0,-126.0
89,363.7,67.0248,34.87,-1.67,1340,77.0,3,16,40.2,751.0,-294.5,80.0,-213.0
90,327.85,63.2476,18.14,-1.41,807,61.5,3,21,20.85,433.0,-131.0,105.0,-100.0
91,366.88,76.0542,59.07,-2.37,856,133.5,3,25,20.88,444.0,-126.0,125.0,-97.0
92,269.47,86.7984,74.2,0.09,657,167.5,3,17,16.47,347.0,-101.0,85.0,-78.0
93,609.1,95.5496,39.8,-1.41,1720,117.5,3,31,51.6,1019.0,-350.5,155.0,-266.0
94,472.94,71.5602,41.04,-1.41,898,91.0,3,29,26.94,586.0,-156.0,145.0,-129.0
95,593.91,81.198,27.555,-1.41,1897,57.0,3,26,56.91,1105.0,-396.0,130.0,-302.0
96,692.28,70.2432,29.185,-2.23,1226,62.5,3,44,36.78,813.0,-206.5,220.0,-171.0
97,623.18,79.1778,32.855,-1.41,1406,92.5,3,31,42.18,892.0,-257.0,155.0,-209.0
98,456.1,88.554,66.995,-1.41,970,124.5,3,25,29.1,620.0,-175.0,125.0,-143.0
99,421.93,87.9224,60.825,0.09,931,115.5,3,19,27.93,605.0,-163.0,95.0,-143.0
100,385.07,80.7942,44.09,-1.41,966,77.0,3,27,20.07,437.0,-116.0,135.0,-91.0
101,461.09,94.1414,40.99,-1.41,1244,130.0,3,22,31.59,670.0,-191.5,110.0,-159.0
102,578.22,112.9974,52.94,-1.41,1324,127.0,3,27,39.72,843.0,-240.5,135.0,-199.0
103,330.38,56.529,26.875,-1.41,572,75.0,3,26,13.38,310.0,-68.0,130.0,-55.0
104,444.03,51.772,21.475,-1.41,951,48.5,3,23,28.53,612.0,-169.5,115.0,-142.0
105,490.72,66.031,36.335,-1.41,824,75.0,3,31,24.72,558.0,-133.0,155.0,-114.0
106,314.48,68.6838,53.16,-1.41,766,84.0,3,14,22.98,481.0,-142.5,70.0,-117.0
107,479.23,86.4082,48.955,-3.29,1150,100.0,3,30,25.23,561.0,-140.0,150.0,-117.0
108,355.8,51.771,25.935,-2.7,960,72.0,3,15,28.8,588.0,-186.0,75.0,-150.0
109,667.26,61.3928,29.375,-1.43,1092,74.5,3,45,32.76,735.0,-178.5,225.0,-147.0
110,728.57,84.5364,36.265,-2.84,1669,110.5,3,33,50.07,1068.0,-300.5,165.0,-254.0
111,547.11,63.8162,32.435,-1.41,1287,71.5,3,26,38.61,814.0,-236.5,130.0,-199.0
112,809.76,97.7252,46.975,-1.41,2142,98.0,3,40,64.26,1297.0,-422.5,200.0,-329.0
113,533.0,100.155,69.56,2.13,1113,158.5,3,31,30.0,660.0,-170.0,155.0,-142.0
114,693.26,90.4356,48.505,-1.41,1692,87.0,3,37,50.76,1039.0,-326.5,185.0,-255.0
115,330.13,65.3358,21.315,-1.41,821,58.5,3,17,24.63,504.0,-158.5,85.0,-125.0
116,398.32,61.098,24.065,-1.41,844,51.0,3,22,25.32,540.0,-152.0,110.0,-125.0
117,949.89,87.4168,36.93,-1.41,2163,73.5,3,47,64.89,1371.0,-396.0,235.0,-325.0
118,591.96,87.4684,43.91,-12.5,1232,116.0,3,37,36.96,776.0,-228.0,185.0,-178.0
119,393.83,77.681,45.125,-1.41,876,106.0,3,19,22.83,513.0,-124.0,95.0,-113.0
120,377.43,79.165,45.33,0.77,531,101.5,5,30,15.93,362.0,-84.5,150.0,-66.0
121,531.5,62.7476,26.05,-1.41,950,74.5,3,38,28.5,612.0,-169.0,190.0,-130.0
