generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
61,51.72,11.2188,8.11,-1.55,124,22.5,9,3,3.72,76.0,-24.0,15.0,-19.0
62,60.38,15.3472,9.69,-4.74,193,27.0,9,3,4.38,90.0,-28.0,15.0,-21.0
63,48.81,8.4158,6.785,-1.88,89,20.0,3,3,2.31,54.0,-11.5,15.0,-11.0
64,52.16,12.2898,5.235,-2.35,134,21.0,5,4,3.66,71.0,-25.5,20.0,-17.0
65,115.66,18.754,11.26,-1.55,295,33.5,9,9,6.66,138.0,-42.0,45.0,-32.0
66,56.1,15.1554,9.75,-0.73,270,28.0,5,2,8.1,144.0,-63.0,10.0,-43.0
67,88.32,12.9502,7.18,-1.55,244,21.5,8,6,7.32,140.0,-52.0,30.0,-37.0
68,63.71,12.1534,9.82,-0.73,201,29.5,9,3,4.71,97.0,-30.0,15.0,-23.0
69,78.78,16.0932,10.175,-2.35,276,29.5,5,6,8.28,147.0,-64.5,30.0,-42.0
70,103.09,15.1784,9.025,-0.73,303,25.0,5,7,9.09,171.0,-66.0,35.0,-46.0
71,74.92,17.5634,7.42,-2.49,264,31.5,9,7,7.92,136.0,-64.0,35.0,-40.0
72,122.64,18.7072,9.585,-0.73,338,33.0,6,9,10.14,191.0,-73.5,45.0,-50.0
73,61.51,14.5906,7.865,-0.87,178,39.5,9,3,5.01,100.0,-33.5,15.0,-25.0
74,124.33,13.653,8.3,-1.25,311,25.5,3,9,9.33,181.0,-65.0,45.0,-46.0
75,57.53,15.0792,8.06,-0.73,192,33.0,9,5,3.03,62.0,-19.5,25.0,-13.0
76,76.59,13.6434,7.58,-5.16,174,33.0,3,6,4.59,93.0,-30.0,30.0,-21.0
77,64.35,15.8396,11.535,-2.61,145,35.5,9,4,4.35,89.0,-28.0,20.0,-21.0
78,64.68,14.8478,9.47,-4.55,202,28.0,5,5,4.68,90.0,-33.0,25.0,-22.0
79,80.61,17.3116,12.48,-0.73,261,40.5,5,6,5.61,109.0,-39.0,30.0,-25.0
80,70.21,18.7216,10.51,-0.99,207,33.5,6,5,6.21,115.0,-46.0,25.0,-30.0
81,75.09,15.6868,10.545,-0.99,203,36.0,5,5,6.09,117.0,-43.0,25.0,-30.0
82,113.69,15.6462,10.395,-1.11,323,34.0,9,6,9.69,189.0,-67.0,30.0,-48.0
83,77.38,14.5872,10.56,0.21,210,34.0,3,5,5.88,115.0,-40.5,25.0,-28.0
84,97.92,16.9436,9.76,-0.85,214,37.0,3,6,6.42,133.0,-40.5,30.0,-31.0
85,70.87,15.7404,10.035,-2.23,158,34.5,5,6,3.87,79.0,-25.0,30.0,-17.0
86,83.32,17.9836,9.32,-2.82,249,33.5,6,6,7.32,136.0,-54.0,30.0,-36.0
87,59.41,14.08,7.02,-2.82,128,22.0,6,5,2.91,62.0,-17.5,25.0,-13.0
88,134.38,16.8628,10.1,-0.73,296,32.0,5,10,8.88,179.0,-58.5,50.0,-45.0
89,69.32,15.2468,8.24,-3.52,250,24.5,3,3,4.32,96.0,-24.0,15.0,-22.0
90,49.3,10.9138,8.985,-5.75,160,29.5,8,3,4.8,89.0,-35.5,15.0,-24.0
91,122.29,19.5312,8.81,-1.55,393,34.5,3,8,11.79,218.0,-87.5,40.0,-60.0
92,108.8,18.366,8.905,-0.99,360,35.5,8,8,10.8,196.0,-82.0,40.0,-56.0
93,90.84,14.596,8.52,-2.23,228,27.5,3,7,6.84,132.0,-48.0,35.0,-35.0
94,148.06,18.2774,8.59,-0.73,402,33.0,8,9,12.06,236.0,-83.0,45.0,-62.0
95,110.78,18.1618,11.295,-1.55,226,32.5,9,9,6.78,136.0,-45.0,45.0,-32.0
96,90.84,23.2142,15.365,-0.99,278,61.5,6,3,8.34,167.0,-55.5,15.0,-44.0
97,95.4,18.2566,8.85,-0.99,230,44.5,8,8,6.9,131.0,-49.5,40.0,-33.0
98,194.12,18.9818,7.31,-2.49,504,28.5,6,10,15.12,306.0,-99.0,50.0,-78.0
99,177.47,19.6158,12.61,-0.99,549,33.5,3,13,16.47,303.0,-123.0,65.0,-84.0
100,142.3,16.542,9.385,-1.32,460,31.0,5,6,13.8,267.0,-96.5,30.0,-72.0
101,121.21,17.3764,11.565,-1.88,307,38.5,4,9,9.21,177.0,-65.0,45.0,-45.0
102,139.17,19.6814,12.985,-0.99,439,34.5,9,8,13.17,249.0,-95.0,40.0,-68.0
103,84.68,16.7478,10.715,-2.23,276,27.5,6,5,7.68,146.0,-55.0,25.0,-39.0
104,101.68,16.3902,9.315,-0.73,306,21.0,5,7,9.18,171.0,-67.5,35.0,-46.0
105,64.54,13.4036,9.28,-1.55,168,27.0,3,5,5.04,95.0,-36.5,25.0,-24.0
106,60.48,12.8104,9.56,-0.17,232,29.0,8,4,4.98,95.0,-35.5,20.0,-24.0
107,82.66,13.4066,8.24,-0.73,306,21.0,3,5,6.66,130.0,-46.0,25.0,-33.0
108,52.0,13.8758,11.62,-0.99,200,24.5,8,4,6.0,104.0,-48.0,20.0,-30.0
109,57.39,12.3894,9.27,-0.99,187,31.0,5,3,4.89,96.0,-33.5,15.0,-25.0
110,102.01,16.7302,8.845,-2.23,323,26.5,3,8,6.51,130.0,-43.5,40.0,-31.0
111,52.8,10.5106,7.69,-1.2,212,31.0,3,4,3.3,67.0,-21.5,20.0,-16.0
112,72.86,15.0592,9.2,-2.49,262,34.5,4,3,7.86,148.0,-57.0,15.0,-41.0
113,88.24,15.3958,8.485,-4.93,308,32.0,8,4,9.24,174.0,-67.0,20.0,-48.0
114,66.66,17.8474,10.825,-0.99,221,45.5,8,3,5.16,105.0,-33.5,15.0,-25.0
115,126.13,18.532,10.76,0.77,421,41.0,9,7,12.63,236.0,-92.5,35.0,-65.0
116,84.09,11.8692,7.44,-2.49,253,32.0,5,5,7.59,144.0,-54.5,25.0,-38.0
117,101.91,11.152,3.875,-2.23,297,21.5,3,4,8.91,179.0,-59.0,20.0,-47.0
118,38.85,10.9674,8.92,-0.99,178,33.0,3,2,4.35,80.0,-32.5,10.0,-23.0
119,125.48,18.9222,10.79,-2.35,416,32.5,5,8,12.48,230.0,-93.0,40.0,-64.0
120,87.33,16.8906,10.715,0.51,311,33.0,8,5,9.33,171.0,-70.0,25.0,-48.0
121,122.67,25.3328,12.67,-2.49,339,41.0,3,10,10.17,188.0,-75.5,50.0,-50.0
122,135.28,25.2068,18.26,-2.23,309,49.5,9,11,8.28,166.0,-55.0,55.0,-39.0
123,115.75,18.4232,12.245,-2.23,275,26.0,9,8,8.25,164.0,-55.5,40.0,-41.0
124,146.38,22.3144,11.445,0.35,446,42.0,3,8,13.38,256.0,-95.0,40.0,-68.0
125,62.66,18.9102,13.15,-0.73,201,47.5,9,3,5.16,103.0,-34.5,15.0,-26.0
126,125.78,22.1982,12.035,-1.01,326,45.0,9,8,9.78,192.0,-67.0,40.0,-49.0
127,191.27,30.8678,12.81,0.3,459,41.5,9,14,13.77,270.0,-94.5,70.0,-68.0
128,146.89,21.4178,12.845,-1.2,313,45.5,6,14,9.39,178.0,-67.5,70.0,-43.0
129,150.46,29.492,16.1,-1.32,345,53.0,6,9,9.96,207.0,-62.5,45.0,-49.0
130,126.03,28.469,17.535,-0.73,303,46.5,3,8,9.03,181.0,-60.0,40.0,-44.0
131,138.83,21.4186,12.845,-1.93,392,45.0,9,10,9.33,188.0,-61.5,50.0,-47.0
132,70.05,20.8766,16.16,-0.73,235,53.0,7,5,7.05,127.0,-54.0,25.0,-35.0
133,115.65,23.4922,15.75,-0.73,305,46.0,5,7,9.15,180.0,-62.5,35.0,-46.0
134,140.6,26.7572,19.045,-2.23,370,52.0,9,9,11.1,217.0,-76.5,45.0,-56.0
135,113.86,19.4982,9.32,-2.49,212,34.5,5,11,6.36,125.0,-43.5,55.0,-29.0
136,75.61,13.1454,6.195,-1.55,184,31.0,5,6,4.11,86.0,-25.5,30.0,-19.0
137,95.75,15.8638,12.68,0.3,375,31.0,9,5,11.25,204.0,-85.5,25.0,-59.0
138,90.23,16.178,8.93,-2.61,191,28.5,3,7,5.73,114.0,-38.5,35.0,-26.0
139,180.25,15.9318,8.275,0.51,425,31.0,5,13,12.75,252.0,-86.5,65.0,-63.0
140,116.36,20.2264,13.545,-2.23,212,39.0,4,10,6.36,130.0,-41.0,50.0,-29.0
141,79.72,18.0708,10.825,-0.05,224,39.0,3,6,6.72,126.0,-49.0,30.0,-34.0
142,109.77,22.8066,12.39,-0.73,259,33.5,5,8,7.77,153.0,-53.0,40.0,-38.0
143,53.5,13.4096,8.425,-0.85,150,26.0,5,3,4.5,88.0,-31.0,15.0,-23.0
144,114.48,19.6358,13.385,-1.41,256,39.0,3,8,6.48,138.0,-39.0,40.0,-31.0
145,102.79,23.3564,11.155,-0.05,386,39.5,9,8,8.79,163.0,-65.0,40.0,-44.0
146,92.2,16.1682,8.25,-3.19,228,33.0,3,6,5.7,119.0,-35.5,30.0,-27.0
147,106.08,22.4626,15.105,-0.73,336,44.0,9,4,10.08,198.0,-69.0,20.0,-53.0
148,93.72,18.7694,10.33,-1.32,271,34.0,6,10,5.22,99.0,-37.5,50.0,-23.0
149,130.27,22.0666,15.12,-1.58,359,45.0,9,9,10.77,206.0,-76.5,45.0,-55.0
150,103.4,27.9396,16.25,-2.79,233,52.0,3,11,5.4,104.0,-38.0,55.0,-23.0
151,110.83,23.0398,10.35,-2.23,268,38.0,9,10,4.83,105.0,-28.0,50.0,-21.0
152,91.32,19.7498,11.215,-2.35,225,36.0,3,7,5.82,117.0,-38.5,35.0,-28.0
153,79.64,18.295,9.985,-2.96,233,33.0,3,7,4.14,85.0,-26.5,35.0,-18.0
154,122.42,21.6706,10.78,-2.37,314,41.0,5,7,9.42,188.0,-63.0,35.0,-47.0
155,91.24,22.601,13.91,-3.52,258,51.0,3,5,7.74,151.0,-53.5,25.0,-39.0
156,117.66,20.1894,12.76,-6.52,372,44.5,6,6,11.16,213.0,-79.5,30.0,-57.0
157,128.96,22.262,11.37,-0.73,332,33.0,4,8,9.96,196.0,-68.0,40.0,-49.0
158,98.58,21.9654,14.615,-0.85,240,46.0,5,8,5.58,114.0,-36.0,40.0,-25.0
159,110.2,21.0662,12.35,-0.99,390,53.5,3,6,11.7,217.0,-86.5,30.0,-62.0
160,85.24,17.407,10.465,-2.79,258,37.0,9,4,7.74,151.0,-53.5,20.0,-40.0
161,65.81,15.9926,9.965,-0.99,216,37.0,6,5,3.81,79.0,-24.0,25.0,-18.0
162,62.31,11.442,8.26,-0.87,177,28.0,9,3,5.31,105.0,-36.0,15.0,-27.0
163,114.86,20.8846,9.175,-1.2,307,33.5,6,10,7.86,150.0,-56.0,50.0,-37.0
164,132.83,20.1056,12.775,-0.05,311,40.5,8,8,9.33,190.0,-60.5,40.0,-46.0
165,128.26,18.135,8.66,-2.23,342,28.5,9,7,10.26,204.0,-69.0,35.0,-52.0
166,95.35,20.2642,13.32,-0.73,195,38.0,9,7,5.85,120.0,-37.5,35.0,-28.0
