generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,14.84,2.3874,0.875,-2.37,64,9.0,3,1,0.84,18.0,-5.0,5.0,-4.0
2,21.19,4.5376,2.83,-3.76,102,11.0,3,2,0.69,16.0,-3.5,10.0,-2.0
3,25.71,6.1188,5.13,-2.23,101,16.0,3,1,1.71,37.0,-10.0,5.0,-8.0
4,31.91,6.8626,6.33,-1.55,97,10.0,3,3,2.91,51.0,-23.0,15.0,-14.0
5,107.09,12.7674,6.23,-1.41,253,18.5,3,9,7.59,146.0,-53.5,45.0,-38.0
6,74.22,14.177,10.605,-3.29,103,22.0,3,7,2.22,54.0,-10.0,35.0,-7.0
7,114.26,20.2532,12.655,-6.43,342,25.0,3,7,10.26,194.0,-74.0,35.0,-51.0
8,266.89,24.5832,10.305,-1.41,513,25.0,3,21,15.39,316.0,-98.5,105.0,-71.0
9,174.58,40.9288,27.21,-1.11,286,50.5,5,13,8.58,188.0,-49.0,65.0,-38.0
10,330.42,50.034,28.115,-1.41,514,69.5,3,24,15.42,348.0,-83.0,120.0,-70.0
11,481.87,83.6568,42.395,-1.41,629,83.0,3,39,18.87,439.0,-95.0,195.0,-76.0
12,370.47,78.0688,39.7,1.52,549,67.5,3,28,16.47,373.0,-88.0,140.0,-71.0
13,357.18,81.2278,37.04,0.77,506,57.5,3,25,15.18,358.0,-74.0,125.0,-67.0
14,483.0,64.3432,19.64,-3.76,650,44.5,3,38,19.5,453.0,-98.5,190.0,-81.0
15,625.42,74.3408,23.44,-2.35,914,50.5,3,49,27.42,620.0,-147.0,245.0,-120.0
16,332.73,53.5818,22.025,-2.35,491,44.0,3,27,14.73,327.0,-82.0,135.0,-62.0
17,535.22,113.465,65.315,-1.41,874,90.5,3,36,26.22,592.0,-141.0,180.0,-122.0
18,532.91,97.1782,48.07,-1.2,847,83.5,10,37,25.41,574.0,-136.5,185.0,-115.0
19,365.39,81.5064,35.87,-2.35,563,60.5,5,29,16.89,374.0,-94.5,145.0,-76.0
20,433.89,81.3564,49.255,-1.41,656,69.0,3,36,18.39,414.0,-99.5,180.0,-79.0
21,378.46,66.1506,27.1,-2.23,582,45.0,3,30,17.46,386.0,-98.0,150.0,-77.0
22,463.86,113.4038,67.26,-0.73,1041,109.5,3,35,19.86,456.0,-103.0,175.0,-84.0
23,643.95,90.778,38.75,-3.05,865,83.0,3,56,25.95,585.0,-140.0,280.0,-107.0
24,301.74,73.5726,44.27,-1.41,608,79.5,3,22,18.24,375.0,-116.5,110.0,-85.0
25,564.11,86.7766,29.835,-1.41,1118,79.5,3,43,25.11,567.0,-135.0,215.0,-108.0
26,617.86,114.931,61.315,-0.29,862,98.0,7,48,25.86,594.0,-134.0,240.0,-108.0
27,318.62,89.1844,65.56,-1.41,366,97.5,3,29,10.62,252.0,-51.0,145.0,-38.0
28,606.64,113.0158,73.13,-0.85,888,121.0,5,46,26.64,608.0,-140.0,230.0,-118.0
29,596.48,103.6754,65.355,-1.41,816,98.5,3,48,24.48,562.0,-127.0,240.0,-103.0
30,401.65,100.6912,64.56,-1.41,705,102.0,3,27,21.15,464.0,-120.5,135.0,-98.0
31,301.78,79.4866,47.43,-2.35,455,71.5,3,25,12.78,286.0,-70.0,125.0,-52.0
32,438.75,88.2386,39.71,-1.41,675,61.5,3,36,20.25,442.0,-116.5,180.0,-87.0
33,568.73,92.5212,57.23,2.27,741,78.5,3,44,22.23,526.0,-107.5,220.0,-92.0
34,598.55,121.2682,62.555,-0.38,935,99.0,4,45,28.05,624.0,-155.5,225.0,-123.0
35,748.23,90.2788,37.0,-1.41,1041,64.0,3,57,31.23,725.0,-158.0,285.0,-135.0
36,385.24,99.1706,55.11,-1.41,593,81.5,3,33,16.74,367.0,-95.5,165.0,-68.0
37,451.27,93.6864,62.57,-1.41,709,96.5,3,35,21.27,469.0,-120.0,175.0,-94.0
38,450.18,101.3278,51.08,-1.41,656,79.5,3,37,19.68,439.0,-108.5,185.0,-85.0
39,329.39,69.5456,44.69,-2.35,463,92.5,3,24,13.89,326.0,-68.5,120.0,-62.0
40,572.41,98.4474,80.05,-1.41,847,126.0,3,51,25.41,551.0,-148.0,255.0,-111.0
41,560.28,118.33,68.685,-0.85,776,101.0,5,47,23.28,524.0,-126.0,235.0,-96.0
42,771.18,135.0638,63.76,-1.41,1106,124.0,3,59,33.18,758.0,-174.0,295.0,-141.0
43,541.77,95.5988,37.41,-1.41,859,57.0,3,42,25.77,567.0,-146.0,210.0,-115.0
44,471.18,106.7966,77.69,1.42,706,118.0,8,37,21.18,474.0,-116.0,185.0,-93.0
45,634.98,88.669,54.185,0.77,766,90.0,9,57,22.98,534.0,-116.0,285.0,-91.0
46,531.82,114.1088,72.81,-1.2,844,111.5,10,39,25.32,565.0,-139.5,195.0,-114.0
47,379.14,100.3542,53.07,-1.41,635,94.0,3,31,16.14,364.0,-87.0,155.0,-69.0
48,752.27,107.1586,54.43,-1.41,909,93.0,3,59,27.27,661.0,-124.0,295.0,-107.0
49,619.91,65.4208,24.18,-2.61,847,41.0,3,49,25.41,588.0,-129.5,245.0,-109.0
50,345.41,61.0156,27.83,-1.41,447,57.5,3,26,13.41,321.0,-63.0,130.0,-56.0
51,535.27,92.1602,48.57,-2.96,709,74.0,3,45,21.27,487.0,-111.0,225.0,-87.0
52,467.13,80.32,41.175,-2.35,621,50.0,3,37,18.63,436.0,-92.5,185.0,-80.0
53,360.0,93.307,64.865,0.74,550,92.0,8,26,16.5,375.0,-87.5,130.0,-74.0
54,1089.54,141.7098,46.625,-1.41,1568,73.0,3,87,47.04,1061.0,-253.5,435.0,-200.0
55,713.14,96.182,51.06,-2.35,988,70.5,3,55,29.64,685.0,-151.5,275.0,-125.0
56,527.7,107.228,44.96,-2.61,740,68.0,3,40,22.2,513.0,-113.5,200.0,-94.0
57,525.09,112.0294,56.91,-0.29,803,95.5,7,41,24.09,537.0,-133.0,205.0,-108.0
58,596.21,135.8704,83.135,0.77,857,96.0,9,44,25.71,596.0,-130.5,220.0,-115.0
59,803.83,107.922,65.99,-1.41,1261,119.0,3,63,37.83,833.0,-214.0,315.0,-168.0
