generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,1109.71,99.615,4.345,488.565,-1.96,1821,15.0,3,65,18.21,1248.0,-286.5,130.0,0.0
2,2558.35,196.252,11.92,720.02,-2.94,4185,38.5,3,158,41.85,2862.0,-661.5,316.0,0.0
3,1705.86,279.0936,57.785,1003.895,1.72,2936,89.0,6,103,29.36,1959.0,-488.5,206.0,0.0
4,3425.23,308.9982,49.07,968.48,3.09,5823,94.5,3,197,58.23,3923.0,-950.0,394.0,0.0
5,2599.57,412.7054,123.59,1538.35,-0.86,4407,267.5,6,152,44.07,2970.0,-718.5,304.0,0.0
6,1466.43,379.5212,243.73,1113.285,-1.47,2493,398.0,3,90,24.93,1672.0,-410.5,180.0,0.0
7,3282.28,337.0442,43.435,1269.41,-1.47,5428,96.5,3,196,54.28,3700.0,-864.0,392.0,0.0
8,2432.34,426.9106,247.61,928.045,3.09,4234,400.0,9,134,42.34,2826.0,-704.0,268.0,0.0
9,4827.26,708.3568,425.94,1923.12,-2.85,8276,719.0,3,260,82.76,5575.0,-1350.5,520.0,0.0
10,3111.28,464.7642,250.72,1130.24,-2.42,5178,473.5,3,188,51.78,3515.0,-831.5,376.0,0.0
11,1554.62,372.3862,184.52,981.455,-1.84,2662,339.0,3,87,26.62,1790.0,-436.0,174.0,0.0
12,2929.78,479.5528,139.77,1438.97,-1.47,5078,221.0,3,168,50.78,3388.0,-845.0,336.0,0.0
13,3668.26,576.6384,256.575,1572.16,-1.47,6176,522.0,3,219,61.76,4171.0,-1002.5,438.0,0.0
14,3461.01,592.5992,309.53,1426.83,-1.47,5751,625.5,3,207,57.51,3910.0,-920.5,414.0,0.0
15,3857.6,539.5682,166.65,1533.355,0.03,6360,240.0,3,211,63.6,4368.0,-996.0,422.0,0.0
16,4787.03,432.8466,142.725,1287.995,2.6,8003,258.5,3,272,80.03,5443.0,-1280.0,544.0,0.0
17,3209.49,387.5156,62.515,1194.835,-1.47,5399,131.5,3,184,53.99,3658.0,-870.5,368.0,0.0
18,3398.37,477.415,178.345,1325.44,0.15,5837,311.0,11,202,58.37,3903.0,-967.0,404.0,0.0
19,3594.21,571.3146,220.25,1653.34,-1.35,6021,375.0,9,198,60.21,4099.0,-961.0,396.0,0.0
20,3121.59,555.88,228.16,1508.055,-1.47,5259,337.5,3,174,52.59,3567.0,-846.0,348.0,0.0
21,2130.22,521.663,377.245,1220.07,6.33,3572,599.5,8,129,35.72,2415.0,-578.5,258.0,0.0
22,5562.02,606.3014,134.37,1715.96,-1.47,9502,189.5,3,312,95.02,6396.0,-1553.0,624.0,0.0
23,2452.89,529.3884,307.955,1417.14,-1.47,4139,525.0,3,151,41.39,2786.0,-676.5,302.0,0.0
24,2751.93,497.4536,296.41,1215.55,-1.47,4593,491.5,3,162,45.93,3119.0,-737.0,324.0,0.0
25,2875.4,559.0214,312.96,1763.37,3.1,4890,517.5,10,163,48.9,3297.0,-796.5,326.0,0.0
26,2704.15,594.3202,261.88,1983.22,-1.47,4565,413.0,3,141,45.65,3106.0,-729.5,282.0,0.0
27,4352.18,488.291,138.945,1192.03,-1.47,7318,236.0,3,231,73.18,4984.0,-1167.0,462.0,0.0
