generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,15.95,2.3275,1.1517,7.8867,-2.35,65,12.2,3,1.0,1.95,34.333,-15.333,5.0,-10.0
2,12.4733,3.4611,3.4733,5.5183,-4.1133,71,15.8,3,0.6666666666666666,2.14,36.0,-17.667,3.333,-11.333
3,17.54,5.2229,4.7533,6.1717,-4.55,51,17.3,3,1.3333333333333333,0.54,14.0,-2.0,6.667,-1.667
4,22.1733,5.908,6.1567,6.6833,-3.71,60,17.3,3,1.6666666666666667,1.34,27.0,-8.833,8.333,-5.667
5,22.9333,7.1243,6.8033,8.4533,-2.4733,248,18.2,3,1.0,2.1,41.0,-14.5,5.0,-10.667
6,21.72,5.7492,4.645,5.615,-2.1233,50,15.7,3,1.3333333333333333,0.72,19.333,-2.333,6.667,-2.667
7,41.0033,10.0421,6.61,6.1417,-3.53,187,20.3,3,2.6666666666666665,1.17,33.333,-2.833,13.333,-4.0
8,28.65,7.1347,5.645,4.16,-0.91,96,17.2,3,2.6666666666666665,0.65,17.667,-2.0,13.333,-1.0
9,30.0933,9.0426,8.29,6.805,-2.13,72,20.5,3,2.6666666666666665,0.76,20.667,-2.333,13.333,-2.333
10,39.36,8.8221,6.3733,7.48,-2.74,98,20.0,3,3.0,1.36,33.333,-6.0,15.0,-4.333
11,29.7767,8.9526,7.0283,9.355,-1.7233,90,19.3,3,1.3333333333333333,2.61,51.333,-17.833,6.667,-13.0
12,80.0533,11.0301,7.9383,7.5133,-1.4833,224,22.3,3,4.0,6.72,133.333,-45.333,20.0,-34.667
13,40.6467,9.9325,6.0367,6.6133,-1.0733,116,23.7,3,3.3333333333333335,2.98,56.667,-21.333,16.667,-14.333
14,53.8367,10.6318,7.1117,4.9467,-1.41,191,25.5,3,4.0,4.67,86.667,-34.5,20.0,-23.0
15,82.32,13.7294,9.3567,7.5067,-1.41,261,26.0,3,5.666666666666667,7.82,144.333,-58.167,28.333,-40.0
16,53.4133,12.1063,7.7633,10.1783,-1.6833,103,24.0,3,2.6666666666666665,3.08,68.667,-17.0,13.333,-14.667
17,81.06,13.119,10.0083,10.505,-1.8267,202,24.7,8,5.333333333333333,6.06,120.0,-41.0,26.667,-30.667
18,50.1867,12.059,10.505,11.625,-3.1,151,27.3,3,2.6666666666666665,4.52,87.333,-31.667,13.333,-23.333
19,78.39,14.3859,9.8833,21.485,-0.81,196,32.5,6,5.333333333333333,5.89,116.0,-40.167,26.667,-30.0
