generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,3794.1767,959.7093,793.2233,2403.7433,-0.7033,15338,3219.0,3,220.0,460.11,4651.667,-1206.933,1100.0,-1210.667
2,4067.2,975.3193,814.49,1737.215,-0.71,16065,2942.0,3,247.33333333333334,477.5,4846.833,-1244.8,1236.667,-1249.0
3,3692.49,918.5439,697.5167,1165.8333,-0.54,14814,2942.8,3,230.66666666666666,444.39,4442.667,-1185.733,1153.333,-1162.167
4,3554.8833,874.6671,656.3817,1299.585,-1.2233,14209,2738.2,3,212.0,426.25,4305.833,-1119.533,1060.0,-1117.667
5,3100.6267,789.6533,646.4967,1096.0,-0.64,12566,2807.3,3,178.66666666666666,376.96,3810.667,-989.0,893.333,-991.333
6,2836.3567,774.6349,493.365,1565.1017,-0.54,11461,1919.8,3,168.66666666666666,343.79,3462.167,-907.267,843.333,-905.667
7,4657.7667,827.7642,499.1383,1681.0183,-0.54,19594,2200.5,3,277.6666666666667,587.8,5822.5,-1589.867,1388.333,-1551.0
8,3893.55,713.0703,498.6267,1400.89,-0.54,16659,2024.7,3,222.66666666666666,499.75,4951.667,-1351.2,1113.333,-1320.0
9,6075.9167,1002.1521,556.905,1144.1733,-0.54,24713,2359.5,3,337.3333333333333,741.35,7533.167,-1929.267,1686.667,-1956.0
10,6653.6767,969.8704,865.26,1560.0717,-0.0733,26738,3639.2,3,390.3333333333333,802.11,8112.5,-2102.6,1951.667,-2110.0
11,4228.3,876.804,623.4133,1420.5883,-0.54,17488,2605.3,3,240.0,524.6,5276.0,-1387.133,1200.0,-1385.167
12,4369.2433,775.9172,749.33,851.9733,-0.75,17331,2735.2,3,263.0,519.91,5260.667,-1362.0,1315.0,-1364.333
13,2997.8533,817.5681,657.485,1210.5667,-0.54,11932,2667.8,3,172.0,357.92,3649.0,-926.733,860.0,-942.333
14,4814.63,771.1101,282.5667,1289.2617,-0.3067,19199,1069.7,3,281.3333333333333,575.93,5846.5,-1501.133,1406.667,-1513.333
15,4707.6167,974.2581,603.9583,1981.8417,0.1033,18963,2720.0,3,278.6666666666667,568.85,5739.5,-1496.733,1393.333,-1497.333
16,6295.3667,862.7267,445.51,1401.975,-0.54,24661,1770.7,3,375.0,739.8,7537.333,-1917.267,1875.0,-1939.5
17,3812.47,819.5776,159.7333,1461.2567,-0.54,15887,602.5,3,234.66666666666666,476.57,4710.167,-1293.267,1173.333,-1254.333
18,4627.0667,984.4024,750.8233,2317.175,-0.8233,18621,3107.3,3,271.3333333333333,558.6,5647.5,-1465.2,1356.667,-1470.5
19,4055.28,740.7891,273.4817,1795.1867,-0.3067,16367,1211.3,3,239.0,490.98,4953.833,-1291.867,1195.0,-1292.667
20,2263.6967,769.9592,687.1983,1320.3383,-0.54,9499,3012.7,3,134.66666666666666,284.93,2826.667,-769.067,673.333,-752.167
21,4363.1867,868.043,401.61,1304.0317,-0.3067,17212,1704.8,3,252.0,516.32,5276.333,-1331.8,1260.0,-1357.667
