generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,1898.31,120.7922,2.905,254.34,-2.94,5431,11.5,3,53,54.31,2969.0,-1231.0,106.0,0.0
2,2871.5,326.8668,122.24,967.67,3.15,8400,368.0,5,73,84.0,4561.0,-1919.5,146.0,0.0
3,1637.88,390.5582,267.355,917.125,4.1,4788,753.5,10,48,47.88,2592.0,-1098.0,96.0,0.0
4,2127.05,581.4556,431.12,1710.385,13.89,6003,1157.5,39,51,59.05,3279.0,-1313.0,102.0,0.0
5,2401.04,452.877,330.325,1054.365,6.39,6904,963.0,15,66,69.04,3768.0,-1568.0,132.0,0.0
6,2335.98,424.3276,245.13,1067.38,7.34,7048,717.5,34,65,70.48,3773.0,-1637.5,130.0,0.0
7,3476.72,545.1018,446.525,1069.255,5.73,10472,1327.5,16,98,104.72,5608.0,-2432.0,196.0,0.0
8,2729.4,536.7576,305.355,1457.905,7.71,8040,899.5,21,84,80.4,4334.0,-1853.0,168.0,0.0
9,2879.65,399.3976,204.585,893.965,5.72,8515,619.5,22,82,85.15,4592.0,-1961.5,164.0,0.0
10,2139.29,550.6182,329.16,1417.01,3.15,6129,988.0,15,49,61.29,3363.0,-1383.0,98.0,0.0
11,2319.93,460.7418,316.55,1132.175,7.95,6543,951.0,28,69,65.43,3592.0,-1475.5,138.0,0.0
12,3727.77,528.8232,246.735,1302.075,1.65,10777,746.5,15,107,107.77,5863.0,-2457.0,214.0,0.0
13,1739.57,387.335,272.545,869.37,7.22,5107,727.5,22,45,51.07,2768.0,-1169.5,90.0,0.0
14,2580.56,549.7744,284.74,1352.22,14.08,7306,874.5,55,72,73.06,4011.0,-1647.5,144.0,0.0
15,2596.72,459.8144,289.86,1251.965,3.21,7572,811.0,21,68,75.72,4114.0,-1729.0,136.0,0.0
16,2030.15,329.3976,222.52,638.345,-1.47,5965,657.5,3,48,59.65,3238.0,-1363.5,96.0,0.0
17,1842.11,418.7354,225.0,1103.77,1.16,5361,639.0,16,46,53.61,2918.0,-1221.5,92.0,0.0
18,1828.6,435.8448,374.42,1014.24,1.22,5710,1132.0,9,52,57.1,3015.0,-1347.5,104.0,0.0
19,2382.92,518.3148,246.305,1592.325,7.23,6942,730.5,23,70,69.42,3763.0,-1589.5,140.0,0.0
20,2235.29,370.1372,204.535,1055.185,6.33,6629,605.0,9,56,66.29,3581.0,-1524.0,112.0,0.0
21,2726.0,499.2162,315.525,1090.45,10.2,8500,952.5,13,87,85.0,4478.0,-2011.0,174.0,0.0
22,1508.86,379.7566,257.245,879.76,1.59,4254,816.5,9,47,42.36,2327.0,-954.5,94.0,0.0
23,1706.85,407.7422,248.305,1113.855,4.59,4935,758.0,9,42,49.35,2694.0,-1120.5,84.0,0.0
24,2240.06,571.2374,410.19,1439.395,4.83,6656,1319.0,33,62,66.56,3585.0,-1535.5,124.0,0.0
25,1631.23,431.8784,304.03,1014.735,3.09,4923,953.0,9,35,49.23,2649.0,-1137.0,70.0,0.0
26,3079.18,586.4108,322.67,1514.2,4.71,9168,888.0,15,86,91.68,4933.0,-2117.5,172.0,0.0
27,2762.04,518.7182,200.17,1309.135,4.95,8054,588.0,14,76,80.54,4371.0,-1841.5,152.0,0.0
28,3498.97,546.8084,273.715,1534.54,3.09,10147,806.5,9,88,101.47,5530.0,-2308.5,176.0,0.0
29,3531.93,440.0762,183.47,924.995,4.71,10343,463.0,21,91,103.43,5612.0,-2365.5,182.0,0.0
30,2920.06,445.8658,341.83,1107.64,1.71,8556,983.0,21,71,85.56,4647.0,-1954.5,142.0,0.0
31,2439.6,509.6564,263.12,1183.475,11.27,7060,842.5,14,62,70.6,3850.0,-1605.0,124.0,0.0
32,2188.3,415.3926,278.34,953.265,1.22,6480,809.0,17,56,64.8,3501.0,-1489.5,112.0,0.0
33,1800.17,374.476,205.255,1025.795,7.83,5167,650.5,27,45,51.67,2828.0,-1169.5,90.0,0.0
34,2080.23,547.2414,320.565,1344.775,16.2,6273,971.5,20,51,62.73,3368.0,-1452.5,102.0,0.0
35,1483.26,508.1072,330.43,1325.43,6.21,4376,927.0,16,43,43.76,2361.0,-1007.5,86.0,0.0
36,2190.98,512.9982,337.445,1544.205,4.1,6348,919.5,10,55,63.48,3461.0,-1443.5,110.0,0.0
37,1888.79,482.7566,399.615,1109.115,-1.47,5429,1157.0,3,53,54.29,2962.0,-1233.5,106.0,0.0
38,1493.22,323.2346,161.35,1005.165,4.22,4372,431.0,19,35,43.72,2377.0,-997.5,70.0,0.0
39,2486.39,490.14,263.445,1192.255,3.09,7239,797.0,9,73,72.39,3925.0,-1657.0,146.0,0.0
40,2322.37,574.0366,389.28,1513.305,4.65,6887,1153.0,15,57,68.87,3722.0,-1582.5,114.0,0.0
41,2855.0,652.7598,434.56,1871.045,4.71,8400,1216.5,3,67,84.0,4558.0,-1921.0,134.0,0.0
42,2198.61,417.2756,303.735,1086.645,4.65,6511,893.0,15,47,65.11,3530.0,-1490.5,94.0,0.0
43,2260.59,434.519,219.465,1199.26,4.65,6659,671.5,15,49,66.59,3617.0,-1521.0,98.0,0.0
44,4114.42,530.6002,366.68,1284.625,10.89,12042,1080.5,27,107,120.42,6534.0,-2754.0,214.0,0.0
45,3485.68,543.7856,367.675,1272.905,7.28,9868,1014.0,16,88,98.68,5430.0,-2219.0,176.0,0.0
46,3433.1,684.0114,339.115,2021.965,4.83,9960,1061.5,15,100,99.6,5409.0,-2275.5,200.0,0.0
