generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns
1,13.31,1.0722,0.045,-5.41,81,9.0,3
2,11.53,2.9978,2.215,-2.41,88,14.5,3
3,14.57,3.9826,2.89,-1.96,105,15.5,3
4,15.12,4.1248,3.09,-2.45,87,20.5,5
5,15.7,4.064,3.3,-1.5,82,14.5,3
6,20.49,4.8226,4.035,-2.31,93,13.0,3
7,30.01,6.644,5.06,-1.47,77,10.0,3
8,35.33,7.8324,5.805,-1.47,76,10.5,3
9,41.81,6.5302,4.325,-4.85,63,10.0,3
10,35.43,8.4272,7.12,-2.94,81,11.5,3
11,40.59,10.119,7.635,-1.93,73,11.5,3
12,54.52,11.6842,7.325,-2.94,52,10.0,3
13,59.01,12.8946,10.62,-1.47,51,12.0,3
14,41.89,14.3572,11.13,-2.94,39,13.0,3
15,48.99,13.4188,11.13,-1.47,49,14.0,3
16,64.17,12.0888,10.11,-2.94,67,12.5,3
17,51.44,9.1528,6.38,-2.94,44,9.0,3
18,26.25,8.8452,7.585,-2.94,31,9.0,3
19,59.21,7.7612,5.07,-2.94,88,6.5,3
20,47.43,10.056,8.105,-2.94,45,10.0,3
21,40.41,12.2644,9.105,-2.94,44,12.0,3
22,42.86,9.7452,8.27,-2.94,52,10.0,3
23,52.88,14.3996,10.675,-1.47,46,14.0,3
24,50.93,14.2832,12.125,-2.94,43,13.0,3
25,96.92,16.7862,14.155,-2.94,92,14.0,3
26,62.23,13.2458,9.12,-2.94,73,9.5,3
27,58.21,15.7048,12.705,-2.94,71,13.5,3
28,64.54,14.97,9.615,-2.94,54,11.5,3
29,35.32,12.9572,11.665,-2.94,37,15.0,3
30,67.65,15.3866,11.13,-2.94,65,14.0,3
31,75.66,14.2352,10.61,-1.44,66,11.0,3
32,49.49,14.7088,12.86,-1.47,49,14.0,3
33,103.88,17.7262,12.105,-1.93,88,14.0,3
34,73.12,16.4022,13.87,-2.94,62,14.0,3
35,50.05,10.0698,6.325,-2.94,55,9.0,3
36,58.99,12.6866,10.595,-3.84,49,12.5,3
37,50.95,14.2046,10.605,-2.94,51,11.0,3
38,72.56,14.7144,9.58,-2.94,58,13.0,3
39,141.24,17.1248,10.38,-2.94,124,13.0,3
40,99.34,16.5732,14.165,-1.47,84,15.0,3
41,89.31,16.681,13.615,-2.94,81,12.5,3
42,73.18,13.645,9.815,-2.94,68,9.5,3
43,93.44,20.9356,15.39,-2.94,94,14.5,3
44,77.69,15.519,11.655,-1.85,69,15.0,3
45,54.98,17.3034,14.915,-2.94,54,15.0,3
46,65.64,18.1256,15.395,-1.89,64,16.0,3
47,129.06,17.1224,12.89,-2.94,106,15.0,3
48,80.62,12.469,8.615,-2.94,62,13.5,3
49,64.54,16.351,12.425,-2.94,69,14.0,3
50,70.05,15.5626,11.87,-2.94,55,12.5,3
51,59.01,17.8072,13.87,-2.94,51,13.0,3
52,102.31,19.3498,12.63,-1.47,81,12.5,3
53,84.19,23.7684,17.37,-0.46,69,17.5,3
54,111.43,24.1106,17.67,-1.47,93,17.0,3
55,113.54,24.7388,18.425,-1.47,104,17.5,3
56,88.21,23.7076,18.685,-1.47,71,17.5,3
57,81.66,22.3772,19.405,-1.47,71,16.5,3
58,66.7,19.8944,14.635,-1.47,70,15.0,3
59,65.6,21.772,15.375,-1.47,60,15.5,3
60,55.55,17.0552,13.865,-0.46,55,13.0,4
61,81.1,21.8772,14.115,-1.47,72,13.5,3
62,60.46,18.1506,15.93,-1.47,46,14.5,3
63,67.63,19.1054,16.66,1.04,63,18.0,4
64,75.61,17.0972,11.6,-1.47,61,9.5,3
65,80.28,20.5164,14.375,-1.47,78,18.0,3
66,40.29,13.8182,9.845,-1.47,31,10.0,3
67,118.47,19.8712,14.87,-1.47,97,14.0,3
68,64.47,19.629,15.4,-1.96,51,14.0,3
69,88.29,16.3052,10.64,-2.94,79,14.5,3
70,63.56,19.2412,15.445,-2.45,56,16.0,3
71,47.91,12.1728,10.1,-2.94,41,10.0,3
72,85.81,17.5582,11.07,-2.94,81,8.5,3
73,139.64,23.3962,16.175,-2.94,114,16.0,5
74,85.27,20.8608,16.895,-3.28,77,15.5,3
75,87.31,24.5636,19.915,-1.96,81,17.0,3
76,126.43,31.3766,18.935,-2.94,93,17.5,3
77,70.64,18.6238,11.88,-1.47,64,13.0,3
78,63.01,13.0926,8.335,-1.96,51,9.0,3
79,80.23,20.748,16.89,-1.47,73,14.0,3
80,69.51,21.124,16.91,-1.47,59,15.5,3
81,176.5,28.1516,18.18,-1.47,150,16.0,3
82,93.76,28.7408,23.175,-1.47,81,20.0,3
83,78.25,28.0158,25.2,-1.47,75,19.5,3
84,74.59,22.4584,16.14,-2.94,66,15.0,3
85,99.77,29.2024,20.315,-1.47,82,18.0,3
86,104.88,31.5136,22.745,-1.47,88,19.5,3
87,128.01,35.0018,25.47,-1.47,101,21.0,3
88,112.99,33.0964,24.455,-1.47,115,25.0,3
89,113.93,34.1384,25.95,-1.47,93,22.5,3
90,79.13,25.4666,20.91,-1.47,63,17.5,3
91,68.06,23.3502,16.935,-1.47,56,18.0,3
92,175.5,32.311,19.54,-1.47,150,18.0,3
93,99.33,28.4388,26.24,-1.47,83,23.0,3
94,138.74,28.4654,15.645,-1.47,124,15.0,3
95,193.33,28.1876,17.685,-1.47,183,18.0,3
96,116.49,28.1674,22.44,0.03,99,23.0,3
97,105.53,31.9264,22.74,-1.47,103,19.0,3
98,165.37,31.1788,24.19,-1.47,137,22.0,3
99,136.26,24.672,15.635,-1.47,126,15.0,3
100,150.22,35.3264,30.26,-1.47,122,27.0,3
