generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,26.72,3.7998,2.615,-5.85,84,9.5,3,1,0.72,40.0,-16.0,2.0,0.0
2,17.97,4.5512,3.53,-2.45,52,10.0,3,1,0.47,26.0,-10.5,2.0,0.0
3,18.69,5.4522,4.68,-2.91,69,16.0,3,0,0.69,35.0,-17.0,0.0,0.0
4,32.17,7.5742,5.045,-1.47,105,19.0,3,1,0.67,42.0,-12.5,2.0,0.0
5,59.45,12.039,7.65,-1.47,145,22.0,3,3,1.45,83.0,-31.0,6.0,0.0
6,72.88,14.7416,7.355,0.09,160,27.0,3,5,1.38,87.0,-25.5,10.0,0.0
7,134.43,21.0562,13.92,3.09,293,32.0,3,7,2.93,176.0,-58.5,14.0,0.0
8,47.56,11.52,10.025,-0.4,106,24.0,5,4,1.06,61.0,-22.5,8.0,0.0
9,36.99,8.7948,6.85,-1.47,101,17.0,3,0,0.99,57.0,-21.0,0.0,0.0
10,42.54,10.3378,6.775,-1.84,153,15.5,3,1,1.04,61.0,-21.5,2.0,0.0
11,61.32,11.7862,9.03,0.79,231,22.0,4,3,1.32,80.0,-26.0,6.0,0.0
12,103.66,13.6208,8.48,-1.47,316,23.5,3,4,3.16,167.0,-74.5,8.0,0.0
13,121.22,24.2172,12.48,-1.47,314,48.0,3,5,2.72,163.0,-54.5,10.0,0.0
14,76.0,18.628,12.615,0.09,300,42.5,3,2,3.0,146.0,-77.0,4.0,0.0
15,61.81,14.2002,9.075,-3.77,231,30.0,3,2,2.31,114.0,-58.5,4.0,0.0
16,68.26,14.3158,7.8,0.09,276,36.5,6,2,2.76,133.0,-71.5,4.0,0.0
17,71.63,14.9054,8.93,0.09,263,42.0,8,2,2.63,131.0,-66.0,4.0,0.0
18,53.67,13.8696,9.765,-3.4,267,38.5,9,0,2.67,123.0,-72.0,0.0,0.0
19,77.91,14.8714,6.98,-1.41,241,32.0,3,2,2.41,128.0,-56.5,4.0,0.0
20,68.5,15.0408,8.71,-3.28,250,36.0,3,1,2.5,126.0,-62.0,2.0,0.0
21,78.68,17.797,11.675,1.1,268,40.0,3,3,2.68,136.0,-66.0,6.0,0.0
22,70.03,15.4314,10.7,-2.45,203,37.5,5,3,2.03,109.0,-47.0,6.0,0.0
23,94.09,17.4146,11.82,-0.92,309,41.0,6,5,3.09,157.0,-76.0,10.0,0.0
24,121.54,17.1932,11.04,0.09,454,45.5,3,4,4.54,224.0,-115.0,8.0,0.0
25,42.39,11.5182,7.89,0.15,189,31.0,6,0,1.89,90.0,-49.5,0.0,0.0
26,63.21,16.0582,13.51,-2.45,221,40.5,3,1,2.21,113.0,-54.0,2.0,0.0
27,49.79,18.2316,15.66,-1.41,179,63.5,5,2,1.79,89.0,-45.0,4.0,0.0
28,91.28,17.6584,9.855,0.15,328,43.0,3,3,3.28,164.0,-82.0,6.0,0.0
29,93.47,20.4414,14.22,1.65,297,66.5,6,4,2.97,154.0,-71.5,8.0,0.0
30,74.6,16.9134,12.51,0.58,260,40.0,6,2,2.6,132.0,-64.0,4.0,0.0
31,114.12,21.8068,12.45,1.59,412,48.5,3,2,4.12,208.0,-102.0,4.0,0.0
32,79.65,20.4814,11.24,0.09,315,44.5,6,0,3.15,156.0,-79.5,0.0,0.0
33,117.52,24.6978,14.985,0.09,502,57.0,6,4,5.02,237.0,-132.5,8.0,0.0
34,207.09,27.661,10.26,1.59,609,47.0,8,9,6.09,325.0,-142.0,18.0,0.0
