generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,36.57,3.3634,0.565,-5.85,107,9.0,3,1,1.07,58.0,-24.5,2.0,0.0
2,25.99,5.3762,4.65,-3.83,160,15.0,3,1,0.49,32.0,-8.5,2.0,0.0
3,32.43,7.9806,5.315,-1.47,93,15.0,3,0,0.93,52.0,-20.5,0.0,0.0
4,64.63,12.2528,8.02,-1.47,113,23.0,3,6,1.13,72.0,-20.5,12.0,0.0
5,88.45,16.169,8.6,-1.47,195,18.5,3,5,1.95,116.0,-39.5,10.0,0.0
6,68.23,12.9846,7.71,-1.47,123,16.0,3,2,1.23,83.0,-20.0,4.0,0.0
7,111.91,15.7898,10.24,1.07,141,22.5,3,11,1.41,106.0,-17.5,22.0,0.0
8,300.43,23.3898,9.43,-1.47,443,21.0,3,15,4.43,325.0,-59.0,30.0,0.0
9,118.75,23.8588,13.96,-3.92,175,25.5,3,10,1.75,123.0,-26.0,20.0,0.0
10,107.08,20.49,13.52,-1.96,158,28.0,3,6,1.58,115.0,-21.5,12.0,0.0
11,96.57,26.1092,17.9,-1.47,157,35.0,3,8,1.57,105.0,-26.0,16.0,0.0
12,181.77,25.3342,10.7,-1.47,227,21.0,3,13,2.27,178.0,-24.5,26.0,0.0
13,187.23,35.0522,16.93,1.59,304,39.5,9,15,2.73,194.0,-39.5,30.0,0.0
14,123.44,24.7896,15.25,-1.47,395,27.0,3,8,1.94,135.0,-29.5,16.0,0.0
15,164.1,29.218,15.645,-1.47,296,40.5,3,13,2.6,177.0,-41.5,26.0,0.0
16,167.33,27.6638,16.545,-2.42,283,29.0,8,12,2.83,188.0,-47.5,24.0,0.0
17,137.97,21.7266,13.14,-1.47,247,27.5,3,8,2.47,162.0,-42.5,16.0,0.0
18,188.51,35.2616,20.84,-1.47,301,33.5,3,12,3.01,208.0,-46.5,24.0,0.0
19,234.51,38.7348,17.975,-1.47,401,36.0,3,16,4.01,266.0,-67.5,32.0,0.0
20,197.37,31.6002,15.895,-1.47,337,33.5,3,14,3.37,223.0,-57.0,28.0,0.0
21,180.36,29.2828,16.085,-1.47,286,31.0,3,8,2.86,203.0,-41.5,16.0,0.0
22,106.85,28.7236,19.785,-1.47,185,38.5,3,5,1.85,125.0,-30.0,10.0,0.0
23,126.14,25.4864,12.955,1.1,214,28.0,4,6,2.14,146.0,-34.0,12.0,0.0
24,122.27,27.362,14.3,-1.47,227,26.5,3,5,2.27,149.0,-39.0,10.0,0.0
25,122.8,30.4496,15.805,-1.47,250,29.5,3,8,1.8,130.0,-25.0,16.0,0.0
26,82.42,25.972,22.86,-1.47,152,33.5,3,4,1.42,96.0,-23.0,8.0,0.0
27,172.13,32.2016,19.61,-1.47,313,31.5,3,9,3.13,205.0,-54.0,18.0,0.0
28,126.87,24.6598,14.08,-1.47,187,27.5,3,8,1.87,135.0,-26.0,16.0,0.0
29,158.19,25.2646,13.5,-1.47,219,20.0,3,12,2.19,161.0,-29.0,24.0,0.0
30,115.68,18.3794,11.48,-1.47,168,24.5,3,9,1.68,120.0,-24.0,18.0,0.0
31,81.46,16.7084,12.12,-1.47,208,27.5,3,6,1.46,94.0,-26.0,12.0,0.0
32,111.39,17.9294,10.92,-1.87,204,27.5,3,8,1.39,109.0,-15.0,16.0,0.0
33,74.38,20.1524,12.87,-1.47,104,32.0,3,7,0.88,69.0,-9.5,14.0,0.0
34,75.67,23.0582,15.745,0.09,125,32.5,5,5,1.17,82.0,-17.5,10.0,0.0
35,110.6,20.272,10.685,-1.47,210,22.0,3,4,2.1,137.0,-36.5,8.0,0.0
36,82.94,19.7482,13.1,-1.47,144,22.0,3,4,1.44,97.0,-23.5,8.0,0.0
37,124.03,21.7588,12.74,-1.47,253,20.0,3,10,2.53,152.0,-50.5,20.0,0.0
38,105.44,19.272,11.94,0.09,194,28.0,3,8,1.94,123.0,-35.5,16.0,0.0
39,94.96,22.8624,14.49,-1.47,182,25.0,3,3,1.46,107.0,-19.5,6.0,0.0
40,70.26,14.53,11.28,-1.47,126,17.5,3,3,1.26,84.0,-21.0,6.0,0.0
41,93.78,19.487,14.4,-1.47,128,32.0,3,7,1.28,95.0,-16.5,14.0,0.0
42,88.27,21.3346,18.005,-1.47,127,26.0,3,7,1.27,91.0,-18.0,14.0,0.0
43,115.49,29.38,18.785,1.59,149,28.5,9,11,1.49,111.0,-19.0,22.0,0.0
44,231.86,42.4634,25.65,-1.47,336,50.0,3,19,3.36,239.0,-48.5,38.0,0.0
45,130.98,33.3432,18.85,0.67,198,29.5,6,9,1.98,140.0,-29.0,18.0,0.0
46,217.29,37.9508,28.985,-1.47,329,34.0,3,16,3.29,231.0,-49.0,32.0,0.0
47,121.22,33.7546,24.995,-1.75,190,32.5,9,11,1.22,106.0,-8.0,22.0,0.0
48,257.88,37.9704,29.18,4.77,338,33.5,9,19,3.38,257.0,-40.5,38.0,0.0
49,110.67,29.682,19.26,1.65,167,34.0,8,7,1.67,119.0,-24.0,14.0,0.0
50,121.31,30.3128,21.015,1.1,181,28.0,5,9,1.81,128.0,-26.5,18.0,0.0
51,160.9,35.75,20.325,1.59,240,27.0,3,11,2.4,171.0,-34.5,22.0,0.0
52,142.22,42.0126,28.38,3.15,224,38.5,5,10,2.22,154.0,-34.0,20.0,0.0
53,165.86,31.5574,21.76,0.09,236,29.5,9,14,2.36,169.0,-33.5,28.0,0.0
54,145.98,43.202,33.15,2.11,253,39.0,10,15,1.98,142.0,-28.0,30.0,0.0
55,156.3,35.412,27.26,4.08,230,40.5,6,10,2.3,166.0,-32.0,20.0,0.0
56,254.72,45.3826,30.33,4.05,372,47.5,5,19,3.72,266.0,-53.0,38.0,0.0
57,151.88,40.0524,27.645,1.59,238,41.5,9,9,2.38,167.0,-35.5,18.0,0.0
58,146.83,33.976,20.015,0.03,233,27.5,3,9,2.33,162.0,-35.5,18.0,0.0
59,146.18,35.6536,20.56,3.21,180,36.0,5,13,1.68,135.0,-16.5,26.0,0.0
60,167.79,38.3624,24.875,4.05,229,31.5,5,14,2.29,168.0,-30.5,28.0,0.0
61,131.59,32.5874,25.375,2.66,209,31.0,6,9,2.09,144.0,-32.5,18.0,0.0
62,118.21,35.7164,26.975,3.09,171,36.0,9,8,1.71,124.0,-23.5,16.0,0.0
63,187.14,39.7926,31.3,2.6,264,43.5,10,15,2.64,191.0,-36.5,30.0,0.0
64,144.52,33.7908,21.625,1.65,252,35.0,7,8,2.52,168.0,-42.0,16.0,0.0
65,119.87,39.6204,36.455,2.75,186,55.0,9,11,1.37,110.0,-13.5,22.0,0.0
66,124.7,32.6862,23.495,1.83,170,35.0,5,11,1.7,124.0,-23.0,22.0,0.0
67,213.71,52.355,37.02,4.11,321,46.5,11,16,3.21,226.0,-47.5,32.0,0.0
68,119.42,30.876,21.395,-1.47,192,27.0,3,7,1.92,133.0,-29.5,14.0,0.0
69,186.1,43.1856,31.465,6.1,360,46.0,10,11,3.6,227.0,-66.5,22.0,0.0
70,83.42,27.971,21.72,1.59,142,33.0,3,6,1.42,94.0,-24.0,12.0,0.0
71,104.41,25.5132,19.145,-1.47,191,34.0,3,6,1.91,124.0,-33.5,12.0,0.0
72,119.18,33.7956,21.32,-1.47,168,34.0,3,13,1.68,117.0,-25.5,26.0,0.0
73,205.33,35.0614,18.535,-1.47,333,29.5,3,14,3.33,227.0,-53.0,28.0,0.0
74,172.16,37.2672,22.755,0.61,229,31.0,4,13,2.16,168.0,-24.0,26.0,0.0
75,133.14,30.7504,17.465,3.15,214,29.0,5,8,2.14,148.0,-33.0,16.0,0.0
76,142.14,26.02,17.985,1.53,229,26.0,3,11,2.14,150.0,-32.0,22.0,0.0
77,146.77,29.839,18.725,1.13,227,26.5,8,12,2.27,156.0,-35.5,24.0,0.0
78,87.54,26.4096,24.455,2.61,154,40.0,3,5,1.54,102.0,-26.0,10.0,0.0
79,131.31,32.7916,20.485,0.09,215,28.0,6,8,1.81,136.0,-22.5,16.0,0.0
80,150.88,32.734,15.495,2.6,238,27.5,5,10,2.38,165.0,-36.5,20.0,0.0
81,125.31,30.1088,15.39,1.59,195,27.0,9,11,1.81,128.0,-26.5,22.0,0.0
82,205.88,24.4304,13.745,0.03,288,21.5,3,16,2.88,210.0,-39.0,32.0,0.0
83,216.47,30.6436,18.475,-3.89,297,28.0,3,16,2.97,220.0,-38.5,32.0,0.0
84,97.76,39.4612,33.615,-0.43,142,57.5,3,10,1.26,93.0,-16.5,20.0,0.0
85,151.15,34.7404,27.0,-1.47,215,33.0,3,12,2.15,155.0,-30.0,24.0,0.0
86,202.03,35.0778,18.49,-1.47,303,27.0,3,14,3.03,215.0,-44.0,28.0,0.0
87,130.7,23.4576,12.175,3.04,191,21.0,4,11,1.7,128.0,-21.0,22.0,0.0
88,132.25,27.7494,19.2,3.09,225,26.0,5,8,2.25,151.0,-37.0,16.0,0.0
89,132.19,33.5702,19.945,-1.47,219,31.0,3,11,2.19,145.0,-37.0,22.0,0.0
90,284.07,41.598,21.26,1.59,407,32.0,7,25,4.07,289.0,-59.0,50.0,0.0
91,227.29,38.8422,13.86,0.09,329,33.0,7,18,3.29,235.0,-47.0,36.0,0.0
92,195.26,29.2604,20.365,1.56,276,33.5,6,16,2.76,199.0,-38.5,32.0,0.0
93,127.03,27.4722,16.635,1.62,203,30.5,5,12,2.03,135.0,-34.0,24.0,0.0
94,120.46,36.0542,25.22,-1.47,196,40.0,3,7,1.96,135.0,-30.5,14.0,0.0
95,112.09,35.2376,27.09,-1.47,160,43.5,3,11,1.59,112.0,-23.5,22.0,0.0
96,129.5,31.2958,21.035,1.59,200,31.0,6,8,2.0,141.0,-29.5,16.0,0.0
97,115.69,28.6716,21.12,-1.47,171,36.0,3,10,1.69,119.0,-25.0,20.0,0.0
98,187.25,34.4632,17.095,-1.47,275,32.0,3,14,2.75,196.0,-39.5,28.0,0.0
99,124.7,34.8362,24.035,0.09,187,31.5,6,11,1.7,124.0,-23.0,22.0,0.0
100,117.43,31.7558,14.48,-1.35,223,27.5,4,12,1.43,109.0,-17.0,24.0,0.0
101,90.82,22.8292,13.945,0.09,132,29.0,9,8,1.32,93.0,-19.5,16.0,0.0
102,167.46,26.131,15.905,-1.47,246,22.5,3,12,2.46,176.0,-35.0,24.0,0.0
103,173.07,32.4312,19.56,1.19,307,31.5,8,11,3.07,201.0,-53.0,22.0,0.0
104,272.18,37.1338,14.495,2.69,368,23.0,8,23,3.68,271.0,-48.5,46.0,0.0
105,127.08,25.985,14.46,1.59,179,28.0,8,13,1.58,119.0,-19.5,26.0,0.0
106,128.69,29.9514,17.565,1.59,219,27.5,3,7,2.19,148.0,-35.5,14.0,0.0
107,138.59,26.6552,13.625,1.59,265,27.0,3,13,1.59,127.0,-16.0,26.0,0.0
108,188.2,28.795,16.795,-1.47,320,29.0,3,12,3.2,214.0,-53.0,24.0,0.0
109,228.01,23.7252,11.555,-1.47,401,28.0,3,12,4.01,267.0,-67.0,24.0,0.0
110,192.17,32.2962,17.82,-1.41,276,29.0,6,16,2.67,194.0,-36.5,32.0,0.0
111,143.72,33.5534,24.41,2.6,272,38.5,5,8,2.72,174.0,-49.0,16.0,0.0
112,206.81,38.8514,20.24,0.21,331,37.5,3,12,3.31,230.0,-50.5,24.0,0.0
113,135.38,30.6616,15.51,1.59,231,33.0,5,11,1.88,137.0,-25.5,22.0,0.0
114,156.6,33.217,20.885,3.53,210,35.0,3,12,2.1,157.0,-26.5,24.0,0.0
115,119.8,32.0406,23.305,2.7,180,43.5,8,8,1.8,128.0,-26.0,16.0,0.0
116,161.87,24.8622,16.76,0.09,287,31.5,5,5,2.87,195.0,-46.0,10.0,0.0
117,330.89,33.25,16.255,1.1,489,25.5,7,25,4.89,347.0,-71.0,50.0,0.0
118,133.51,39.4248,26.745,-0.92,266,51.5,8,11,2.01,140.0,-30.5,22.0,0.0
119,110.82,34.0926,22.095,-1.47,182,40.5,3,7,1.82,124.0,-29.0,14.0,0.0
120,130.42,33.4112,23.255,1.1,230,35.5,3,11,1.92,135.0,-28.5,22.0,0.0
121,149.36,27.3536,14.575,-4.35,236,27.0,3,8,2.36,166.0,-35.0,16.0,0.0
122,189.77,33.2574,20.21,-1.47,277,28.0,3,15,2.77,197.0,-40.0,30.0,0.0
123,82.58,24.8518,15.98,-1.47,128,27.5,3,7,1.08,81.0,-13.5,14.0,0.0
124,282.28,32.2732,19.26,-1.47,378,27.0,3,23,3.78,281.0,-48.5,46.0,0.0
125,164.28,38.6556,29.63,3.09,278,51.0,8,7,2.78,191.0,-43.5,14.0,0.0
126,125.19,31.0166,18.05,1.59,219,33.5,8,9,2.19,143.0,-38.0,18.0,0.0
127,178.36,34.2352,23.8,-1.47,236,43.5,3,15,2.36,176.0,-30.0,30.0,0.0
128,177.95,31.374,23.595,3.21,245,39.0,6,17,2.45,176.0,-34.5,34.0,0.0
129,168.18,34.5508,22.155,1.1,268,42.5,9,11,2.68,185.0,-41.5,22.0,0.0
130,123.71,26.8838,19.435,-1.47,171,22.5,3,10,1.71,125.0,-23.0,20.0,0.0
131,221.57,37.6782,19.29,-1.47,357,41.5,3,13,3.57,247.0,-55.0,26.0,0.0
132,261.04,26.1932,13.45,1.14,404,27.5,5,21,4.04,278.0,-63.0,42.0,0.0
133,174.5,31.4702,21.585,-1.47,300,28.0,3,13,3.0,197.0,-51.5,26.0,0.0
134,157.63,31.3952,24.255,1.59,213,35.5,8,17,2.13,152.0,-30.5,34.0,0.0
135,108.73,30.2282,20.035,0.09,175,34.5,9,6,1.73,121.0,-26.0,12.0,0.0
136,150.54,35.171,19.785,-1.47,209,36.5,3,12,2.04,151.0,-26.5,24.0,0.0
137,155.77,38.9324,28.89,1.59,236,45.0,9,12,2.27,162.0,-32.5,24.0,0.0
138,129.39,46.1634,40.45,4.1,239,57.5,8,7,2.39,155.0,-42.0,14.0,0.0
139,142.74,41.4624,26.635,4.59,224,42.5,9,10,2.24,155.0,-34.5,20.0,0.0
140,217.33,44.5956,24.795,-1.47,347,33.5,3,17,3.33,231.0,-51.0,34.0,0.0
141,314.82,35.6666,21.565,-1.47,432,35.5,3,27,4.32,315.0,-58.5,54.0,0.0
142,150.03,37.1404,20.98,1.59,253,39.5,9,8,2.53,172.0,-40.5,16.0,0.0
143,235.39,32.924,21.18,0.09,339,39.5,3,17,3.39,245.0,-47.0,34.0,0.0
144,157.1,36.0536,21.03,-1.47,280,40.5,3,11,2.6,175.0,-42.5,22.0,0.0
145,203.83,32.0028,24.765,-1.9,333,35.5,3,14,3.33,226.0,-53.5,28.0,0.0
146,278.48,43.4778,26.06,0.12,348,33.0,5,22,3.48,270.0,-39.0,44.0,0.0
147,207.31,37.8058,18.79,-2.39,331,31.0,6,13,3.31,229.0,-51.0,26.0,0.0
148,79.08,24.2176,17.525,-1.47,121,30.5,3,6,1.08,80.0,-14.0,12.0,0.0
149,167.96,35.362,23.865,-1.47,246,38.5,3,13,2.46,175.0,-35.5,26.0,0.0
150,257.99,47.3548,24.83,2.14,399,39.0,3,19,3.99,277.0,-61.0,38.0,0.0
151,132.92,38.6076,22.7,3.53,192,38.5,3,7,1.92,142.0,-25.0,14.0,0.0
152,243.87,39.8266,18.425,1.65,489,34.0,6,17,3.37,250.0,-43.5,34.0,0.0
153,280.7,38.4888,21.295,-1.47,370,37.0,3,24,3.7,276.0,-47.0,48.0,0.0
154,298.2,49.823,29.105,3.09,470,50.5,5,22,4.7,323.0,-73.5,44.0,0.0
155,105.78,35.2592,22.67,1.59,171,39.0,8,13,1.28,95.0,-16.5,26.0,0.0
156,161.2,33.8522,18.545,3.09,270,32.5,9,8,2.7,185.0,-42.5,16.0,0.0
157,134.48,31.873,19.735,3.15,168,34.0,9,15,1.48,118.0,-15.0,30.0,0.0
158,125.02,25.1222,15.13,-1.47,202,30.0,3,10,2.02,136.0,-33.0,20.0,0.0
159,191.34,37.0928,21.09,5.06,284,34.5,6,16,2.84,199.0,-42.5,32.0,0.0
160,175.64,35.111,20.785,-1.47,286,35.0,3,13,2.64,186.0,-39.0,26.0,0.0
161,122.17,35.3126,21.81,-1.47,187,32.0,3,9,1.67,124.0,-21.5,18.0,0.0
162,127.4,39.8504,27.87,1.59,190,51.0,8,6,1.9,139.0,-25.5,12.0,0.0
163,173.51,34.3728,20.98,5.66,251,31.0,9,14,2.51,179.0,-36.0,28.0,0.0
164,169.9,36.4196,26.605,2.6,240,49.5,5,14,2.4,173.0,-33.5,28.0,0.0
165,218.95,46.0902,35.425,0.09,345,46.0,5,14,3.45,240.0,-52.5,28.0,0.0
166,184.02,31.174,15.19,1.53,252,27.5,3,18,2.52,181.0,-35.5,36.0,0.0
167,102.46,25.7768,18.99,0.09,170,28.0,9,9,1.46,104.0,-21.0,18.0,0.0
168,161.15,31.6654,20.74,1.1,229,30.0,3,14,2.15,159.0,-28.0,28.0,0.0
169,156.08,38.3744,24.735,-1.47,208,41.5,3,12,2.08,156.0,-26.0,24.0,0.0
170,187.6,34.4648,15.5,-1.47,260,29.0,3,15,2.6,190.0,-35.0,30.0,0.0
171,118.62,27.545,19.665,-2.61,162,36.5,7,9,1.62,120.0,-21.0,18.0,0.0
172,177.27,40.8844,30.545,-1.47,277,40.0,3,5,2.77,202.0,-37.5,10.0,0.0
173,118.13,40.7464,29.26,1.14,213,42.0,6,7,2.13,139.0,-37.0,14.0,0.0
174,169.18,45.3096,28.415,4.1,218,44.5,5,15,2.18,164.0,-27.0,30.0,0.0
175,201.8,40.6278,23.815,-1.47,330,39.0,3,10,3.3,229.0,-50.5,20.0,0.0
176,181.03,35.328,22.98,0.09,253,33.0,3,19,2.53,178.0,-37.5,38.0,0.0
177,117.31,31.3526,19.975,1.65,198,34.0,7,12,1.31,105.0,-13.0,24.0,0.0
178,152.78,41.1246,23.17,1.1,257,45.0,8,10,2.28,163.0,-32.5,20.0,0.0
179,158.63,32.3002,21.47,4.71,213,40.0,10,13,2.13,158.0,-27.5,26.0,0.0
180,144.62,38.3772,19.52,0.15,312,33.5,5,7,3.12,189.0,-61.5,14.0,0.0
181,130.08,26.8636,18.325,-1.47,208,31.5,3,8,2.08,144.0,-32.0,16.0,0.0
182,92.15,23.5682,16.47,-1.47,165,27.0,3,7,1.65,106.0,-29.5,14.0,0.0
183,125.54,29.0614,21.995,-1.47,204,30.0,3,10,2.04,137.0,-33.5,20.0,0.0
184,107.97,27.7908,20.595,1.1,147,33.0,10,6,1.47,112.0,-17.5,12.0,0.0
185,135.26,29.1812,22.05,-6.74,226,41.0,3,6,2.26,156.0,-35.0,12.0,0.0
186,131.67,24.2972,16.585,-3.43,167,28.0,3,10,1.67,129.0,-19.0,20.0,0.0
187,174.75,36.6766,26.38,-1.47,275,39.5,3,16,2.75,185.0,-45.0,32.0,0.0
188,185.18,30.9438,15.87,-1.47,318,28.0,3,13,3.18,210.0,-54.0,26.0,0.0
189,123.96,31.5482,17.29,-2.91,231,31.5,3,7,1.46,121.0,-12.5,14.0,0.0
190,257.13,37.1358,16.26,-1.47,363,34.0,3,21,3.63,262.0,-50.5,42.0,0.0
191,270.4,45.3624,27.185,-1.47,340,44.5,3,22,3.4,262.0,-39.0,44.0,0.0
192,248.93,51.0542,37.13,-0.4,343,56.0,10,18,3.43,254.0,-44.5,36.0,0.0
193,272.03,40.9428,18.9,-1.47,303,45.5,3,25,3.03,247.0,-28.0,50.0,0.0
194,281.48,48.0786,24.36,3.21,348,45.5,10,22,3.48,272.0,-38.0,44.0,0.0
