generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,24.56,4.621,2.88,-5.39,106,11.0,3,0,1.06,51.0,-27.5,0.0,0.0
2,29.55,6.152,5.675,-3.92,105,15.0,3,0,1.05,54.0,-25.5,0.0,0.0
3,81.48,12.5246,7.8,0.03,298,27.0,3,2,2.98,149.0,-74.5,4.0,0.0
4,76.16,13.2916,8.855,-3.92,266,27.0,3,2,2.66,135.0,-65.5,4.0,0.0
5,77.07,11.9166,5.965,-0.83,244,21.0,3,6,2.07,111.0,-48.0,12.0,0.0
6,89.44,15.1756,9.78,-1.47,244,31.5,3,4,2.44,134.0,-55.0,8.0,0.0
7,173.27,20.9072,10.425,-2.94,451,26.5,3,12,2.77,190.0,-43.5,24.0,0.0
8,133.05,23.8148,10.95,-1.47,283,32.5,3,12,2.55,156.0,-49.5,24.0,0.0
9,105.09,20.866,11.195,-0.43,209,22.0,6,7,2.09,129.0,-40.0,14.0,0.0
10,132.9,27.7322,18.185,-1.47,390,39.5,3,9,3.9,204.0,-93.0,18.0,0.0
11,193.94,28.1694,20.815,1.19,594,42.5,3,4,5.94,318.0,-138.0,8.0,0.0
12,193.94,31.0528,15.295,-0.89,594,40.0,6,4,5.94,318.0,-138.0,8.0,0.0
13,110.86,21.9204,14.095,1.65,336,38.0,3,2,3.36,181.0,-77.5,4.0,0.0
14,141.89,25.4292,15.585,-1.41,439,40.5,9,3,4.39,234.0,-102.5,6.0,0.0
15,115.36,25.4986,16.47,-1.47,386,48.5,3,3,3.86,199.0,-93.5,6.0,0.0
16,125.55,26.3618,12.575,0.64,425,45.0,3,5,3.55,193.0,-81.0,10.0,0.0
17,118.58,28.5288,15.73,0.09,358,46.0,9,3,3.58,192.0,-83.0,6.0,0.0
18,198.21,38.4016,20.78,2.6,621,61.5,10,12,6.21,319.0,-151.0,24.0,0.0
19,192.03,35.3872,21.125,-1.41,703,68.0,9,8,7.03,347.0,-178.0,16.0,0.0
20,208.1,43.0858,34.865,0.09,660,117.5,9,7,6.6,345.0,-157.5,14.0,0.0
21,238.68,51.9124,30.225,0.09,868,101.0,9,8,8.68,432.0,-218.0,16.0,0.0
22,145.08,27.8338,18.93,1.59,458,57.5,9,1,4.58,245.0,-106.5,2.0,0.0
23,126.28,29.4852,22.6,0.09,478,63.0,9,4,4.78,235.0,-121.5,8.0,0.0
24,189.82,35.2516,18.035,-1.41,582,63.0,9,8,5.82,306.0,-138.0,16.0,0.0
25,156.12,32.585,20.51,1.59,510,61.5,3,8,4.12,228.0,-92.0,16.0,0.0
26,266.57,37.9546,21.555,-0.34,907,57.0,9,12,9.07,458.0,-224.5,24.0,0.0
27,135.96,33.3516,21.9,-1.41,434,67.0,9,6,3.96,212.0,-92.0,12.0,0.0
28,506.09,59.7072,37.085,-1.41,1659,133.5,9,22,16.59,850.0,-404.5,44.0,0.0
29,669.94,77.0406,51.92,1.59,2094,161.0,3,23,20.94,1100.0,-497.0,46.0,0.0
30,241.65,53.4142,36.95,3.09,715,121.0,8,14,7.15,376.0,-169.5,28.0,0.0
31,430.19,68.0612,27.865,0.09,1419,97.5,9,13,14.19,733.0,-343.0,26.0,0.0
32,303.85,46.8964,21.84,0.67,985,78.0,15,13,9.85,507.0,-239.0,26.0,0.0
33,321.66,64.1274,41.36,0.15,916,151.5,15,14,9.16,495.0,-210.5,28.0,0.0
34,395.07,81.8766,47.8,2.6,1257,155.0,3,21,12.57,646.0,-305.5,42.0,0.0
35,293.7,81.9278,36.81,0.15,1070,141.0,8,13,10.7,528.0,-271.0,26.0,0.0
36,304.29,68.0066,36.665,2.12,1029,94.5,10,12,10.29,523.0,-253.0,24.0,0.0
37,459.82,77.9948,36.21,1.59,1432,122.0,3,19,14.32,749.0,-341.5,38.0,0.0
38,476.75,85.7258,42.64,1.22,1375,137.5,8,21,13.75,739.0,-318.0,42.0,0.0
39,476.13,70.1972,31.765,-0.4,1563,106.0,8,18,15.63,804.0,-379.5,36.0,0.0
40,574.86,93.5226,41.81,-0.83,1986,146.5,15,24,19.86,1000.0,-493.0,48.0,0.0
41,520.16,118.661,74.125,-1.9,1816,246.0,10,12,18.16,924.0,-446.0,24.0,0.0
42,393.73,102.6674,64.62,-1.44,1373,242.0,6,12,13.73,695.0,-339.0,24.0,0.0
43,523.35,123.073,102.15,2.6,1738,351.5,10,18,16.35,859.0,-388.0,36.0,0.0
44,900.97,81.1098,29.42,0.03,3197,105.0,3,27,31.97,1609.0,-794.0,54.0,0.0
45,774.2,107.8612,80.3,0.03,2620,280.0,3,27,26.2,1336.0,-642.0,54.0,0.0
46,646.92,102.6342,64.525,0.06,2242,225.0,6,11,22.42,1149.0,-546.5,22.0,0.0
47,506.62,94.9944,70.81,-1.44,1762,251.0,6,16,17.62,892.0,-435.0,32.0,0.0
48,370.25,85.7396,64.365,0.06,1325,231.5,6,11,13.25,665.0,-330.0,22.0,0.0
49,322.38,83.4542,46.62,4.34,1088,162.0,21,7,10.88,561.0,-263.5,14.0,0.0
50,359.52,77.3624,49.77,4.28,1102,160.5,16,14,11.02,581.0,-260.5,28.0,0.0
51,594.52,113.7884,78.61,3.1,2002,260.0,10,19,20.02,1025.0,-488.5,38.0,0.0
52,855.44,116.606,76.69,-1.44,2844,219.0,6,31,28.44,1458.0,-693.0,62.0,0.0
53,481.54,108.4948,59.325,3.13,1454,215.5,3,27,14.54,760.0,-347.0,54.0,0.0
54,448.35,101.2284,55.79,0.06,1416,182.0,6,25,13.85,718.0,-333.5,50.0,0.0
55,456.3,88.0678,50.885,-0.4,1380,169.5,9,18,13.8,731.0,-324.5,36.0,0.0
56,379.87,94.3874,65.995,2.72,1287,262.5,15,11,12.87,659.0,-314.0,22.0,0.0
57,417.56,99.4362,68.785,0.67,1456,196.5,8,18,14.56,730.0,-363.0,36.0,0.0
58,286.03,99.3258,66.675,1.65,1015,214.0,10,12,9.53,486.0,-233.5,24.0,0.0
59,245.08,65.6104,43.38,3.21,858,139.5,9,14,8.58,425.0,-216.5,28.0,0.0
60,406.21,86.549,39.355,0.15,1321,130.5,8,19,13.21,677.0,-322.0,38.0,0.0
61,543.76,121.0894,49.215,0.09,1876,167.5,9,19,18.76,950.0,-463.0,38.0,0.0
62,359.75,77.357,36.605,-1.41,1163,100.0,9,19,11.25,582.0,-271.5,38.0,0.0
63,570.79,103.4184,57.625,-0.4,1779,196.0,9,20,17.79,935.0,-422.0,40.0,0.0
64,450.11,86.2374,44.765,1.65,1411,163.0,3,21,14.11,733.0,-339.0,42.0,0.0
65,305.9,76.8312,63.875,1.59,940,177.5,9,15,9.4,491.0,-224.5,30.0,0.0
66,440.05,76.8542,38.75,3.53,1405,132.0,3,19,14.05,727.0,-339.0,38.0,0.0
67,307.97,96.3152,79.1,-2.42,947,225.0,8,14,9.47,496.0,-225.5,28.0,0.0
68,353.61,73.4206,43.115,1.77,1111,134.5,8,14,11.11,580.0,-265.5,28.0,0.0
