generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
62,260.64,56.3442,33.83,-0.34,1264,156.0,4,5,12.64,580.0,-342.0,10.0,0.0
63,614.09,60.2194,22.61,-2.94,3009,129.5,3,19,30.09,1367.0,-821.0,38.0,0.0
64,258.1,41.7816,23.425,0.15,1410,139.0,3,8,14.1,622.0,-394.0,16.0,0.0
65,177.72,34.1854,20.12,-1.47,922,85.0,3,5,9.22,413.0,-254.5,10.0,0.0
66,388.29,54.9538,15.72,-1.47,2029,78.5,3,14,20.29,903.0,-563.0,28.0,0.0
67,352.65,53.512,21.85,-1.47,1865,124.0,3,10,18.65,831.0,-517.0,20.0,0.0
68,364.99,41.3456,18.71,-2.94,1749,99.0,3,11,17.49,800.0,-474.5,22.0,0.0
69,413.55,66.6562,26.135,-1.47,2105,125.0,3,16,21.05,942.0,-581.5,32.0,0.0
70,242.22,44.7006,15.965,-1.47,1322,78.5,3,7,13.22,584.0,-369.0,14.0,0.0
71,329.9,46.1628,21.3,-1.47,1940,112.0,3,8,19.4,843.0,-548.5,16.0,0.0
72,210.25,45.067,25.835,-2.94,946,109.5,3,7,9.25,433.0,-246.0,14.0,0.0
73,427.78,52.7626,23.805,-1.47,2028,121.0,3,11,20.28,933.0,-547.5,22.0,0.0
74,257.37,43.34,16.415,-1.47,1287,88.0,3,6,12.87,584.0,-351.5,12.0,0.0
75,392.08,61.9812,23.0,-4.6,2158,121.0,3,7,21.58,957.0,-600.5,14.0,0.0
76,194.02,38.9362,19.875,-1.47,1002,87.5,3,5,10.02,450.0,-276.0,10.0,0.0
77,288.06,47.159,27.09,0.03,1406,119.5,3,10,14.06,638.0,-384.0,20.0,0.0
78,142.84,34.694,18.83,-1.47,656,96.5,3,3,5.84,282.0,-151.0,6.0,0.0
79,138.68,27.9302,15.095,-1.47,668,64.0,3,5,6.68,304.0,-182.0,10.0,0.0
80,199.85,44.043,18.305,-2.94,885,74.5,3,4,8.85,417.0,-234.0,8.0,0.0
81,247.04,53.8304,26.25,-1.47,1254,107.5,3,7,12.54,565.0,-344.5,14.0,0.0
82,246.46,49.2908,22.52,-1.47,1171,101.5,3,5,11.46,532.0,-307.0,10.0,0.0
83,342.11,47.7394,18.78,-1.47,1711,101.0,3,12,17.11,771.0,-470.0,24.0,0.0
84,231.45,53.6418,33.34,-0.92,1145,201.5,3,7,11.45,519.0,-313.0,14.0,0.0
85,386.89,58.877,31.335,-1.72,1839,162.5,3,8,18.39,848.0,-495.5,16.0,0.0
86,403.59,59.6882,33.265,-1.47,1909,155.5,3,17,19.09,870.0,-519.5,34.0,0.0
87,264.07,54.9482,33.67,-4.84,1357,147.5,3,7,13.57,610.0,-373.5,14.0,0.0
88,179.81,43.1748,17.48,-1.47,931,68.5,3,6,9.31,416.0,-257.5,12.0,0.0
89,363.14,49.4626,16.085,-1.47,1169,78.5,3,17,9.14,518.0,-198.0,34.0,0.0
90,222.43,49.7246,35.98,-1.47,1093,134.5,3,4,10.93,500.0,-296.5,8.0,0.0
91,230.49,48.5166,27.385,-1.47,1057,126.0,3,8,7.99,404.0,-197.5,16.0,0.0
92,140.71,45.36,26.355,-1.47,671,116.5,3,3,6.71,309.0,-181.0,6.0,0.0
93,329.93,47.3854,22.645,-1.47,1643,87.5,3,8,16.43,746.0,-448.5,16.0,0.0
94,254.16,38.5674,14.155,-2.85,978,66.0,3,10,7.16,390.0,-163.0,20.0,0.0
95,265.94,44.8254,17.55,-1.47,1126,74.5,3,13,7.44,403.0,-170.5,26.0,0.0
96,139.15,40.5482,29.74,-1.47,697,76.0,3,6,3.65,204.0,-80.5,12.0,0.0
97,369.33,59.26,39.14,-1.47,1045,122.5,3,18,9.33,527.0,-203.0,36.0,0.0
98,257.64,60.3714,37.31,-2.94,1064,106.5,3,10,10.64,506.0,-279.0,20.0,0.0
99,275.56,45.7128,30.125,3.94,1306,97.5,10,10,13.06,597.0,-354.5,20.0,0.0
100,427.84,54.3096,28.06,-1.47,2034,140.0,3,14,20.34,931.0,-551.5,28.0,0.0
101,356.13,65.487,35.135,-1.47,1613,137.5,3,13,16.13,747.0,-433.0,26.0,0.0
102,176.67,51.365,38.25,-1.23,1017,176.0,3,6,10.17,442.0,-287.5,12.0,0.0
103,386.09,62.8232,35.58,-1.47,2159,142.0,3,8,21.59,952.0,-603.5,16.0,0.0
104,526.05,75.4524,31.25,-1.47,2805,180.0,3,15,28.05,1247.0,-779.0,30.0,0.0
105,234.21,50.014,28.58,-1.47,1171,115.5,3,5,11.71,532.0,-319.5,10.0,0.0
106,244.3,58.6176,30.62,-1.47,1180,127.0,3,7,11.8,539.0,-320.5,14.0,0.0
107,410.11,57.145,22.165,-2.85,2061,110.5,3,11,20.61,932.0,-564.5,22.0,0.0
108,509.25,59.0416,33.98,-1.47,2675,139.0,3,10,26.75,1200.0,-737.5,20.0,0.0
109,372.04,70.1266,36.335,-1.47,1904,180.0,3,12,19.04,854.0,-525.0,24.0,0.0
110,382.02,59.7884,37.095,-2.88,2002,181.5,3,11,20.02,894.0,-554.0,22.0,0.0
111,264.96,54.5886,24.455,-1.47,1476,143.5,3,5,13.96,626.0,-385.0,10.0,0.0
112,271.49,61.138,35.005,-2.94,1299,159.5,3,7,12.99,596.0,-351.5,14.0,0.0
113,307.07,72.36,52.7,-1.44,1457,270.0,3,5,14.57,674.0,-391.5,10.0,0.0
114,237.04,58.6846,39.65,0.27,1158,189.5,8,6,11.54,527.0,-313.5,12.0,0.0
115,361.72,63.8776,34.39,-2.27,1772,180.5,8,9,17.72,808.0,-482.0,18.0,0.0
116,240.03,53.958,37.575,-1.47,1103,185.5,3,7,11.03,511.0,-296.0,14.0,0.0
