generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,16.2,2.823,1.87,-2.45,57,8.0,3,1,0.2,16.0,-2.0,2.0,0.0
2,28.04,6.5066,4.1,-3.43,154,13.5,3,0,1.54,69.0,-42.5,0.0,0.0
3,34.62,7.6202,5.62,-2.45,170,21.0,3,1,0.62,42.0,-10.0,2.0,0.0
4,41.05,10.6182,7.71,-2.42,131,23.0,3,4,0.55,40.0,-7.5,8.0,0.0
5,64.42,7.8076,3.15,-2.88,342,12.0,3,2,3.42,152.0,-95.0,4.0,0.0
6,77.43,9.9822,6.2,-11.98,321,23.0,3,6,0.93,74.0,-9.5,12.0,0.0
7,52.16,9.7116,6.355,-1.87,100,15.0,3,4,0.66,51.0,-7.5,8.0,0.0
8,103.62,12.4212,7.41,-1.47,196,11.0,3,6,1.62,114.0,-24.0,12.0,0.0
9,58.19,14.6522,10.385,-2.45,184,20.0,3,7,0.69,52.0,-8.5,14.0,0.0
10,108.2,19.2594,14.95,-1.87,178,21.5,3,10,1.2,98.0,-11.0,20.0,0.0
11,70.84,16.76,11.31,-2.94,148,21.0,3,8,0.84,64.0,-10.0,16.0,0.0
12,103.42,18.4382,12.32,-1.87,142,27.0,3,10,1.42,102.0,-20.0,20.0,0.0
13,127.84,16.9396,10.555,-3.4,134,18.5,3,12,1.34,113.0,-10.5,24.0,0.0
14,55.32,14.219,11.91,-1.87,82,21.0,3,5,0.82,57.0,-12.5,10.0,0.0
15,87.45,20.1242,13.295,-1.87,102,23.5,3,10,0.95,76.0,-9.5,20.0,0.0
16,133.26,20.7792,11.42,-1.87,176,16.0,5,13,1.76,129.0,-23.5,26.0,0.0
17,89.18,19.89,12.21,-1.87,84,21.5,3,11,0.68,67.0,-0.5,22.0,0.0
18,60.26,15.9468,11.71,-1.87,76,17.0,3,6,0.76,57.0,-9.5,12.0,0.0
19,105.52,27.6858,23.565,-1.47,102,26.5,3,8,1.02,93.0,-4.5,16.0,0.0
