generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,21.32,3.573,2.4,-3.43,58,9.0,3,2,0.32,22.0,-5.0,4.0,0.0
2,21.39,3.8134,2.6,-1.96,64,9.0,3,0,0.39,27.0,-6.0,0.0,0.0
3,40.85,8.076,6.065,-1.47,60,12.5,3,5,0.35,32.0,-1.5,10.0,0.0
4,28.8,9.6526,6.09,-1.96,53,13.5,3,3,0.3,25.0,-2.5,6.0,0.0
5,84.79,17.2226,12.095,0.03,99,17.0,3,10,0.79,69.0,-5.0,20.0,0.0
6,94.89,17.9626,11.425,-1.47,89,17.5,3,13,0.89,75.0,-7.0,26.0,0.0
7,210.61,27.6366,13.735,-0.92,261,22.0,5,17,2.61,203.0,-29.0,34.0,0.0
8,154.87,35.5732,20.775,-1.47,214,31.0,3,10,1.87,151.0,-18.0,20.0,0.0
9,278.57,49.404,30.62,1.59,357,37.5,3,22,3.57,273.0,-42.0,44.0,0.0
10,190.15,40.6262,29.875,0.06,215,38.5,6,18,2.15,173.0,-21.0,36.0,0.0
11,260.69,46.5074,36.29,2.2,269,39.5,6,26,2.69,227.0,-21.0,52.0,0.0
12,251.59,44.107,30.59,-1.44,209,36.5,3,30,2.09,196.0,-6.5,60.0,0.0
13,155.72,45.8326,23.21,-1.29,175,24.5,6,15,1.72,140.0,-16.0,30.0,0.0
14,297.43,50.5356,29.09,-2.42,343,28.5,4,22,3.43,281.0,-31.0,44.0,0.0
15,400.59,46.3196,20.985,1.71,409,29.0,3,38,4.09,350.0,-29.5,76.0,0.0
16,138.98,44.3504,39.57,-1.47,181,37.5,3,15,1.48,121.0,-13.5,30.0,0.0
17,267.23,66.1316,36.47,-0.92,274,45.0,3,25,2.73,234.0,-19.5,50.0,0.0
18,299.15,53.17,31.39,1.04,459,34.5,4,28,3.15,265.0,-25.0,56.0,0.0
19,317.81,57.9034,41.59,-0.92,381,45.5,6,31,3.81,295.0,-43.0,62.0,0.0
20,302.1,65.5904,42.425,4.54,360,52.5,3,21,3.6,291.0,-34.5,42.0,0.0
21,286.11,54.1502,25.665,3.59,311,35.5,6,25,3.11,259.0,-26.0,50.0,0.0
22,264.64,59.1866,44.155,-2.94,314,46.5,6,21,3.14,251.0,-31.5,42.0,0.0
23,191.62,58.2518,42.92,2.08,242,50.0,6,18,2.12,173.0,-19.5,36.0,0.0
24,202.84,58.1182,47.135,5.03,234,54.5,3,14,2.34,193.0,-20.5,28.0,0.0
25,259.19,45.3258,25.565,0.18,269,26.5,3,23,2.69,230.0,-19.5,46.0,0.0
26,224.1,43.3168,31.1,1.59,260,43.0,3,19,2.6,209.0,-25.5,38.0,0.0
27,294.14,62.8164,38.34,3.58,314,43.0,8,20,3.14,272.0,-21.0,40.0,0.0
28,259.96,61.4946,35.5,3.09,296,47.5,7,21,2.96,242.0,-27.0,42.0,0.0
29,581.46,70.106,30.775,4.28,596,34.5,6,55,5.96,509.0,-43.5,110.0,0.0
30,182.34,50.3166,32.58,2.6,184,37.5,5,20,1.84,155.0,-14.5,40.0,0.0
31,470.9,62.006,37.105,6.09,490,38.5,9,45,4.9,414.0,-38.0,90.0,0.0
32,213.66,59.9892,45.185,7.65,216,50.5,5,21,2.16,185.0,-15.5,42.0,0.0
33,325.23,79.0006,54.855,4.16,323,65.5,8,34,3.23,277.0,-23.0,68.0,0.0
34,220.08,48.1232,38.455,0.55,258,49.5,3,18,2.58,207.0,-25.5,36.0,0.0
35,256.45,59.431,38.59,1.07,295,53.0,3,22,2.95,238.0,-28.5,44.0,0.0
36,187.01,51.4606,31.35,-3.92,201,34.5,7,16,2.01,169.0,-16.0,32.0,0.0
37,231.28,59.105,37.555,0.55,248,41.0,3,23,2.28,198.0,-15.0,46.0,0.0
38,315.13,63.2562,27.775,1.53,413,33.5,3,27,4.13,309.0,-52.0,54.0,0.0
39,293.51,53.5592,41.23,3.09,301,47.0,3,27,3.01,258.0,-21.5,54.0,0.0
40,251.37,63.2586,49.765,1.59,287,51.0,3,22,2.87,232.0,-27.5,44.0,0.0
41,329.74,54.1522,29.26,3.09,374,27.5,6,33,3.74,298.0,-38.0,66.0,0.0
42,487.68,71.6906,39.47,0.55,518,48.5,3,46,5.18,433.0,-42.5,92.0,0.0
43,330.98,71.646,36.92,1.59,348,39.5,5,31,3.48,293.0,-27.5,62.0,0.0
44,357.44,76.221,37.96,3.53,394,48.5,3,27,3.94,331.0,-31.5,54.0,0.0
45,359.8,89.5872,78.41,3.55,430,87.0,5,34,4.3,335.0,-47.5,68.0,0.0
46,309.57,74.8826,55.28,8.12,357,55.5,11,27,3.57,287.0,-35.0,54.0,0.0
47,367.95,90.661,60.675,5.03,395,70.0,3,34,3.95,329.0,-33.0,68.0,0.0
48,242.74,59.464,35.77,3.09,274,46.5,3,22,2.74,222.0,-26.0,44.0,0.0
49,298.46,82.1816,63.545,2.05,346,65.5,3,24,3.46,280.0,-33.0,48.0,0.0
50,437.64,77.9756,57.265,3.06,414,62.5,6,48,4.14,363.0,-25.5,96.0,0.0
51,175.48,70.2498,67.425,1.59,245,70.5,3,17,1.98,159.0,-19.5,34.0,0.0
52,244.56,55.4468,38.345,5.03,406,37.5,3,11,4.06,281.0,-62.5,22.0,0.0
53,499.95,55.6434,34.915,2.6,495,46.0,8,51,4.95,427.0,-34.0,102.0,0.0
54,327.04,81.5476,52.535,5.06,404,54.0,6,27,4.04,314.0,-45.0,54.0,0.0
55,432.36,69.8672,48.34,3.09,536,58.0,3,31,5.36,422.0,-57.0,62.0,0.0
56,474.18,73.157,51.0,0.09,518,55.5,7,40,5.18,432.0,-43.0,80.0,0.0
57,826.35,87.7554,43.12,2.05,885,50.5,5,75,8.85,740.0,-72.5,150.0,0.0
58,681.08,102.4726,59.115,2.66,608,63.5,12,77,6.08,550.0,-29.0,154.0,0.0
59,534.83,97.0794,43.525,3.21,483,64.0,5,49,4.83,449.0,-17.0,98.0,0.0
60,307.66,91.8316,59.075,2.66,327,60.5,3,25,3.16,275.0,-20.5,50.0,0.0
61,345.15,88.8992,57.82,3.76,315,66.0,9,33,3.15,289.0,-13.0,66.0,0.0
62,512.08,79.4232,35.325,2.63,458,33.5,6,57,4.58,415.0,-21.5,114.0,0.0
63,518.74,80.3836,47.71,3.09,474,44.0,6,53,4.74,430.0,-22.0,106.0,0.0
64,609.18,103.5354,61.105,1.59,568,52.0,3,59,5.68,513.0,-27.5,118.0,0.0
65,662.7,96.9578,50.695,5.03,570,57.0,3,72,5.7,532.0,-19.0,144.0,0.0
