generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,28.76,3.5906,2.125,-4.41,126,9.0,3,1,1.26,59.0,-33.5,2.0,0.0
2,30.69,5.952,4.16,-1.9,99,15.5,3,0,0.69,43.0,-13.0,0.0,0.0
3,39.41,8.8572,5.935,-3.37,141,22.0,3,1,1.41,71.0,-35.0,2.0,0.0
4,37.25,8.8232,5.435,-2.42,137,22.5,3,2,1.25,63.0,-31.0,4.0,0.0
5,50.35,9.8434,6.18,-3.92,185,26.0,3,3,1.85,90.0,-47.5,6.0,0.0
6,32.18,8.322,6.765,-1.96,118,26.5,4,0,1.18,60.0,-29.0,0.0,0.0
7,28.11,8.5828,7.8,-0.37,111,32.5,9,0,1.11,55.0,-28.0,0.0,0.0
8,43.48,9.6248,6.21,0.09,148,23.5,3,1,1.48,76.0,-36.0,2.0,0.0
9,75.57,13.4468,6.58,-1.93,257,32.5,3,1,2.57,133.0,-62.0,2.0,0.0
10,127.98,15.9306,6.745,0.09,448,27.0,3,2,4.48,229.0,-109.5,4.0,0.0
11,110.06,16.1844,7.77,-0.95,271,30.0,5,5,2.06,134.0,-36.0,10.0,0.0
12,170.14,22.5352,10.565,0.09,367,36.5,8,4,3.64,227.0,-68.5,8.0,0.0
13,502.34,50.6256,19.845,-0.34,1034,61.0,8,17,10.34,650.0,-192.0,34.0,0.0
14,264.72,31.5222,18.575,0.09,522,50.0,9,12,5.22,331.0,-95.5,24.0,0.0
15,287.4,61.7946,29.035,2.69,540,84.0,3,15,5.4,348.0,-96.0,30.0,0.0
16,245.36,42.3854,23.79,-0.92,536,52.5,4,11,5.36,324.0,-106.0,22.0,0.0
17,189.93,43.4886,22.445,-0.46,443,69.5,4,7,4.43,262.0,-90.5,14.0,0.0
18,520.49,43.059,17.26,-1.96,1049,52.0,4,20,10.49,663.0,-193.0,40.0,0.0
19,296.69,42.4856,24.63,0.09,619,57.0,9,12,6.19,384.0,-117.5,24.0,0.0
20,111.0,31.1062,20.41,0.09,421,55.0,9,5,2.5,149.0,-50.5,10.0,0.0
21,229.7,40.7552,17.575,-0.95,516,45.5,3,8,4.7,296.0,-87.0,16.0,0.0
22,162.07,40.7028,23.45,3.21,407,58.0,8,3,4.07,237.0,-85.0,6.0,0.0
23,252.59,56.0738,37.885,-0.46,809,91.5,4,9,5.59,339.0,-110.0,18.0,0.0
24,294.23,66.3396,44.415,0.09,623,103.0,9,8,6.23,389.0,-117.0,16.0,0.0
25,333.18,44.6756,21.3,-0.43,718,45.0,7,11,7.18,442.0,-138.0,22.0,0.0
26,218.43,46.7882,20.39,-0.4,493,65.0,7,8,4.93,296.0,-98.5,16.0,0.0
27,273.95,40.702,20.94,1.16,595,59.0,10,6,5.95,369.0,-113.0,12.0,0.0
28,315.56,45.0426,21.97,0.15,656,48.0,9,14,6.56,406.0,-125.0,28.0,0.0
29,159.7,34.8066,18.455,1.59,371,51.5,3,4,3.7,222.0,-74.0,8.0,0.0
30,261.11,46.8048,23.86,1.65,561,55.5,9,10,5.61,344.0,-108.5,20.0,0.0
31,210.45,54.8316,36.0,2.63,445,105.0,11,8,4.45,275.0,-85.0,16.0,0.0
32,402.05,60.0932,30.635,-3.43,755,64.5,7,20,7.55,488.0,-133.5,40.0,0.0
33,321.25,51.197,27.78,5.66,625,61.0,11,16,6.25,397.0,-114.0,32.0,0.0
34,519.95,52.2886,21.205,-2.45,1045,46.0,5,15,10.45,668.0,-188.5,30.0,0.0
35,353.49,52.665,35.52,3.15,599,82.0,6,19,5.99,406.0,-96.5,38.0,0.0
36,366.62,76.5344,43.17,0.58,712,96.5,8,18,7.12,453.0,-129.5,36.0,0.0
37,355.86,75.1818,46.375,1.59,586,92.0,9,23,5.86,398.0,-94.0,46.0,0.0
38,271.04,58.2796,31.32,1.1,509,71.5,10,13,5.04,328.0,-88.0,26.0,0.0
39,352.82,64.641,29.825,2.6,682,73.0,9,15,6.82,438.0,-122.0,30.0,0.0
40,301.59,63.6724,27.76,-1.47,609,53.0,3,12,6.09,384.0,-112.5,24.0,0.0
41,353.85,44.108,26.445,4.16,635,53.5,12,13,6.35,426.0,-104.5,26.0,0.0
42,381.1,86.8264,46.455,1.59,810,94.0,3,17,8.1,496.0,-157.0,34.0,0.0
43,369.75,64.436,41.65,0.55,825,86.0,3,9,8.25,504.0,-160.5,18.0,0.0
44,653.57,72.563,32.225,0.55,1357,72.5,5,27,13.57,843.0,-257.0,54.0,0.0
45,412.97,88.5012,39.5,-3.43,897,109.5,7,16,8.97,547.0,-175.0,32.0,0.0
46,503.25,61.1478,38.785,-1.44,925,75.0,6,23,9.25,607.0,-159.0,46.0,0.0
47,530.25,78.9568,49.59,1.65,1275,113.5,10,21,12.75,742.0,-266.5,42.0,0.0
48,517.51,70.8642,33.77,4.22,951,74.0,10,23,9.51,625.0,-163.0,46.0,0.0
49,332.91,58.8958,29.645,-1.47,641,64.5,3,13,6.41,414.0,-113.5,26.0,0.0
50,416.36,73.7114,41.735,4.14,786,97.5,14,16,7.86,513.0,-136.5,32.0,0.0
51,456.14,75.3788,34.805,1.1,814,80.0,3,24,8.14,538.0,-138.0,48.0,0.0
52,395.85,68.502,37.475,0.15,685,90.5,3,23,6.85,457.0,-114.0,46.0,0.0
53,524.18,80.0402,46.175,4.59,1018,95.0,8,21,10.18,654.0,-182.0,42.0,0.0
54,362.15,74.1576,43.865,4.59,665,105.5,9,17,6.65,436.0,-114.5,34.0,0.0
