rank,run_index,timestamp,final_elite_median,successful_improvements,evo_rounds,boot_attempts,folder
1,1,20260629_230825,1907.8133,4,9,3,20260629_230825_run001
2,1,20260630_010205,941.8367,5,15,4,20260630_010205_run001
3,1,20260629_215652,663.8,4,14,2,20260629_215652_run001
4,2,20260629_220009,550.83,1,6,2,20260629_220009_run002
5,2,20260629_231527,446.195,1,6,4,20260629_231527_run002
6,1,20260629_233800,340.9817,4,13,2,20260629_233800_run001
7,2,20260627_005756,329.05,3,19,2,20260627_005756_run002
8,1,20260627_005439,321.025,2,18,4,20260627_005439_run001
9,3,20260629_220314,212.48,2,8,3,20260629_220314_run003
