generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns
1,14.79,1.8526,0.595,-3.43,54,9.0,3
2,38.81,5.7018,4.65,-2.94,112,10.0,3
3,32.12,8.0462,6.775,-1.87,112,27.0,5
4,21.69,7.0978,5.65,-1.47,71,15.0,3
5,36.8,7.5754,5.965,-1.47,130,16.0,3
6,58.52,9.7792,5.965,-1.47,202,21.0,3
7,37.8,9.5116,7.425,1.1,130,25.5,3
8,108.8,11.7704,6.14,-0.4,280,23.5,7
9,103.66,13.333,7.15,-4.81,190,22.0,3
10,98.06,15.2964,9.3,1.56,273,24.5,3
11,90.96,18.3036,10.76,-1.9,149,24.5,5
12,201.86,20.3428,10.995,0.09,336,21.5,3
13,75.72,18.7238,11.63,3.06,213,24.0,4
14,110.42,23.7148,14.57,-1.47,227,33.5,3
15,138.31,17.4128,7.685,-1.47,381,19.0,3
16,181.2,33.3256,17.105,-1.47,520,40.0,3
17,212.52,31.4146,13.71,-0.4,552,39.5,3
18,116.75,26.8338,15.3,-1.41,375,48.0,8
19,200.24,28.6074,16.34,1.71,624,42.5,9
20,225.2,29.3528,16.155,-1.9,670,46.0,5
21,318.65,58.9964,19.81,-1.81,1147,49.5,5
22,416.52,66.251,35.76,-1.44,1452,122.5,6
23,591.39,117.88,79.74,4.65,1789,248.0,3
24,386.6,82.7148,47.39,4.65,1310,149.5,10
25,311.82,64.1706,45.52,3.15,1132,145.0,11
26,520.87,80.6416,47.95,1.59,1687,127.0,9
27,768.75,101.6852,39.195,4.1,2525,144.5,10
28,408.87,108.9852,68.115,2.6,1437,196.0,10
29,496.22,92.497,57.135,6.65,1772,188.0,9
30,637.07,122.0478,50.515,2.09,2057,164.5,3
31,672.49,131.5206,47.835,1.59,2199,183.5,8
32,389.81,114.3556,92.95,1.16,1325,290.5,9
33,533.01,113.2816,64.48,-0.4,1601,208.5,9
34,645.63,125.8968,66.22,4.08,2113,226.5,8
35,404.85,98.7218,53.21,3.59,1335,155.5,9
36,348.02,88.3222,51.245,1.71,1152,183.5,8
37,449.93,112.4534,66.335,1.1,1300,239.0,8
38,583.96,92.7356,68.845,4.65,1796,214.0,9
39,511.83,122.5206,81.5,0.15,1883,271.0,9
40,700.51,134.4548,78.0,1.1,2451,275.0,9
41,659.01,132.2258,73.075,1.65,2151,257.5,9
42,495.93,106.5822,59.84,-0.4,1693,207.5,9
43,630.42,116.569,54.045,-2.45,2042,191.0,5
44,471.57,87.3356,35.435,1.65,1507,124.5,6
45,473.49,77.2166,41.345,0.15,1599,128.5,8
46,551.73,102.9492,55.81,1.59,1673,199.0,9
47,399.85,87.6186,44.105,4.17,1335,160.5,9
48,346.44,67.7302,34.795,1.07,1194,127.0,7
49,414.58,92.5582,49.25,4.1,1358,188.0,3
50,470.8,74.3284,42.14,3.27,1630,174.0,9
51,593.55,134.0864,93.51,5.09,2005,322.0,9
52,411.46,94.047,46.685,1.19,1546,202.0,14
53,577.26,114.571,64.68,3.15,2126,240.5,15
54,350.75,83.7716,47.805,1.16,1175,167.5,10
55,324.48,70.4146,45.405,0.03,1148,150.5,3
56,314.57,81.1398,51.72,2.6,1157,190.5,10
57,268.53,66.0228,41.135,3.27,903,152.0,3
58,602.59,125.3362,57.25,0.15,2059,176.0,8
59,933.22,96.15,48.07,-0.4,3022,160.0,9
60,430.95,90.1014,64.825,3.09,1545,217.5,9
61,714.74,121.3836,71.84,4.65,2474,216.5,15
62,566.48,122.1144,62.725,2.72,1898,217.0,9
63,524.83,108.1438,35.09,1.1,1550,133.5,8
64,774.76,114.069,62.56,3.27,2626,203.5,26
65,516.97,120.18,64.835,3.09,1697,209.0,5
66,404.77,82.6978,48.615,1.1,1477,146.5,9
67,748.88,106.2672,57.3,2.6,2238,180.5,9
68,468.14,111.1556,52.83,1.77,1614,158.0,9
69,576.8,99.2944,41.82,2.72,1980,140.5,5
70,717.0,162.1488,115.795,-1.47,2350,421.0,3
71,635.15,107.361,71.345,1.59,2265,219.0,9
72,584.89,135.654,83.105,1.65,1839,263.0,9
73,502.04,119.8592,69.47,1.59,1654,216.5,9
74,518.66,139.852,98.92,4.77,1716,342.0,21
75,893.22,159.1248,85.305,3.27,2872,280.5,15
76,804.5,138.452,93.66,-1.47,2550,293.5,3
77,660.59,178.9716,119.675,5.58,2359,391.5,8
78,631.95,115.8626,60.03,4.08,2045,204.0,8
79,488.05,141.1902,86.7,2.66,1670,276.5,15
80,707.23,130.4356,63.375,7.71,2523,183.5,21
81,507.35,119.5278,57.55,3.27,1730,199.5,13
82,441.81,100.7366,48.71,1.65,1581,141.0,11
83,766.96,136.5674,72.71,2.58,2496,252.5,3
84,411.4,84.395,49.495,-1.47,1390,168.0,3
85,517.59,135.899,85.86,4.05,1659,286.0,5
86,1476.69,150.1392,52.025,1.65,4869,175.0,15
87,1083.69,143.8504,79.64,1.53,3719,272.0,3
88,769.77,151.863,91.88,4.83,2477,334.5,10
89,1083.99,149.6768,64.11,3.56,3549,181.0,6
90,1252.66,142.5244,47.68,4.22,4166,167.0,9
91,1335.66,153.284,57.96,1.1,4516,189.5,10
92,1534.5,135.4234,49.795,2.08,5000,168.5,8
93,528.84,147.2796,88.685,4.71,1684,268.5,6
94,1483.47,189.3838,87.77,3.68,4747,261.5,10
95,1211.67,144.6942,42.88,-1.47,4017,142.5,3
96,911.04,162.5738,105.0,5.55,3104,354.5,5
97,1535.0,215.9736,113.63,4.95,5000,391.5,22
98,1373.3,264.2036,122.415,4.1,4580,390.5,10
99,1282.74,215.553,127.85,4.1,4174,385.0,10
100,1477.5,269.47,134.795,-0.34,5000,423.5,12
