generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,9.79,0.4656,0.56,-1.88,43,2.0,2,0,1.29,24.0,-9.5,0.0,-6.0
2,17.63,1.8338,0.56,-4.55,82,7.0,2,2,0.63,13.0,-4.0,10.0,-2.0
3,29.9,2.278,0.56,-10.04,85,7.0,2,2,0.9,24.0,-3.0,10.0,-2.0
4,27.75,4.9852,2.71,-13.15,100,8.0,2,0,2.25,50.0,-12.5,0.0,-12.0
5,35.87,5.805,3.48,-6.08,130,15.5,2,4,2.37,42.0,-18.5,20.0,-10.0
6,30.92,6.0042,3.255,-7.69,87,24.5,8,2,1.92,40.0,-12.0,10.0,-9.0
7,44.81,8.417,5.675,-10.97,141,33.0,7,5,3.81,65.0,-31.0,25.0,-18.0
8,85.83,12.014,5.65,-12.33,220,39.0,2,6,4.83,103.0,-29.0,30.0,-23.0
9,70.88,12.876,9.83,-8.84,196,31.0,2,6,5.88,108.0,-44.0,30.0,-29.0
10,45.8,8.3992,5.075,-6.87,180,30.5,9,2,1.8,48.0,-6.0,10.0,-8.0
11,66.56,14.279,8.305,-4.83,173,27.0,2,6,3.06,65.0,-18.5,30.0,-13.0
12,93.74,14.9932,7.785,-5.7,169,24.0,2,6,4.74,106.0,-26.0,30.0,-21.0
13,90.93,12.109,6.585,-11.51,131,33.0,2,9,3.93,83.0,-24.0,45.0,-17.0
14,82.52,15.5516,12.62,-4.08,160,35.5,2,7,4.02,85.0,-24.5,35.0,-17.0
15,75.34,18.489,13.605,-0.94,188,37.0,2,7,3.84,77.0,-25.5,35.0,-15.0
16,69.93,17.498,8.31,-6.05,151,33.0,2,5,3.93,83.0,-24.0,25.0,-18.0
17,95.88,17.5228,12.145,-2.23,196,34.0,2,7,5.88,120.0,-38.0,35.0,-27.0
18,88.16,18.9838,12.73,-4.31,272,30.5,5,7,8.16,148.0,-62.0,35.0,-41.0
19,81.52,15.4338,10.795,-2.7,234,22.0,2,8,7.02,123.0,-55.5,40.0,-33.0
20,71.12,14.9614,10.71,-13.29,254,38.0,8,8,7.62,125.0,-64.5,40.0,-37.0
21,136.54,25.073,15.01,-7.01,313,47.5,2,10,6.54,146.0,-36.0,50.0,-30.0
22,82.93,14.4852,8.2,-7.55,164,21.5,2,8,3.93,81.0,-25.0,40.0,-17.0
23,99.0,16.0408,9.0,-20.25,306,34.0,9,6,6.0,128.0,-36.0,30.0,-29.0
24,136.5,21.422,12.48,-10.29,200,35.5,2,12,6.0,129.0,-35.5,60.0,-23.0
25,54.55,15.3692,12.47,-3.73,115,29.0,9,5,2.55,53.0,-16.0,25.0,-10.0
26,49.53,14.1456,10.875,-7.55,123,38.0,9,3,3.03,64.0,-18.5,15.0,-14.0
27,85.68,18.4916,13.26,-6.66,232,30.0,2,6,4.68,100.0,-28.0,30.0,-21.0
28,89.89,16.1412,11.265,-4.55,363,26.5,9,7,10.89,187.0,-88.0,35.0,-55.0
29,68.85,19.6548,14.015,-2.7,195,43.0,9,5,5.85,109.0,-43.0,25.0,-28.0
30,89.74,15.4856,11.11,-4.55,158,31.5,2,6,4.74,104.0,-27.0,30.0,-22.0
31,129.64,23.5494,11.74,-5.37,238,41.0,2,13,7.14,137.0,-50.5,65.0,-29.0
32,83.77,16.0356,8.235,-9.87,223,22.0,2,6,4.77,101.0,-29.0,30.0,-23.0
33,101.4,20.4352,11.695,-2.84,580,36.5,2,11,17.4,272.0,-154.0,55.0,-89.0
34,92.73,16.9738,10.815,-2.7,231,34.0,9,6,5.73,121.0,-35.0,30.0,-29.0
35,87.73,19.1294,11.05,-4.04,191,35.5,7,8,5.73,109.0,-41.0,40.0,-26.0
36,79.51,14.457,9.805,-7.55,141,27.0,2,4,3.51,87.0,-15.0,20.0,-16.0
37,85.7,21.3126,15.985,-9.75,154,41.5,5,7,4.2,89.0,-25.5,35.0,-17.0
38,89.82,15.9134,10.755,-8.16,294,28.0,2,4,8.82,170.0,-62.0,20.0,-47.0
39,166.81,16.4406,9.88,-4.12,177,38.0,2,16,5.31,126.0,-25.5,80.0,-19.0
