generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,28.22,3.7604,3.075,-5.39,67,7.5,3,3,0.22,22.0,0.0,6.0,0.0
2,70.81,11.4048,6.21,-1.96,81,15.0,3,8,0.81,63.0,-9.0,16.0,0.0
3,103.81,12.5038,7.62,-2.45,90,12.0,3,11,0.81,81.0,0.0,22.0,0.0
4,57.91,16.4922,13.62,-3.92,62,12.0,3,9,0.41,40.0,-0.5,18.0,0.0
5,128.96,21.2046,12.645,-1.47,96,16.0,3,16,0.96,96.0,0.0,32.0,0.0
6,122.43,22.1286,14.135,-1.47,93,16.0,3,15,0.93,92.0,-0.5,30.0,0.0
7,83.17,22.7618,17.15,-1.47,67,15.5,3,10,0.67,64.0,-1.5,20.0,0.0
8,101.75,22.5414,18.68,-1.47,75,16.0,3,13,0.75,75.0,0.0,26.0,0.0
9,100.27,20.8938,14.68,-1.47,77,15.0,3,12,0.77,76.0,-0.5,24.0,0.0
10,131.7,23.6388,13.63,-1.47,120,13.0,3,12,1.2,111.0,-4.5,24.0,0.0
11,198.11,28.6438,15.885,-1.47,161,15.0,3,23,1.61,154.0,-3.5,46.0,0.0
12,148.71,22.4102,12.13,-1.47,121,12.5,3,17,1.21,116.0,-2.5,34.0,0.0
13,67.47,21.2362,17.38,-1.47,47,15.5,3,10,0.47,47.0,0.0,20.0,0.0
14,74.62,21.15,18.475,-1.47,62,17.0,3,6,0.62,62.0,0.0,12.0,0.0
15,90.72,21.152,16.145,-1.47,100,15.0,3,9,0.72,72.0,0.0,18.0,0.0
16,113.41,24.499,18.18,-3.92,91,17.5,3,13,0.91,88.0,-1.5,26.0,0.0
17,126.03,24.007,18.185,-3.92,103,17.0,3,14,1.03,99.0,-2.0,28.0,0.0
18,127.95,30.0652,25.98,-2.94,95,24.0,3,16,0.95,95.0,0.0,32.0,0.0
19,88.69,29.7258,23.96,-1.47,69,21.0,3,11,0.69,67.0,-1.0,22.0,0.0
20,113.4,30.6102,22.18,-1.47,90,19.0,3,12,0.9,89.0,-0.5,24.0,0.0
21,126.49,34.8868,28.47,-1.47,99,23.5,3,14,0.99,98.0,-0.5,28.0,0.0
22,136.13,32.2636,27.005,-2.42,113,24.0,3,11,1.13,113.0,0.0,22.0,0.0
23,127.99,23.4748,16.655,-2.88,99,18.0,3,14,0.99,99.0,0.0,28.0,0.0
