generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,47.55,3.5594,1.62,-6.37,155,9.0,3,1,1.55,81.0,-37.0,2.0,0.0
2,24.01,5.4094,4.65,-3.43,101,15.0,3,0,1.01,49.0,-26.0,0.0,0.0
3,33.09,7.0818,4.74,-2.94,159,22.0,6,0,1.59,74.0,-42.5,0.0,0.0
4,88.1,8.6048,5.64,-0.95,260,21.0,3,2,2.6,141.0,-59.5,4.0,0.0
5,45.8,9.0554,6.745,-0.95,180,21.5,3,1,1.8,88.0,-46.0,2.0,0.0
6,29.55,7.6026,6.245,-1.87,105,22.0,5,0,1.05,54.0,-25.5,0.0,0.0
7,46.71,9.0544,6.21,-1.87,171,17.0,3,0,1.71,87.0,-42.0,0.0,0.0
8,25.94,7.9854,6.21,-0.43,100,21.0,3,0,0.94,48.0,-23.0,0.0,0.0
9,27.57,8.8114,6.705,-1.47,107,27.0,3,1,1.07,52.0,-27.5,2.0,0.0
10,15.63,8.0762,7.28,0.21,76,27.5,3,0,0.63,31.0,-16.0,0.0,0.0
11,22.58,7.4546,6.24,0.09,108,21.0,8,1,1.08,49.0,-29.5,2.0,0.0
12,36.22,8.0414,5.69,-1.47,172,21.0,3,1,1.72,79.0,-46.5,2.0,0.0
13,22.16,8.1636,6.15,0.09,73,24.0,3,1,0.66,35.0,-15.5,2.0,0.0
14,30.85,8.6938,7.02,0.09,85,24.5,3,1,0.85,47.0,-19.0,2.0,0.0
15,34.56,9.6808,6.765,-1.47,123,27.0,3,2,1.06,55.0,-25.5,4.0,0.0
16,55.05,11.3086,7.615,1.59,205,27.0,3,2,2.05,101.0,-52.0,4.0,0.0
17,63.75,10.831,6.86,-0.89,225,27.0,3,0,2.25,116.0,-54.5,0.0,0.0
18,39.98,9.1322,7.15,1.1,148,22.0,3,0,1.48,75.0,-36.5,0.0,0.0
19,56.43,9.6484,7.1,-1.47,193,24.5,3,2,1.93,98.0,-47.5,4.0,0.0
20,83.74,9.25,6.18,-1.47,274,15.5,3,4,2.74,140.0,-67.0,8.0,0.0
21,35.36,7.5548,5.03,-1.47,138,21.0,3,0,1.36,68.0,-34.0,0.0,0.0
22,50.97,9.7936,6.765,-1.47,147,27.0,3,3,1.47,78.0,-34.5,6.0,0.0
23,31.03,9.2058,6.24,-1.47,103,24.5,3,1,1.03,53.0,-25.0,2.0,0.0
24,28.18,8.5934,7.485,-1.47,118,30.0,3,1,1.18,56.0,-31.0,2.0,0.0
25,48.95,9.825,6.27,-1.47,178,27.5,3,3,1.45,76.0,-34.5,6.0,0.0
26,29.5,6.767,5.345,-1.47,100,21.0,3,1,1.0,51.0,-24.5,2.0,0.0
27,21.32,6.259,4.71,-1.47,82,15.5,3,0,0.82,41.0,-20.5,0.0,0.0
28,37.16,7.514,5.03,-0.43,166,21.0,3,0,1.66,79.0,-43.5,0.0,0.0
29,20.03,7.0854,5.965,-1.47,76,21.0,3,2,0.53,28.0,-12.5,4.0,0.0
30,30.27,8.479,5.995,-1.47,99,22.0,3,1,0.77,44.0,-16.5,2.0,0.0
31,29.24,7.9934,5.03,-1.47,124,21.0,3,0,1.24,60.0,-32.0,0.0,0.0
32,47.66,9.8564,7.74,-1.47,166,27.5,3,0,1.66,86.0,-40.0,0.0,0.0
33,32.91,8.9116,7.435,-1.47,141,22.0,3,0,1.41,68.0,-36.5,0.0,0.0
34,43.83,8.1868,5.155,-1.47,133,16.0,3,2,1.33,70.0,-31.5,4.0,0.0
35,43.1,9.1624,6.33,-1.47,160,27.0,3,0,1.6,81.0,-39.5,0.0,0.0
36,29.73,8.9404,5.865,-1.93,124,18.5,3,0,1.23,60.0,-31.5,0.0,0.0
37,39.22,7.306,5.315,-1.47,141,22.0,3,3,1.22,62.0,-30.0,6.0,0.0
38,42.56,7.558,5.69,-1.47,156,16.0,3,1,1.56,78.0,-39.0,2.0,0.0
39,77.6,8.9608,4.77,-1.47,260,16.0,3,2,2.6,134.0,-63.0,4.0,0.0
40,31.06,7.329,5.115,-2.94,130,21.0,3,1,1.06,54.0,-26.0,2.0,0.0
41,36.86,8.5538,6.685,-1.47,136,24.5,3,0,1.36,69.0,-33.5,0.0,0.0
42,47.67,9.4348,7.225,-1.47,167,24.5,3,1,1.67,85.0,-41.0,2.0,0.0
43,27.56,8.4656,7.43,-1.47,107,27.5,3,0,1.06,53.0,-26.5,0.0,0.0
44,27.87,8.9498,6.745,-1.47,117,24.5,3,0,0.87,47.0,-20.0,0.0,0.0
45,32.73,8.2018,4.71,-1.47,123,24.5,3,0,1.23,62.0,-30.5,0.0,0.0
46,23.62,4.603,3.815,-1.96,112,12.5,3,1,1.12,51.0,-30.5,2.0,0.0
47,35.67,8.4058,5.68,-1.47,117,21.5,3,0,1.17,62.0,-27.5,0.0,0.0
48,74.01,8.7744,4.1,-1.47,251,15.0,3,1,2.51,130.0,-60.5,2.0,0.0
49,47.74,8.5242,4.77,-1.47,124,22.5,3,1,1.24,71.0,-26.5,2.0,0.0
50,50.96,8.2636,4.62,-1.47,196,16.0,3,0,1.96,98.0,-49.0,0.0,0.0
51,40.05,9.7216,7.77,-1.47,155,27.5,3,1,1.55,76.0,-39.5,2.0,0.0
52,45.19,10.8768,8.55,-1.47,169,27.0,3,1,1.69,84.0,-42.5,2.0,0.0
53,63.12,10.3228,6.715,-1.47,212,26.5,3,4,2.12,106.0,-53.0,8.0,0.0
54,77.91,17.3324,11.86,-1.47,291,46.0,3,3,2.91,143.0,-74.0,6.0,0.0
55,65.2,14.845,10.86,-1.47,220,39.0,3,1,2.2,114.0,-53.0,2.0,0.0
56,68.0,14.0736,9.865,-1.47,200,39.0,3,2,2.0,108.0,-46.0,4.0,0.0
57,143.41,16.3506,9.825,-2.85,441,33.0,3,2,4.41,237.0,-102.0,4.0,0.0
58,93.66,17.4234,12.205,-1.47,276,42.5,3,7,2.66,140.0,-63.0,14.0,0.0
59,77.91,18.0038,17.635,1.1,341,63.0,8,1,3.41,162.0,-89.5,2.0,0.0
60,106.23,12.1702,9.085,-1.47,373,27.5,3,2,3.73,190.0,-91.5,4.0,0.0
61,205.46,21.6098,12.225,-1.47,446,36.5,3,8,4.46,272.0,-87.0,16.0,0.0
62,147.57,21.576,11.83,-1.47,307,36.5,3,5,3.07,192.0,-57.5,10.0,0.0
63,134.25,27.6558,18.73,-1.47,325,55.0,3,2,3.25,193.0,-66.0,4.0,0.0
64,158.95,31.0484,21.255,0.09,345,55.5,9,5,3.45,212.0,-66.5,10.0,0.0
65,233.8,45.3438,21.65,1.59,530,59.5,3,6,5.3,321.0,-104.5,12.0,0.0
66,154.41,31.4618,22.45,1.62,341,46.0,5,4,3.41,209.0,-66.0,8.0,0.0
67,281.78,47.5242,30.145,1.62,628,82.0,8,3,6.28,389.0,-119.5,6.0,0.0
68,178.49,40.0362,24.28,2.6,409,56.0,9,4,3.99,244.0,-77.5,8.0,0.0
69,159.53,32.7456,18.76,0.09,403,50.0,8,3,4.03,234.0,-84.5,6.0,0.0
70,227.99,41.464,20.925,0.61,549,55.0,3,4,5.49,326.0,-111.5,8.0,0.0
71,99.14,29.1916,22.09,0.61,264,60.5,10,1,2.64,151.0,-56.5,2.0,0.0
72,295.28,35.0326,20.35,1.1,728,52.0,9,11,7.28,420.0,-154.0,22.0,0.0
73,154.71,31.7964,21.35,0.09,371,65.5,9,4,3.71,219.0,-76.0,8.0,0.0
74,177.46,31.9386,22.845,0.61,446,65.5,8,3,4.46,260.0,-93.0,6.0,0.0
75,149.54,27.1294,12.865,1.16,404,36.5,8,2,4.04,229.0,-87.5,4.0,0.0
76,136.08,35.0258,20.03,2.11,343,53.0,3,4,3.08,186.0,-61.0,8.0,0.0
77,100.86,24.7384,12.41,0.12,336,35.5,9,3,3.36,173.0,-81.5,6.0,0.0
78,110.73,26.7232,19.94,2.6,373,64.0,3,2,3.73,193.0,-90.0,4.0,0.0
79,102.25,20.9174,13.2,-2.94,325,41.5,3,1,3.25,173.0,-76.0,2.0,0.0
80,85.4,20.6174,15.265,-0.46,290,53.0,3,2,2.9,149.0,-70.5,4.0,0.0
81,101.15,24.9684,17.34,-1.44,350,66.5,6,3,2.65,150.0,-57.5,6.0,0.0
82,84.88,23.691,16.64,-0.43,338,61.0,3,3,3.38,163.0,-87.5,6.0,0.0
83,92.7,29.2844,21.67,1.16,339,74.5,10,6,2.7,142.0,-64.0,12.0,0.0
84,101.83,26.7126,18.535,-0.4,334,62.5,8,4,2.83,155.0,-64.0,8.0,0.0
85,115.25,22.2706,15.755,1.59,375,53.0,5,4,3.75,194.0,-90.5,8.0,0.0
86,208.55,24.3264,13.855,-0.37,755,47.5,5,5,7.55,379.0,-188.0,10.0,0.0
87,87.38,19.3428,12.175,-0.92,338,39.0,3,2,3.38,166.0,-86.0,4.0,0.0
88,124.91,23.8136,15.745,-1.47,391,57.0,3,6,3.91,203.0,-94.0,12.0,0.0
89,220.17,26.0888,13.59,-1.47,706,47.0,3,6,5.67,324.0,-121.5,12.0,0.0
90,77.27,22.5616,15.355,-0.43,277,45.5,7,3,2.77,138.0,-69.5,6.0,0.0
91,197.37,29.8754,16.11,-0.4,487,70.0,3,5,4.87,284.0,-101.5,10.0,0.0
92,185.2,31.4406,22.265,-1.47,470,75.0,3,3,4.7,273.0,-98.5,6.0,0.0
93,148.58,29.4596,16.0,1.59,508,52.0,3,6,5.08,257.0,-125.5,12.0,0.0
94,120.36,27.4742,15.78,-1.47,436,57.5,3,5,4.36,216.0,-110.0,10.0,0.0
95,186.56,37.6746,28.07,0.61,406,99.5,3,6,4.06,249.0,-78.5,12.0,0.0
96,186.17,33.752,23.285,-1.47,667,79.5,3,6,6.67,334.0,-166.5,12.0,0.0
97,90.56,23.2806,13.685,0.03,306,46.0,3,1,3.06,159.0,-73.5,2.0,0.0
98,76.48,18.6586,9.895,-1.47,298,40.0,3,1,2.98,147.0,-75.5,2.0,0.0
99,135.64,30.2812,20.035,0.58,464,66.5,8,3,4.64,238.0,-113.0,6.0,0.0
100,114.34,26.1398,13.865,-1.47,290,51.0,3,5,2.34,146.0,-44.0,10.0,0.0
