generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
62,740.29,69.3508,28.54,-1.41,1679,65.0,6,21,16.79,1014.0,-332.5,42.0,0.0
63,553.31,80.9932,27.94,-0.86,1431,63.0,3,10,14.31,823.0,-304.0,20.0,0.0
64,364.51,67.2256,35.335,-2.42,901,68.0,6,7,9.01,528.0,-186.5,14.0,0.0
65,513.67,73.9612,25.3,1.13,1317,72.0,9,11,13.17,758.0,-279.5,22.0,0.0
66,481.69,52.3372,18.77,-3.89,1119,51.0,3,11,11.19,672.0,-223.5,22.0,0.0
67,554.63,74.4158,20.665,-3.92,1355,34.5,3,14,13.13,780.0,-266.5,28.0,0.0
68,797.29,95.9898,36.41,-1.47,1979,86.0,3,18,19.79,1154.0,-412.5,36.0,0.0
69,1089.75,116.0776,51.345,-0.43,2675,145.5,6,31,26.75,1559.0,-558.0,62.0,0.0
70,627.59,73.1948,19.32,-1.87,1523,53.5,5,15,14.59,875.0,-292.0,30.0,0.0
71,392.91,96.0952,52.745,-0.43,841,124.0,6,17,8.41,514.0,-163.5,34.0,0.0
72,470.41,82.4494,34.465,-1.47,1041,80.0,3,20,10.41,627.0,-207.0,40.0,0.0
73,576.42,123.4578,83.265,3.15,1242,192.5,3,12,12.42,774.0,-234.0,24.0,0.0
74,832.25,136.7074,36.815,-0.92,1675,116.0,8,33,16.75,1058.0,-308.5,66.0,0.0
75,1204.01,139.6108,52.335,3.15,2801,111.0,6,29,28.01,1679.0,-561.0,58.0,0.0
76,839.03,150.6018,88.075,4.59,2003,218.0,9,20,20.03,1187.0,-408.0,40.0,0.0
77,1270.81,186.7074,81.82,-1.47,3081,207.0,3,29,30.81,1815.0,-633.0,58.0,0.0
78,925.01,165.1898,74.81,2.08,2151,157.0,8,19,21.51,1294.0,-428.5,38.0,0.0
79,842.99,163.605,71.87,2.2,2099,209.0,3,26,20.99,1213.0,-443.0,52.0,0.0
80,839.83,147.5002,67.4,-2.42,1933,163.0,8,19,19.33,1166.0,-383.5,38.0,0.0
