generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns
1,6.07,-5.8434,-2.4,-43.18,83,10.0,3
2,6.56,-5.885,-1.96,-50.64,86,9.0,3
3,15.61,-1.1602,-1.405,-28.55,64,10.0,3
4,8.58,-0.4552,1.93,-34.8,70,7.0,3
5,13.12,0.3122,1.325,-29.43,57,9.0,3
6,16.7,2.3196,3.32,-17.17,33,9.0,3
7,78.88,1.3634,2.075,-48.13,138,9.0,3
8,47.01,2.558,4.33,-33.36,64,12.0,3
9,21.31,1.6218,3.57,-43.48,102,9.5,3
10,30.62,6.1998,5.03,-5.35,86,12.0,3
11,41.66,6.9314,5.045,-37.81,69,9.5,3
12,20.25,4.793,5.07,-28.9,60,11.0,3
13,26.81,5.6706,5.03,-10.29,38,11.0,3
14,27.07,6.3186,5.38,-10.67,57,12.0,3
15,21.13,3.138,1.53,-14.22,40,9.5,3
16,43.54,4.8926,4.83,-34.23,77,16.0,3
17,33.56,6.2518,5.805,-9.85,85,10.0,3
18,61.49,5.3974,4.63,-34.42,99,13.5,3
19,24.5,5.1274,7.39,-50.07,93,15.0,3
20,39.19,4.2462,4.15,-27.49,82,12.0,3
21,28.75,5.936,5.06,-11.79,44,12.0,3
22,27.44,3.0334,2.655,-50.5,100,15.0,3
23,24.7,-0.0196,2.895,-51.52,98,15.0,3
24,26.76,5.409,5.29,-24.56,47,15.0,3
25,23.88,4.1664,2.86,-27.35,65,12.0,3
26,69.37,2.3912,2.815,-44.12,137,11.5,3
27,37.76,3.4626,4.565,-24.49,126,11.0,3
28,20.12,3.1004,4.565,-49.08,92,13.5,3
29,23.72,5.7636,5.81,-15.67,79,15.0,3
30,30.98,4.3224,5.305,-29.81,69,17.0,3
31,55.15,5.2168,4.965,-53.64,115,12.0,3
32,22.42,4.249,5.03,-25.95,55,15.5,3
33,40.52,4.7478,4.305,-21.1,69,10.5,3
34,25.22,4.61,4.81,-47.52,98,14.0,3
35,40.97,6.164,5.645,-51.51,99,12.5,3
36,44.49,6.981,5.795,-34.81,104,11.0,3
37,74.3,8.5766,6.385,-30.98,130,13.5,3
38,55.5,11.889,9.11,-18.01,120,15.0,3
39,68.39,13.2526,10.76,-41.25,142,26.5,3
40,41.45,9.6766,8.72,-52.14,114,21.5,3
41,41.3,9.2974,7.855,-51.08,94,16.5,3
42,54.97,11.584,8.2,-29.86,149,20.5,3
43,72.03,11.8744,9.675,-54.08,153,21.0,3
44,51.27,7.508,7.845,-50.64,115,19.0,3
45,80.58,8.059,6.925,-52.58,208,22.5,3
46,90.72,11.006,6.495,-31.38,172,12.0,3
47,82.15,12.4212,10.29,-52.53,165,27.5,3
48,65.2,12.8562,7.925,-6.41,170,15.0,3
49,52.35,11.4654,9.07,-4.91,85,25.0,3
50,74.25,10.6716,5.77,-52.79,175,22.0,3
51,69.4,15.7132,7.055,-3.41,222,29.0,3
