generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
53,72.305,15.9843,11.9475,22.8275,-0.85,254,41.8,3,6.5,7.605,72.25,-21.8,32.5,-18.25
54,79.615,16.9536,10.85,13.8,-0.68,320,58.8,4,5.5,9.615,94.0,-26.5,27.5,-25.0
55,61.985,17.4198,13.39,19.24,-0.85,210,66.8,3,5.0,6.285,62.75,-16.8,25.0,-15.25
56,80.6,19.0742,14.4875,21.99,-1.08,195,60.2,3,9.0,4.8,52.0,-11.2,45.0,-10.0
57,86.75,19.1006,15.855,16.0625,-0.85,375,58.5,3,6.5,11.25,105.0,-33.0,32.5,-29.0
58,198.74,23.6215,13.185,20.6475,-0.74,548,75.8,3,17.0,16.44,176.0,-39.2,85.0,-39.5
59,84.455,19.0643,10.76,21.2425,-0.85,264,56.8,3,7.0,7.905,81.25,-20.2,35.0,-19.5
60,129.315,30.7913,21.7075,29.745,-0.51,368,76.2,3,13.0,9.465,99.25,-23.4,65.0,-21.0
61,88.825,23.7742,19.685,18.735,-0.57,305,74.0,3,8.0,8.775,85.75,-24.2,40.0,-21.5
62,160.1,28.5658,14.19,30.2675,-0.68,430,66.5,3,16.0,12.9,130.5,-33.8,80.0,-29.5
63,139.99,28.5512,17.075,25.4875,-0.995,556,64.2,6,10.5,13.74,142.75,-34.5,52.5,-34.5
64,160.07,38.237,24.8375,50.3,-1.36,444,81.5,3,14.0,13.32,140.75,-32.5,70.0,-31.5
65,145.86,30.8539,26.145,29.8025,-0.825,362,78.2,3,14.0,10.86,116.0,-26.0,70.0,-25.0
66,197.29,30.9809,18.7625,29.9975,-0.66,633,68.2,3,17.5,18.99,188.5,-51.2,87.5,-46.5
67,162.195,36.3167,22.9,29.3775,-0.51,412,80.5,3,16.5,11.595,122.25,-28.4,82.5,-25.75
68,141.55,43.5472,30.34,33.5075,-0.51,410,76.5,3,12.0,12.15,128.5,-29.6,60.0,-29.5
69,109.39,33.7733,24.79,27.605,-0.51,323,74.2,3,10.0,9.69,98.25,-25.3,50.0,-23.25
70,214.475,42.1716,22.825,24.4175,-0.51,542,61.5,3,20.5,16.275,173.0,-39.3,102.5,-38.0
71,220.64,45.7426,26.1875,45.5625,-0.51,578,91.2,3,22.0,17.34,178.5,-44.2,110.0,-41.0
72,144.055,31.4204,20.8675,36.7575,-1.15,354,66.8,3,14.5,10.605,111.0,-26.3,72.5,-23.75
73,182.945,39.1811,25.1175,34.91,-0.51,486,72.8,3,18.0,14.595,149.75,-37.4,90.0,-34.0
74,244.655,32.0084,15.8675,44.36,-0.51,768,47.0,3,18.5,23.055,243.25,-56.4,92.5,-57.75
75,177.385,40.4079,21.015,52.58,-0.595,446,68.0,3,16.0,11.835,136.75,-24.2,80.0,-27.0
76,160.32,48.9486,37.71,49.665,-0.68,394,111.0,3,17.0,11.82,120.75,-30.5,85.0,-26.75
77,150.29,37.0583,22.7875,50.6675,-0.68,343,72.8,3,15.5,10.29,110.25,-24.5,77.5,-23.25
78,170.235,42.0451,19.1425,54.2525,-0.45,500,71.2,3,15.0,14.985,154.75,-38.0,75.0,-36.5
79,182.915,32.611,24.2875,44.775,-1.43,486,71.0,3,18.0,14.565,149.25,-37.4,90.0,-33.5
80,176.335,45.5587,25.01,69.4325,-0.51,470,71.2,3,16.0,14.085,149.75,-34.0,80.0,-33.5
81,231.695,43.0631,27.7225,49.0925,-0.68,576,70.8,3,23.0,17.295,181.75,-42.6,115.0,-39.75
82,190.91,44.7763,32.6525,38.1675,-0.85,437,85.0,3,19.5,11.16,128.5,-23.0,97.5,-23.25
83,200.975,40.9884,30.32,44.72,-0.51,558,87.2,3,19.5,16.725,170.0,-43.5,97.5,-39.75
84,165.005,31.8162,18.1625,34.265,-0.51,514,58.5,3,14.0,15.405,157.0,-39.9,70.0,-37.5
85,161.585,40.493,29.355,32.7925,-0.16,394,96.5,3,16.5,11.235,120.0,-26.9,82.5,-25.25
86,232.145,41.1012,20.91,70.67,-1.36,632,80.0,3,22.5,18.945,193.75,-48.8,112.5,-44.25
