generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,2405.48,205.8744,2.69,925.51,-3.92,4098,11.5,3,127,40.98,2773.0,-662.5,254.0,0.0
2,7740.12,714.2302,73.005,2044.26,-2.42,13262,139.5,3,391,132.62,8971.0,-2145.5,782.0,0.0
3,4327.58,621.2666,81.84,1982.77,-1.47,7458,184.0,3,235,74.58,5008.0,-1225.0,470.0,0.0
4,5342.13,1128.2514,460.865,3084.91,-0.4,8963,728.5,10,259,89.63,6144.0,-1409.5,518.0,0.0
5,6535.99,1110.2682,387.995,3048.995,4.08,11349,694.5,8,326,113.49,7630.0,-1859.5,652.0,0.0
6,13371.66,1231.0362,401.645,3819.05,4.13,23516,683.0,13,655,235.16,15723.0,-3896.5,1310.0,0.0
7,7331.87,1029.0334,599.425,3198.6,15.75,12887,1017.5,51,359,128.87,8619.0,-2134.0,718.0,0.0
8,10302.88,1498.2512,611.8,5157.42,-0.86,17938,1055.0,3,490,179.38,12075.0,-2931.5,980.0,0.0
9,6212.83,1036.4632,289.265,3494.185,0.64,10933,551.5,14,289,109.33,7328.0,-1802.5,578.0,0.0
10,6828.55,1220.3066,329.69,3275.055,7.25,11755,604.5,23,334,117.55,7947.0,-1904.0,668.0,0.0
11,12737.28,1607.4056,407.225,5114.195,0.58,22078,722.5,8,611,220.78,14889.0,-3594.5,1222.0,0.0
12,7689.58,1198.7926,559.05,3314.365,3.64,13458,987.0,8,359,134.58,9044.0,-2207.0,718.0,0.0
13,9229.42,1544.0762,456.45,4199.87,5.14,15742,820.0,14,454,157.42,10690.0,-2526.0,908.0,0.0
14,8468.91,1298.4266,595.43,3370.92,7.77,14641,1096.0,27,425,146.41,9862.0,-2389.5,850.0,0.0
15,3520.42,898.8134,745.775,2055.73,1.59,5992,1252.5,6,163,59.92,4087.0,-952.5,326.0,0.0
16,12718.0,1086.2466,299.215,2612.035,-1.47,21600,546.5,3,617,216.0,14712.0,-3444.0,1234.0,0.0
17,8553.38,1241.789,554.12,3721.53,-0.8,14688,926.5,8,448,146.88,9903.0,-2392.5,896.0,0.0
