generation, best_score, mean_score, median_score, elite_median_score, worst_score, best_turns, median_turns, worst_turns, best_food_eaten, best_sc_survival, best_sc_towards, best_sc_against, best_sc_ate, best_sc_bomb
        38,   33462.33,  5710.0026,     2233.48 ,          15022.1  , 5.61       ,      70633,       4798.0,          11,             821,           706.33,         44287.0, -13173.0       ,      1642.0,          0.0
        39,   54541.68,  4100.8554,     1385.77 ,          10084.495, 16.81      ,     115568,       2802.0,          31,            1300,          1155.68,         72380.0, -21594.0       ,      2600.0,          0.0
        40,   22031.41,  4767.9228,     2038.45 ,          15675.435, 6.21       ,      46791,       4870.0,          21,             521,           467.91,         29278.0, -8756.5        ,      1042.0,          0.0
        41,   29022.89,  4417.401 ,     1733.97 ,          13267.845, 2.66       ,      61539,       3447.0,           9,             643,           615.39,         38594.0, -11472.5       ,      1286.0,          0.0
        42,   15209.63,  3006.488 ,      900.28 ,           9233.615, 5.07       ,      32563,       1878.0,          39,             381,           325.63,         20269.0, -6147.0        ,       762.0,          0.0
        43,   26690.47,  3714.3234,     1068.415,          13128.7  , 4.1        ,      51697,       2512.0,           9,             736,           516.97,         33700.0, -8998.5        ,      1472.0,          0.0
        44,   16859.53,  2485.2748,      666.765,           7900.215, 4.16       ,      35603,       1390.0,           9,             387,           356.03,         22354.0, -6624.5        ,       774.0,          0.0
        45,   21216.14,  3134.8644,     1326.94 ,           7499.355, 0.61       ,      44914,       2962.0,          11,             519,           449.14,         28124.0, -8395.0        ,      1038.0,          0.0
        46,   28163.01,  3919.592 ,      872.495,          12398.68 , -1.96      ,      59701,       1924.5,           4,             692,           597.01,         37355.0, -11173.0       ,      1384.0,          0.0
        47,   22321.99,  4543.422 ,     1362.105,          13998.23 , 4.59       ,      47249,       2593.0,           9,             543,           472.49,         29592.0, -8828.5        ,      1086.0,          0.0
        48,   34486.49,  5753.127 ,     2132.43 ,          15574.195, 1.59       ,      73249,       4659.5,           9,             744,           732.49,         45927.0, -13661.0       ,      1488.0,          0.0
        49,   15972.82,  2643.4158,      882.81 ,           9015.23 , 1.59       ,      33882,       1798.5,           9,             359,           338.82,         21238.0, -6322.0        ,       718.0,          0.0
        50,   30368.44,  3345.1406,      543.9  ,          11936.105, 1.65       ,      64544,       1215.0,          15,             693,           645.44,         40406.0, -12069.0       ,      1386.0,          0.0
        51,   31194.36,  3567.907 ,      932.21 ,          10984.905, 2.6        ,      66036,       1771.0,           9,             765,           660.36,         41348.0, -12344.0       ,      1530.0,          0.0
        52,   17630.29,  3806.1824,     1598.51 ,          11802.52 , 4.59       ,      35079,       3401.0,           9,             470,           350.79,         22586.0, -6246.5        ,       940.0,          0.0
        53,   22434.2 ,  4456.8226,     1370.105,          14712.93 , -0.95      ,      44770,       3050.0,           5,             597,           447.7 ,         28785.0, -7992.5        ,      1194.0,          0.0
        54,   15540.14,  3290.496 ,     1787.23 ,          11339.82 , -0.95      ,      33014,       3673.0,           5,             368,           330.14,         20654.0, -6180.0        ,       736.0,          0.0
        55,   26510.52,  2962.9692,      858.025,          10343.635, 4.65       ,      56052,       1858.5,          15,             657,           560.52,         35108.0, -10472.0       ,      1314.0,          0.0
        56,   39323.81,  5031.3072,     1465.885,          14415.715, 4.1        ,      83281,       2980.0,          10,             912,           832.81,         52205.0, -15538.0       ,      1824.0,          0.0
        57,   15304.32,  2784.9148,      849.365,          10120.605, 0.55       ,      32382,       1884.0,           5,             366,           323.82,         20293.0, -6044.5        ,       732.0,          0.0
