generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,4542.41,509.096,4.665,2641.855,-2.45,11341,15.0,3,129,113.41,6561.0,-2390.0,258.0,0.0
2,3468.26,346.3766,16.465,1064.95,-1.47,8376,30.5,3,109,83.76,4903.0,-1736.5,218.0,0.0
3,5936.55,827.6344,69.67,2611.96,-1.47,14655,206.0,3,183,146.55,8501.0,-3077.0,366.0,0.0
4,5622.4,885.1322,417.035,2436.46,-1.47,12740,1005.0,3,216,127.4,7622.0,-2559.0,432.0,0.0
5,7899.32,1195.8606,502.54,3891.625,-1.47,19232,1154.0,3,263,192.32,11198.0,-4017.0,526.0,0.0
6,6854.58,1145.4322,456.525,3512.515,0.61,16908,1202.5,3,213,169.08,9809.0,-3549.5,426.0,0.0
7,7891.16,1200.0994,685.99,3065.185,-1.47,19666,1747.0,3,222,196.66,11389.0,-4138.5,444.0,0.0
8,6759.88,809.2168,70.22,2095.935,-1.47,16638,247.0,3,212,166.38,9659.0,-3489.5,424.0,0.0
9,3896.79,909.4482,427.075,2748.37,-1.47,9679,1081.0,3,110,96.79,5613.0,-2033.0,220.0,0.0
10,8330.74,1264.2712,604.905,3219.97,-1.47,20424,1465.5,3,257,204.24,11883.0,-4270.5,514.0,0.0
11,5414.36,1169.0886,454.635,3435.15,-1.47,13236,1138.5,3,157,132.36,7724.0,-2756.0,314.0,0.0
12,7070.5,1196.9438,405.195,3266.0,-1.47,17200,994.5,3,208,172.0,10055.0,-3572.5,416.0,0.0
13,7116.18,1303.2374,606.105,3995.75,-1.47,17168,1535.5,3,223,171.68,10055.0,-3556.5,446.0,0.0
14,5437.42,884.6744,430.75,2483.605,-1.47,13342,1075.0,3,166,133.42,7762.0,-2790.0,332.0,0.0
15,5247.81,929.346,107.475,2896.29,-1.47,12631,366.5,3,167,126.31,7402.0,-2614.5,334.0,0.0
16,4597.7,1048.4862,428.08,3012.965,-1.47,11370,1058.0,3,139,113.7,6594.0,-2388.0,278.0,0.0
